;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_12_1_C;1;1306.42037522721;1877.75749461918;0.123502296961152;0.994642438299081;47.0420000019658;"FM";"1";1;0;11.5377640814848;89.6;89.6;21.2023000021873;"FM";"1";4;0;0;[11.5377640814848, 12.1852369693823, 9.32952303175248, 9.32952303175248];[89.6, 102.4, 61.44, 61.44];314.88;74.90069999767;"Scratch_PD";"1";0;0;0;0;0;0;180.526799998916
HE_12_2_C;1;1287.45763056064;1865.9260376017;0.113173591162856;0.99382084632947;23.7830000005488;"FM";"1";0;0;0;0;0;18.1765999986965;"FM";"1";1;0;0;12.1852369693823;102.4;102.4;141.177900000912;"Scratch_PD";"1";0;0;0;0;0;0;170.644300000276
HE_14_1_C;1;1310.18712161838;1873.06285417957;0.141283531764844;0.99676842012542;22.8863999982423;"FM";"1";0;0;0;0;0;31.8186000004061;"FM";"1";1;0;0;9.32952303175248;61.44;61.44;138.676099999429;"Scratch_PD";"1";0;0;0;0;0;0;97.615599999699
HE_13_2_C;1;1282.3350874008;1875.41382431717;0.141515808455938;0.995531723806948;51.931499998318;"FM";"1";0;0;0;0;0;33.8130000018282;"FM";"1";2;0;0;[12.1852369693823, 15.8391918985787];[102.4, 133.12];235.52;71.6974999995728;"Scratch_PD";"1";0;0;0;0;0;0;102.588999998261
HE_14_2_C;1;1294.01713428769;1865.86157320057;0.118993693209157;0.995943955913106;57.6852000012877;"FM";"1";0;0;0;0;0;18.3418000015081;"FM";"1";5;0;0;[9.32952303175248, 9.32952303175248, 16.4730082255792, 11.3137084989848, 12.1852369693823];[61.44, 51.2, 174.08, 81.92, 92.16];460.8;76.5382000026875;"Scratch_PD";"1";0;0;0;0;0;0;138.314499999979
HE_15_2_C;1;1285.81081473309;1878.80710653821;0.112181689503174;0.994380280874168;30.1103000019793;"FM";"1";0;0;0;0;0;29.4992000017373;"FM";"1";5;0;0;[12.1852369693823, 18.2428068015862, 9.32952303175248, 9.32952303175248, 15.1789327688082];[71.68, 184.32, 51.2, 61.44, 112.64];481.28;67.3556000001554;"Scratch_PD";"1";0;0;0;0;0;0;174.468299999717
HE_15_1_C;1;1303.49177614659;1890.56971342088;0.0938993159950824;0.99516518647107;18.8084000001254;"FM";"1";0;0;0;0;0;13.8366000028327;"FM";"1";0;0;0;0;0;0;161.04610000184;"Scratch_PD";"1";0;0;0;0;0;0;94.6623000018008
HE_16_2_C;1;1300.01563923583;1868.47641034535;0.118566667914228;0.994471735692969;33.8544000005641;"FM";"1";0;0;0;0;0;15.7500000022992;"FM";"1";4;0;0;[9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248];[61.44, 51.2, 51.2, 51.2];215.04;76.8692000019655;"Scratch_PD";"1";0;0;0;0;0;0;77.2643999989668
HE_17_1_C;1;1308.24845023068;1878.24052773954;0.144077153154212;0.994765030839915;18.7640000003739;"FM";"1";0;0;0;0;0;33.2615999977861;"FM";"1";1;0;0;15.1789327688082;71.68;71.68;150.402400002349;"Scratch_PD";"1";0;0;0;0;0;0;87.671400000545
HE_18_1_C;1;1326.72558860258;1866.0329325396;0.237304803227856;0.9952428023023;31.8618999990576;"FM";"1";0;0;0;0;0;19.0139999976964;"FM";"1";0;0;0;0;0;0;61.6203999998106;"Scratch_PD";"1";0;0;0;0;0;0;82.1442999986175
HE_17_2_C;1;1289.33873721523;1867.55167800265;0.18663096590732;0.993416317056017;20.0478000006115;"FM";"1";0;0;0;0;0;47.9938999997103;"FM";"1";3;0;0;[12.1852369693823, 12.1852369693823, 9.32952303175248];[81.92, 71.68, 71.68];225.28;105.870100000175;"Scratch_PD";"1";0;0;0;0;0;0;113.124600000447
HE_18_2_C;1;1307.75006256729;1854.48989395618;0.183279685284266;0.995107284669302;39.9983000024804;"FM";"1";0;0;0;0;0;26.5327999986766;"FM";"1";1;0;0;13.7637204272682;92.16;92.16;109.370900001522;"Scratch_PD";"1";0;0;0;0;0;0;169.786599999497
HE_17_3_C;1;1308.75601637778;1886.83797654659;0.233303362085731;0.993064271490141;36.2366000008478;"FM";"1";0;0;0;0;0;26.1958000010054;"FM";"1";1;0;0;19.3328735577513;92.16;92.16;173.671799999283;"Scratch_PD";"1";0;0;0;0;0;0;165.800400001899
HE_18_4_C;1;1308.29450362306;1868.02281558582;0.214412853124475;0.992266114409858;27.8204999995069;"FM";"1";1;0;29.5025422633372;509.44;509.44;24.9965000002703;"FM";"1";4;0;0;[29.5025422633372, 22.2854212434946, 20.8614476966485, 19.3328735577513];[509.44, 143.36, 153.6, 102.4];908.8;90.3633000016271;"Scratch_PD";"1";0;0;0;0;0;0;114.004499999282
HE_18_3_C;1;1325.35956030324;1877.79599325386;0.216491527929394;0.993406394763042;16.4728000017931;"FM";"1";0;0;0;0;0;30.3380000004836;"FM";"1";3;0;0;[19.3328735577513, 15.1789327688082, 22.2854212434946];[102.4, 71.68, 163.84];337.92;151.90530000109;"Scratch_PD";"1";0;0;0;0;0;0;108.153299999685
HE_16_3_C;1;1314.05486571654;1887.98151144732;0.250168237289646;0.99633347119061;24.1567000011855;"FM";"1";0;0;0;0;0;18.472899999324;"FM";"1";2;0;0;[12.1852369693823, 11.3137084989848];[92.16, 71.68];163.84;144.104700000753;"Scratch_PD";"1";0;0;0;0;0;0;114.947199999733
HE_16_4_C;1;1296.05862935996;1874.28217100309;0.109252351979621;0.995860660874712;19.5877000005567;"FM";"1";0;0;0;0;0;16.8144999988726;"FM";"1";0;0;0;0;0;0;129.916999998386;"Scratch_PD";"1";0;0;0;0;0;0;126.041900002747
HE_15_3_C;1;1299.61690007683;1899.49513129041;0.242118702339229;0.996029405133527;22.6646999981313;"FM";"1";0;0;0;0;0;15.5405000004976;"FM";"1";5;0;0;[9.32952303175248, 15.8391918985787, 9.32952303175248, 9.32952303175248, 13.7637204272682];[61.44, 143.36, 61.44, 51.2, 61.44];378.88;172.335399998701;"Scratch_PD";"1";0;0;0;0;0;0;111.48360000152
HE_14_4_C;1;1294.66282049742;1875.26717377552;0.0935868291150714;0.995465335833558;33.0465999977605;"FM";"1";0;0;0;0;0;22.5996999979543;"FM";"1";0;0;0;0;0;0;131.477399998403;"Scratch_PD";"1";0;0;0;0;0;0;73.9567000018724
HE_14_3_C;1;1310.10051024655;1881.22142393155;0.258988578764323;0.996418071793869;23.6152000034053;"FM";"1";0;0;0;0;0;55.2672000012535;"FM";"1";3;0;0;[9.32952303175248, 9.32952303175248, 22.2854212434946];[61.44, 51.2, 348.16];460.8;119.104000001244;"Scratch_PD";"1";0;0;0;0;0;0;105.299800001376
HE_13_4_C;1;1277.93046078697;1884.5230034543;0.0595444482142142;0.995615671627775;18.9777000014146;"FM";"1";0;0;0;0;0;20.460899999307;"FM";"1";2;0;0;[11.3137084989848, 12.1852369693823];[81.92, 92.16];174.08;138.882699997339;"Scratch_PD";"1";0;0;0;0;0;0;140.96580000114
