;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
HRH14440980;HE_6_2_C;1;1294.51309040068;1872.49336520133;0.121814905100164;0.994093644108034;43.9442999922903;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;38.934900003369;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;87.2900000103982;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;137.531400003354;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.44569999631494
HRH14440980;HE_6_1_C;1;1303.80021086953;1879.46585054781;0.110533752816181;0.995402668720033;29.3682999908924;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;33.3281000057468;"1";1;0;0;0;0.0000;0;0;0;0.0000;8.15843122174846;8.15843122174846;8.15843122174846;8.1584;51.2;51.2;51.2;51.2000;51.2;90.5821999913314;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;64.0856999962125;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.0685999993002
HRH14440980;HE_5_2_C;1;1281.46320623405;1882.37999453473;-0.140539905885751;0.996048074711098;14.2991999891819;"1";1;0;0;0;0.0000;13.670405992508;13.670405992508;13.670405992508;13.6704;128;128;128;128.0000;128;18.6929999908898;"1";2;0;0;0;0.0000;0;0;0;0.0000;[13.670405992508, 9.32952303175248];9.32952303175248;13.670405992508;11.5000;[128, 51.2];51.2;128;89.6000;179.2;88.9566999976523;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;133.69089999469;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.46699999843258
HRH14440980;HE_8_2_C;1;1292.12369411958;1871.28381052619;0.0287260900878367;0.996392678557243;16.9959000049857;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;16.0617000074126;"1";3;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 13.7637204272682, 9.32952303175248];9.32952303175248;13.7637204272682;10.8076;[51.2, 92.16, 61.44];51.2;92.16;68.2667;204.8;164.666299999226;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;141.856700007338;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.95079998997971
HRH14440980;HE_7_2_C;1;1281.15952568289;1882.63154411667;-0.237551009411735;0.995597654832636;34.6544000058202;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;13.3598000102211;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;126.479300000938;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;124.876400004723;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.72420000308193
HRH14440980;HE_7_1_C;1;1288.9069308186;1894.66626518756;0.125478719671394;0.996115637692867;27.5554999971064;"1";2;0;0;0;0.0000;[11.6481758228488, 29.5025422633372];11.6481758228488;29.5025422633372;20.5754;[84.48, 586.24];84.48;586.24;335.3600;670.72;10.0824999972247;"1";3;0;0;0;0.0000;0;0;0;0.0000;[11.6481758228488, 29.5025422633372, 12.1852369693823];11.6481758228488;29.5025422633372;17.7787;[84.48, 586.24, 92.16];84.48;586.24;254.2933;762.88;59.2084000090836;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;121.974399997271;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.23429999803193
HRH14440980;HE_10_2_C;1;1292.68587288655;1871.24770966502;0.560232622547319;0.996030384307176;16.9919999898411;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;16.1430000007385;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;170.202399996924;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;75.2700000011828;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.10469999001361
HRH14440980;HE_9_2_C;1;1281.11935297124;1883.83962740803;-0.149210470324951;0.995682320714138;18.7945000070613;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;15.587100002449;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;121.747999990475;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;91.796599997906;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.44520000321791
HRH14440980;HE_11_2_C;1;1280.51568548392;1878.46668168938;-0.0814200723059825;0.993968701550443;33.9598999998998;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;33.0230999970809;"1";1;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;71.68;71.68;71.68;71.6800;71.68;97.1578000026057;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;69.269700004952;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.3940999963088
HRH14440980;HE_10_1_C;1;1301.80797335216;1887.15548483807;0.126336304180498;0.996271261024788;15.0921000022208;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;36.3827999972273;"1";3;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 9.32952303175248, 9.32952303175248];9.32952303175248;11.3137084989848;9.9909;[71.68, 51.2, 51.2];51.2;71.68;58.0267;174.08;138.708799990127;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;121.067500003846;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.41809998988174
