;;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead;FM On Lead
HRH14450847;HE_6_1_C;1;1302.90338977864;1874.96439252828;0.379335704064877;0.996575065968898;26.390499988338;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;29.0631999960169;"1";2;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 11.3137084989848];11.3137084989848;11.3137084989848;11.3137;[81.92, 81.92];81.92;81.92;81.9200;163.84;154.609199991683;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;128.219399979571;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.58180002169684
HRH14450847;HE_6_2_C;1;1288.22633802117;1858.93708183447;0.559648074437416;0.997226477558343;57.9954000131693;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;56.3458999968134;"1";3;0;0;0;0.0000;0;0;0;0.0000;[12.1852369693823, 12.1852369693823, 11.3137084989848];11.3137084989848;12.1852369693823;11.8947;[122.88, 92.16, 61.44];61.44;122.88;92.1600;276.48;110.956199991051;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;140.762099996209;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.91549999080598
HRH14450847;HE_5_2_C;1;1269.37062548697;1875.58755679566;0.559800817627739;0.995988606231492;68.7974000175018;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;61.7185000155587;"1";2;0;0;0;0.0000;0;0;0;0.0000;[11.3137084989848, 12.1852369693823];11.3137084989848;12.1852369693823;11.7495;[81.92, 102.4];81.92;102.4;92.1600;184.32;74.4946000049822;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;223.869699984789;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.17140000010841
HRH14450847;HE_7_1_C;1;1283.25190881021;1887.43386236332;0.361366159325403;0.993578076542804;43.5192000004463;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;31.4387999824248;"1";5;0;0;0;0.0000;0;0;0;0.0000;[8.15843122174846, 9.32952303175248, 22.2854212434946, 9.32952303175248, 22.2854212434946];8.15843122174846;22.2854212434946;14.2777;[51.2, 51.2, 122.88, 51.2, 163.84];51.2;163.84;88.0640;440.32;204.182599991327;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;219.174699974246;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.65619999845512
HRH14450847;HE_7_2_C;1;1275.8002581038;1871.92517568455;0.613507436670834;0.995799168769565;37.3457999958191;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;54.4710000103805;"1";1;0;0;0;0.0000;0;0;0;0.0000;9.32952303175248;9.32952303175248;9.32952303175248;9.3295;51.2;51.2;51.2;51.2000;51.2;116.103200009093;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;133.502399985446;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.01120000262745
HRH14450847;HE_8_1_C;1;1302.69121141294;1877.00443323592;0.181588440633538;0.996313169656958;41.3157999864779;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;23.1230000208598;"1";2;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 9.32952303175248];9.32952303175248;9.32952303175248;9.3295;[71.68, 71.68];71.68;71.68;71.6800;143.36;146.481799980393;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;84.6398999856319;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.9112000009045
HRH14450847;HE_10_1_C;1;1305.29893161098;1879.34062923945;0.513795909851003;0.995146516893499;61.798299982911;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;37.4248000152875;"1";5;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248, 16.4730082255792];9.32952303175248;16.4730082255792;10.7582;[61.44, 51.2, 61.44, 51.2, 153.6];51.2;153.6;75.7760;378.88;151.942399999825;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;194.597199995769;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.2331999973394
HRH14450847;HE_10_2_C;1;1289.15864496458;1865.39370770488;0.479803369159399;0.996629116354313;38.4984000120312;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;30.3992999834009;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;194.049199984875;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;142.802899994422;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.54329999047332
HRH14450847;HE_9_2_C;1;1275.2140873826;1875.67942089204;0.293885985811512;0.995543212777761;81.7785999970511;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;34.9593000137247;"1";3;0;0;0;0.0000;0;0;0;0.0000;[9.32952303175248, 12.1852369693823, 9.32952303175248];9.32952303175248;12.1852369693823;10.2814;[61.44, 102.4, 51.2];51.2;102.4;71.6800;215.04;126.634100015508;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;116.991499991855;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.32059999345802
HRH14450847;HE_12_1_C;1;1306.430454857;1880.19943785402;0.63420529036805;0.996447251168604;36.6802999924403;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;49.0280000085477;"1";5;0;0;0;0.0000;0;0;0;0.0000;[15.1789327688082, 9.32952303175248, 9.32952303175248, 14.4886162210199, 22.2854212434946];9.32952303175248;22.2854212434946;14.1224;[153.6, 51.2, 71.68, 102.4, 194.56];51.2;194.56;114.6880;573.44;170.73410001467;"1";0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;193.225399998482;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.09339999896474
