;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14450847;HE_5_2_C1;1;1277.11525148569;1881.33292334498;0.329695972173391;0.729589370874805;68.8300000037998;"1";0;1407.55790953479;1880.98421313316;0.399542219912198;5.14178235554135;3.47799721221741;37.2891000006348;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.57909999042749;["1", "1"];[0, 0];0;0;0;0;69.4594999949913;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;39.2134000139777;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.34579998161644
HRH14450847;HE_6_2_C1;1;1293.31316137638;1865.06750925548;0.385660717199643;0.703165732453328;49.4436000008136;"1";0;1424.73754160133;1870.13034413123;0.492444348409997;5.1391714686998;3.48031260732492;30.9346000140067;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.6820999996271;["1", "1"];[0, 0];0;0;0;0;44.6112000208814;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;56.526300002588;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.77270001242869
HRH14450847;HE_5_1_C1;1;1291.1778790672;1895.80585144123;0.338758943665199;0.766538692241738;28.7123000016436;"1";0;1419.32047931742;1895.05594747581;0.3754674873408;5.14387715901228;3.48486931568538;25.3030000021681;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.47499998356216;["1", "1"];[0, 0];0;0;0;0;72.7503999951296;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;27.0870999956969;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.91640000068583
HRH14450847;HE_8_1_C1;1;1305.5529892556;1875.35339546548;-0.0777189931922457;0.726347107414341;30.782799993176;"1";0;1435.53042241437;1874.89771209795;0.0272247058214316;5.14198588540321;3.48274760892376;34.4596999930218;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.92389998282306;["1", "1"];[0, 0];0;0;0;0;58.3884999796283;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;23.6586999963038;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.71619999734685
HRH14450847;HE_7_1_C1;1;1286.69102002649;1884.85162727539;0.141060430936267;0.713989714901146;73.2668999989983;"1";0;1416.14062627381;1886.21127030115;0.267602571329047;5.13990094600489;3.48239630080221;37.8665000025649;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.97039997996762;["1", "1"];[0, 0];0;0;0;0;41.6654000000563;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.0134999852162;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.4828999962192
HRH14450847;HE_7_2_C1;1;1279.69292565157;1870.80594995441;0.309067130273097;0.704479101612463;101.934499980416;"1";0;1405.64950470245;1872.59491686846;0.476156590652196;5.14297735046826;3.47961808465121;35.8999999880325;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.74859998212196;["1", "1"];[0, 0];0;0;0;0;45.9141999890562;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.749300000025;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.28340001963079
HRH14450847;HE_8_2_C1;1;1295.39074894734;1858.99979744555;0.0582001742663472;0.722686111348366;63.8532000011764;"1";0;1423.59517958692;1862.21362566701;0.0750923639439287;5.14104442777863;3.48168018203964;32.9819000035059;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.48759999219328;["1", "1"];[0, 0];0;0;0;0;66.5426999912597;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.2526999989059;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.56680001621135
HRH14450847;HE_10_2_C1;1;1295.15324626791;1860.02727511262;0.232819056741753;0.718154120028515;23.7791999825276;"1";0;1422.84942804252;1862.46682566798;0.347168842488607;5.13810270441733;3.47665957314681;38.6475000123028;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.99829999939539;["1", "1"];[0, 0];0;0;0;0;62.2021000017412;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;38.4251000068616;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.76449997909367
HRH14450847;HE_9_2_C1;1;1280.05108298374;1869.13673905118;-0.064672862769856;0.701636186201483;26.2039999943227;"1";0;1408.15228769102;1875.46359150195;0.112053098704654;5.13758274390852;3.47756787613493;32.8025000053458;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.21069998992607;["1", "1"];[0, 0];0;0;0;0;86.585599987302;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;20.3118000063114;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.71539999428205
HRH14450847;HE_10_1_C1;1;1311.36643083846;1873.01365882638;0.301203439349589;0.713871508402406;44.7952999966219;"1";0;1440.28157153003;1875.62531049189;0.400980378595541;5.14328982837139;3.48391798526283;65.5952999950387;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.64389999979176;["1", "1"];[0, 0];0;0;0;0;44.5828000083566;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.7447999885771;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.38609997904859
