;;Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14720051;HE_1_1_C1;1;1308.9890575635;1893.90699061673;0.449274310831393;0.684765466552449;46.4725000783801;"1";0;1434.39778042218;1896.87036365536;0.467739479732592;5.14701338070648;3.48040226671693;46.0043998900801;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.4845999740064;["1", "1"];[0, 0];0;0;0;0;70.1771001331508;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;46.1275998968631;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.92179996520281
HRH14720051;HE_1_2_C1;1;1292.63555079258;1882.60544825989;-0.103310564091547;0.682890862105666;80.9494000859559;"1";0;1416.85609123448;1880.24016921069;0.0170781414390092;5.15089540513115;3.48006324073868;69.6599001530558;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.81719996221364;["1", "1"];[0, 0];0;0;0;0;85.08519991301;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;26.6668999101967;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.76329990103841
HRH14720051;HE_2_2_C1;1;1303.69051199436;1867.261963417;-0.0182137085042354;0.654821828514741;74.3319999892265;"1";0;1429.91306701017;1870.84347432991;0.182577700595691;5.14630181234268;3.48015329430681;66.752300132066;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.41709998995066;["1", "1"];[0, 0];0;0;0;0;81.4720999915153;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;25.7130998652428;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.6577999144793
HRH14720051;HE_4_2_C1;1;1300.95530199789;1855.03494452697;0.310050601606664;0.675711962051139;33.6358000058681;"1";0;1425.02027678111;1858.62040733851;0.364869508389319;5.14764253462871;3.48274599916123;63.9680998865515;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.34970010630786;["1", "1"];[0, 0];0;0;0;0;57.3438999708742;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;26.2395001482219;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.9428000561893
HRH14720051;HE_2_1_C1;1;1328.86244086009;1876.11521411227;-0.380242534389672;0.715036415438192;20.5421999562532;"1";0;1452.99318678604;1878.21854730153;-0.0130745516378763;5.15052610906783;3.48135703200569;44.8414999991655;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.56419989839196;["1", "1"];[0, 0];0;0;0;0;77.7182001620531;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;20.5135999713093;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.68070003949106
HRH14720051;HE_3_1_C1;1;1295.53752404928;1884.2158226781;0.240932783478746;0.704711126889492;30.3245999384671;"1";0;1423.16266983757;1885.86084199968;0.358712925935559;5.1480368396976;3.48034723803312;56.6646999213845;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.44280000030994;["1", "1"];[0, 0];0;0;0;0;50.0076999887824;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;32.6344000641257;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.85399991460145
HRH14720051;HE_3_2_C1;1;1286.93165595243;1872.47200795797;-0.0148459532700471;0.649630893266732;46.6805000323802;"1";0;1410.93424033933;1872.30001702681;0.18383415840125;5.14173118755948;3.48139752600732;52.1047997754067;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.4538000151515;["1", "1"];[0, 0];0;0;0;0;27.3106000386178;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.2533000539988;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.2117001600564
HRH14720051;HE_6_2_C1;1;1295.38260628533;1856.04350545966;0.251187473840989;0.647456024666639;21.075899945572;"1";0;1424.0725524534;1860.35571046897;0.25400163792967;5.14927749686619;3.48314474779162;37.3764000833035;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.38520005345345;["1", "1"];[0, 0];0;0;0;0;81.7041001282632;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.6636001132429;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.43599999137223
HRH14720051;HE_4_1_C1;1;1315.19255035199;1870.64106384123;-0.0313103040128987;0.686576547285227;37.3108999338001;"1";0;1443.41993506335;1869.7593472256;0.0671418819479804;5.14005223319958;3.48370309868383;18.8591000624001;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.41750006191432;["1", "1"];[0, 0];0;0;0;0;78.5278999246657;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;20.3539000358433;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.27419992350042
