;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_12_1_C;1;1305.83302597693;1865.48967841065;0.203786010078581;0.99510885134714;49.3435000025784;"FM";"1";0;0;0;0;0;24.1043000023637;"FM";"1";13;0;0;[11.3137084989848, 9.32952303175248, 20.8614476966485, 12.1852369693823, 12.1852369693823, 9.32952303175248, 13.7637204272682, 9.32952303175248, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 11.3137084989848];[71.68, 51.2, 153.6, 71.68, 92.16, 61.44, 122.88, 51.2, 92.16, 92.16, 61.44, 51.2, 81.92];1054.72;133.295600000565;"Scratch_PD";"1";0;0;0;0;0;0;102.204200000415
HE_12_2_C;1;1293.27611448338;1854.71072350655;0.260902080203831;0.994959625283059;29.2734000031487;"FM";"1";0;0;0;0;0;21.5829000007943;"FM";"1";13;0;0;[11.3137084989848, 25.298221281347, 9.32952303175248, 9.32952303175248, 9.32952303175248, 24.4752936652454, 13.7637204272682, 9.32952303175248, 12.1852369693823, 11.3137084989848, 9.32952303175248, 11.3137084989848, 11.3137084989848];[81.92, 184.32, 51.2, 51.2, 51.2, 215.04, 92.16, 51.2, 122.88, 71.68, 51.2, 71.68, 71.68];1167.36;110.307800001465;"Scratch_PD";"1";0;0;0;0;0;0;107.962699999916
HE_11_2_C;1;1282.30184016731;1866.17078080836;0.217060705119599;0.994822410415736;66.9180000004417;"FM";"1";0;0;0;0;0;21.7064999997092;"FM";"1";18;0;0;[16.4730082255792, 12.1852369693823, 25.298221281347, 15.8391918985787, 13.7637204272682, 12.1852369693823, 19.3328735577513, 11.3137084989848, 22.2854212434946, 27.9885690952574, 11.3137084989848, 9.32952303175248, 9.32952303175248, 11.3137084989848, 9.32952303175248, 12.1852369693823, 13.7637204272682, 9.32952303175248];[163.84, 81.92, 286.72, 122.88, 112.64, 92.16, 235.52, 81.92, 225.28, 215.04, 81.92, 51.2, 51.2, 61.44, 61.44, 71.68, 112.64, 51.2];2160.64;120.998900001723;"Scratch_PD";"1";0;0;0;0;0;0;68.840399999317
HE_13_2_C;1;1281.02888007478;1865.66461361059;0.264790468786242;0.996153890743415;29.4238000024052;"FM";"1";0;0;0;0;0;22.6354000005813;"FM";"1";29;0;0;[9.32952303175248, 9.32952303175248, 11.3137084989848, 14.4886162210199, 15.1789327688082, 9.32952303175248, 18.2428068015862, 9.32952303175248, 13.7637204272682, 12.1852369693823, 19.3328735577513, 9.32952303175248, 9.32952303175248, 16.4730082255792, 9.32952303175248, 11.3137084989848, 13.7637204272682, 9.32952303175248, 18.2428068015862, 20.8614476966485, 9.32952303175248, 15.1789327688082, 16.4730082255792, 22.740272645683, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248];[61.44, 71.68, 92.16, 112.64, 81.92, 51.2, 92.16, 51.2, 92.16, 71.68, 112.64, 61.44, 61.44, 215.04, 51.2, 81.92, 143.36, 61.44, 112.64, 163.84, 71.68, 92.16, 112.64, 204.8, 51.2, 61.44, 61.44, 51.2, 61.44];2611.2;201.44319999963;"Scratch_PD";"1";0;0;0;0;0;0;92.4802999979875
HE_16_2_C;1;1304.45865119709;1864.99495003699;0.257483305964921;0.99467409824706;54.4030999990355;"FM";"1";0;0;0;0;0;23.6211000010371;"FM";"1";15;0;0;[9.32952303175248, 12.1852369693823, 9.32952303175248, 15.1789327688082, 9.32952303175248, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 22.2854212434946, 12.1852369693823, 9.32952303175248];[71.68, 71.68, 51.2, 102.4, 51.2, 61.44, 51.2, 112.64, 61.44, 51.2, 71.68, 51.2, 204.8, 71.68, 61.44];1146.88;157.660600001691;"Scratch_PD";"1";0;0;0;0;0;0;133.109099999274
HE_15_2_C;1;1285.07466304247;1874.21085100449;0.334156182119885;0.99562200361737;48.0115999998816;"FM";"1";0;0;0;0;0;17.667000000074;"FM";"1";14;0;0;[15.8391918985787, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 12.1852369693823, 15.1789327688082, 20.8614476966485, 13.7637204272682, 18.2428068015862, 30.4420761447047, 16.4730082255792, 9.32952303175248, 9.32952303175248];[163.84, 81.92, 92.16, 61.44, 51.2, 92.16, 143.36, 225.28, 122.88, 92.16, 153.6, 153.6, 71.68, 61.44];1566.72;158.334300002025;"Scratch_PD";"1";0;0;0;0;0;0;90.0321000008262
HE_18_2_C;1;1310.5998140219;1854.51882321892;0.278374423426652;0.993222767064765;33.5979000010411;"FM";"1";1;0;8;58.88;58.88;14.2215999985638;"FM";"1";22;0;0;[8, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 12.1852369693823, 9.32952303175248, 15.1789327688082, 18.2428068015862, 9.32952303175248, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 11.3137084989848, 12.1852369693823, 9.32952303175248, 15.1789327688082, 9.32952303175248, 18.2428068015862];[58.88, 61.44, 51.2, 71.68, 71.68, 51.2, 92.16, 61.44, 102.4, 163.84, 51.2, 92.16, 92.16, 51.2, 61.44, 51.2, 81.92, 92.16, 51.2, 92.16, 61.44, 133.12];1697.28;132.146699997975;"Scratch_PD";"1";0;0;0;0;0;0;219.633400000021
HE_15_1_C;1;1297.09941074594;1882.35087275893;0.0301512499934518;0.99607979993732;19.6687999996357;"FM";"1";0;0;0;0;0;30.5511000005936;"FM";"1";19;0;0;[18.2428068015862, 11.3137084989848, 9.32952303175248, 12.1852369693823, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 15.1789327688082, 8.15843122174846, 9.32952303175248, 9.32952303175248, 11.3137084989848, 11.3137084989848, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 11.3137084989848];[133.12, 81.92, 51.2, 122.88, 71.68, 92.16, 61.44, 61.44, 112.64, 51.2, 51.2, 51.2, 81.92, 71.68, 92.16, 61.44, 61.44, 51.2, 71.68];1433.6;112.671999999293;"Scratch_PD";"1";0;0;0;0;0;0;175.295599998208
HE_18_1_C_77;1;1322.64332052086;1869.92834074854;0.017806498180026;0.994953619684679;33.8798000011593;"FM";"1";1;0;20.4899975597851;181.76;181.76;22.5316999967617;"FM";"77";16;41.2911612818046;0;[20.4899975597851, 12.1852369693823, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248, 11.3137084989848, 41.2911612818046, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248, 11.3137084989848, 13.7637204272682, 9.32952303175248, 11.3137084989848];[181.76, 92.16, 81.92, 61.44, 51.2, 51.2, 81.92, 1085.44, 51.2, 51.2, 61.44, 51.2, 71.68, 81.92, 51.2, 71.68];2178.56;81.2002999991819;"Scratch_PD";"1";0;0;0;0;0;0;172.282299998187
HE_17_1_C;1;1314.85609690291;1880.11055242657;0.160006688926856;0.995384456090164;15.9275000005437;"FM";"1";0;0;0;0;0;17.5914999999804;"FM";"1";15;0;0;[13.7637204272682, 12.1852369693823, 9.32952303175248, 12.1852369693823, 11.3137084989848, 9.32952303175248, 9.32952303175248, 18.2428068015862, 9.32952303175248, 13.7637204272682, 9.32952303175248, 9.32952303175248, 9.32952303175248, 9.32952303175248, 22.2854212434946];[122.88, 122.88, 61.44, 71.68, 81.92, 51.2, 71.68, 122.88, 51.2, 112.64, 51.2, 61.44, 51.2, 61.44, 143.36];1239.04;71.1276000001817;"Scratch_PD";"1";0;0;0;0;0;0;173.993799999153
