;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius;10. *width;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_4_12_L;"1";1;2992666;2992666;7661224.96;7661224.96;-1.63059130799783;"1";0;1259.34008809372;1911.24379679153;0.152790566978621;4029.05286750428;1987.30994441266;1393.29495978034;1911.6195864849;-0.036613714153824;5076.69139941444;3429.32221905486;1326.31752393703;1911.43169163822;-1.56799098867752;-214.327794698594;-0.60126350938117;214.328638072868;0.189404281132445;91.1754000007932;"1";0;0;0;0;0;0;[0.708007837944158, 0.735461747947009, 0.714499981196173, 0.680872584965559, 0.665841637290403, 0.65982092052944, 0.669751793389798, 0.682506589440769, 0.650605310021885];[26.4, 24.8, 24.8, 24.8, 24.8, 24.8, 24.8, 24.8, 24.8];[62.4, 65.6, 64, 62.4, 64, 64, 62.4, 65.6, 64];3.84240000130376;"1";0;0;0;0;0;0;0;0;0;2.2395999985747;"1";1;31617;31617;80939.52;80939.52;-5.18855469674102;5.6;2891.324743018;-2115.12474934371;-297.282285896041;8.1069000007119;"FM";"72";1;0;16.4730082255792;153.6;153.6;53.260799999407;"FM";"1";1;0;0;0;16.4730082255792;153.6;153.6;18.1445999987773
HE_15_15_L_51;"1";1;2989861;2989861;7654044.16;7654044.16;-1.60250726871028;"51";1;1;1952.34870228962;0.189963070136772;4028.50543858486;1987.74062622308;1391.49487789213;1954.04201129094;0.0496859555052889;5067.50004342952;3425.30607732932;1324.76881984968;1953.19535679028;-1.55810849398684;-213.523385735831;-2.70929440211949;213.540573503609;0.140277114631483;74.5748000008462;"1";0;0;0;0;0;0;[0.659849848300891, 0.683236613010171, 0.684266301506528, 0.641535864766787, 0.688030028970061, 0.6234345928508, 0.637586010002657, 0.641225548880909, 0.629904527122042];[28.8, 28, 28.8, 27.2, 28.8, 27.2, 28.8, 28, 28];[59.2, 60.8, 64, 59.2, 62.4, 59.2, 59.2, 60.8, 59.2];1.79149999894435;"1";0;0;0;0;0;0;0;0;0;1.61810000281548;"1";1;34506;34506;88335.36;88335.36;-5.13076680173411;5.6;2993.93598794413;-2180.02156146757;-293.9712834052;7.20730000102776;"FM";"1";0;0;0;0;0;48.9836999986437;"FM";"1";0;0;0;0;0;0;0;8.75979999909759
HE_13_15_L_51;"1";1;2989266;2989266;7652520.96;7652520.96;-1.64448576222706;"51";1;1;1950.27231746035;0.143489232571378;4028.71003372687;1987.32790136146;1388.29396215026;1950.16180003405;-0.0084453536522446;5072.23612360305;3426.27257890257;1321.68230582369;1950.2170587472;1.56996676176797;-213.157300245035;0.176827882081125;213.157373590153;0.151934586223622;75.7641999989573;"1";0;0;0;0;0;0;[0.647481631236858, 0.67413606235172, 0.625172655512231, 0.642581149302622, 0.614804260619872, 0.616134711742909, 0.672922691705822, 0.594851418789848, 0.619523589360215];[25.6, 26.4, 28, 28, 27.2, 28, 28.8, 28.8, 25.6];[62.4, 65.6, 60.8, 59.2, 60.8, 59.2, 59.2, 60.8, 60.8];2.80560000101104;"1";0;0;0;0;0;0;0;0;0;1.71019999834243;"1";1;34963;34963;89505.28;89505.28;-5.11557103030721;5.6;2990.49248634271;-2186.27435860767;-293.100629835993;7.18480000068666;"FM";"1";0;0;0;0;0;49.0731999998388;"FM";"1";0;0;0;0;0;0;0;14.5450999989407
HE_9_16_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;42.9255999988527;"1";0;0;0;0;0;0;0;0;0;0.911800001631491;"1";0;0;0;0;0;0;0;0;0;2.73430000015651;"74";2;3667;[2072, 1595];9387.52;[5304.32, 4083.2];[0.00192419965317916, 89.7305841089195];[4.8, 4];275.467181467181;-1015.19691119691;0.110248519067703;6.08940000165603;"-";"78";0;0;0;0;0;5.03129999924568;"-";"78";0;0;0;0;0;0;0;3.78249999994296
HE_9_15_L_51;"1";1;2989949;2989949;7654269.44;7654269.44;-1.68489131761984;"51";1;1;1952.55806717325;0.0907817631841628;4028.9197310378;1987.31510394568;1383.98711081556;1950.98178213973;-0.0800001645030667;5072.34769520079;3427.22767170204;1316.41755135065;1951.76992465649;1.55913269034483;-216.222590287698;2.52205605362833;216.237298626901;0.170781927687229;71.2712999993528;"1";0;0;0;0;0;0;[0.631321236164237, 0.61967195862702, 0.656601880033179, 0.709331788341087, 0.66801196972564, 0.617867412209437, 0.656643153916188, 0.593078478701821, 0.626231638021048];[27.2, 26.4, 27.2, 28.8, 28.8, 28.8, 28.8, 28, 25.6];[60.8, 60.8, 60.8, 64, 60.8, 60.8, 59.2, 60.8, 59.2];2.92830000034883;"1";0;0;0;0;0;0;0;0;0;1.42069999856176;"1";1;34044;34044;87152.64;87152.64;-5.09917947936912;5.6;2986.5509575843;-2153.28309246857;-292.161463147567;7.13420000101905;"FM";"1";0;0;0;0;0;53.6926999993739;"FM";"1";0;0;0;0;0;0;0;13.523500001611
HE_7_15_L_51;"1";1;2990336;2990336;7655260.16;7655260.16;-1.6194510785879;"51";1;1;1959.53240576719;0.16083411548134;4028.71782054867;1987.50518627848;1384.79886034857;1957.0069283866;0.00391906313747095;5075.97288698132;3429.16314440716;1316.98643687732;1958.2696670769;1.55217742619865;-216.999755108007;4.04076380894367;217.037373484602;0.156915052343869;73.0446000015945;"1";0;0;0;0;0;0;[0.657024642594725, 0.68037950093957, 0.652707290771758, 0.661781198455498, 0.621855552299944, 0.650070191474254, 0.65778609576138, 0.646549726840243, 0.677856908349871];[28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 29.6, 28.8, 28.8];[62.4, 62.4, 60.8, 60.8, 60.8, 60.8, 60.8, 62.4, 60.8];2.18400000085239;"1";0;0;0;0;0;0;0;0;0;1.55629999790108;"1";1;33993;33993;87022.08;87022.08;-5.43243825955412;5.6;3016.42719383402;-2152.70753390404;-311.255784737846;8.75699999960489;"FM";"1";0;0;0;0;0;47.9297999991104;"FM";"1";0;0;0;0;0;0;0;10.7801000012842
HE_5_15_L_51;"1";1;2988068;2988068;7649454.08;7649454.08;-1.76842099023586;"51";1;1;1956.7608435546;0.0135819963147831;4028.32737233013;1987.73191564231;1383.26737281452;1955.81065389514;-0.146601417652743;5075.19661040426;3422.03241707428;1316.18894806077;1956.28574872487;1.56371376802217;-214.650959211977;1.52030345513595;214.656343053769;0.160183413967526;82.361699998728;"1";0;0;0;0;0;0;[0.617251878936282, 0.6360816235317, 0.633873921673411, 0.629048884905829, 0.620644090785786, 0.604783843928021, 0.632575547342679, 0.593662517453417, 0.644088145438982];[27.2, 28, 28.8, 27.2, 28.8, 28, 27.2, 27.2, 27.2];[57.6, 57.6, 60.8, 57.6, 60.8, 57.6, 57.6, 59.2, 59.2];2.7778000003309;"1";0;0;0;0;0;0;0;0;0;1.64419999782695;"1";1;34578;34578;88519.68;88519.68;-6.08714208806089;5.6;3031.06895714038;-2166.80048585806;-348.76755094234;6.83369999751449;"FM";"1";0;0;0;0;0;76.2987999987672;"FM";"1";0;0;0;0;0;0;0;12.3373999995238
HE_3_15_L_51;"1";1;2990279;2990279;7655114.24;7655114.24;-1.75961802322258;"51";1;1;1956.01832408;0.02982215191298;4028.67907784146;1987.68766163229;1381.28247337113;1955.96499380903;-0.121015147896949;5072.42168994719;3422.84103144782;1313.96883783067;1955.99165894452;1.57040019406674;-215.403633729467;0.0853284335480566;215.403650630159;0.150837299809929;75.5339000024833;"1";0;0;0;0;0;0;[0.676503091403515, 0.677466129168332, 0.674192985902333, 0.68322132619077, 0.679587032570814, 0.653817238672905, 0.671082513543134, 0.642998312632215, 0.687918383459566];[29.6, 28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 27.2, 29.6];[60.8, 60.8, 60.8, 60.8, 60.8, 60.8, 59.2, 60.8, 62.4];2.72490000133985;"1";0;0;0;0;0;0;0;0;0;3.57529999746475;"1";1;33654;33654;86154.24;86154.24;-5.60148084999215;5.6;3012.71337731028;-2140.03570452249;-320.941211727903;7.41040000139037;"FM";"1";0;0;0;0;0;49.8751999984961;"FM";"1";0;0;0;0;0;0;0;11.3209000010102
HE_1_15_L_51;"1";1;2989827;2989827;7653957.12;7653957.12;-1.88293165108673;"51";1;1;1953.43556062194;-0.107111382977657;4028.50299678547;1987.53936671622;1386.23262271492;1951.95811297868;-0.280823728886335;5075.05318321858;3424.89312498018;1319.73233804397;1952.69683680031;1.55968820235275;-212.800910947029;2.36391622921292;212.814040419856;0.173712345908678;70.0192000003881;"1";0;0;0;0;0;0;[0.657503513850108, 0.636258911417345, 0.646686972225347, 0.622244900288926, 0.633545167952397, 0.639679885314784, 0.638083693973852, 0.63133565854425, 0.639856506119049];[28.8, 28.8, 28.8, 28, 28, 28.8, 27.2, 28.8, 28.8];[62.4, 60.8, 60.8, 57.6, 60.8, 60.8, 57.6, 57.6, 62.4];2.57319999946048;"1";0;0;0;0;0;0;0;0;0;1.39190000118106;"1";1;32815;32815;84006.4;84006.4;-5.30753823652779;5.6;2985.82019198537;-2127.41358525065;-304.09954055735;8.89319999987492;"FM";"1";0;0;0;0;0;49.6982000004209;"FM";"1";0;0;0;0;0;0;0;12.7967000007629
HE_1_16_L_77;"1";1;2990971;2990971;7656885.76;7656885.76;-1.54404355804791;"1";0;1250.01924290166;1944.18540712015;0.247789099099552;4028.36237486445;1987.30662350193;1383.63215928574;1943.10687028211;0.0435102453184814;5072.52557361702;3424.94844736441;1316.8257010937;1943.64613870113;1.56272440199335;-213.780666214525;1.72565894086583;213.787630946943;0.204278853781071;79.7215999991749;"1";0;0;0;0;0;0;[0.65572387760803, 0.63510595993318, 0.589970804400102, 0.628475721586223, 0.666698829528422, 0.633311028515337, 0.650005241468788, 0.641270917742447, 0.682618314010749];[28, 28, 28.8, 28.8, 28.8, 28, 28, 28.8, 28.8];[59.2, 59.2, 60.8, 60.8, 62.4, 57.6, 59.2, 60.8, 60.8];3.44310000218684;"1";0;0;0;0;0;0;0;0;0;2.1102000027895;"1";1;31828;31828;81479.68;81479.68;-4.81615800523987;5.6;2965.47990448662;-2095.61010431067;-275.94552716839;9.22229999923729;"FM";"72";1;19.3328735577513;19.3328735577513;174.08;174.08;50.511399997049;"FM";"77";1;17.8885438199983;0;0;19.3328735577513;174.08;174.08;8.50480000008247
