;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_3_2_C;1;1258.93384109236;1903.73191880044;0.259471484202147;0.993763009805946;41.1433999979636;"FM";"1";0;0;0;0;0;55.2156999983708;"FM";"1";9;0;0;[12.1852369693823, 13.7637204272682, 12.1852369693823, 20.8614476966485, 12.1852369693823, 12.1852369693823, 12.1852369693823, 18.2428068015862, 21.3466625026021];[81.92, 92.16, 61.44, 235.52, 71.68, 61.44, 71.68, 133.12, 102.4];911.36;153.350400003546;"Scratch_PD";"1";0;0;0;0;0;0;74.9338999994507
HE_6_2_C;1;1274.66813385762;1886.77413973988;0.310160992163419;0.996044027460016;36.3416999971378;"FM";"1";0;0;0;0;0;44.3333000002895;"FM";"1";11;0;0;[9.32952303175248, 9.32952303175248, 11.3137084989848, 9.32952303175248, 9.32952303175248, 9.32952303175248, 15.1789327688082, 12.1852369693823, 9.32952303175248, 9.32952303175248, 9.32952303175248];[61.44, 51.2, 81.92, 51.2, 71.68, 51.2, 92.16, 112.64, 61.44, 51.2, 61.44];747.52;179.532300000574;"Scratch_PD";"1";0;0;0;0;0;0;178.687100000388
HE_10_1_C;1;1296.57876511868;1894.69834252722;0.32828782304311;0.995509268091268;59.395799999038;"FM";"1";0;0;0;0;0;31.022800001665;"FM";"1";12;0;0;[12.1852369693823, 9.32952303175248, 9.32952303175248, 13.7637204272682, 11.3137084989848, 12.1852369693823, 9.32952303175248, 9.32952303175248, 13.7637204272682, 11.3137084989848, 11.3137084989848, 9.32952303175248];[92.16, 51.2, 61.44, 112.64, 71.68, 92.16, 51.2, 51.2, 133.12, 71.68, 81.92, 51.2];921.6;141.955999999482;"Scratch_PD";"1";0;0;0;0;0;0;129.279200002202
HE_15_1_C;1;1288.46859359859;1902.67041435878;0.264953341030766;0.993850547930151;45.2174000020023;"FM";"1";0;0;0;0;0;31.2816999976349;"FM";"1";12;0;0;[19.3328735577513, 9.32952303175248, 9.32952303175248, 9.32952303175248, 11.3137084989848, 9.32952303175248, 12.1852369693823, 9.32952303175248, 9.32952303175248, 15.1789327688082, 12.1852369693823, 9.32952303175248];[174.08, 51.2, 51.2, 51.2, 81.92, 51.2, 92.16, 61.44, 61.44, 133.12, 81.92, 61.44];952.32;197.450899999239;"Scratch_PD";"1";0;0;0;0;0;0;134.531799998513
HE_17_3_C;1;1306.02511447884;1900.29878695176;0.369697161214797;0.989384079970137;40.3673999971943;"FM";"1";0;0;0;0;0;33.0285999989428;"FM";"1";1;0;0;18.2428068015862;112.64;112.64;112.926300000254;"Scratch_PD";"1";0;0;0;0;0;0;175.307699999394
HE_18_3_C;1;1321.25268152119;1890.75401626414;0.333428912308003;0.991704786796106;48.7952000003133;"FM";"1";0;0;0;0;0;40.5731999999261;"FM";"1";1;0;0;18.2428068015862;133.12;133.12;142.374399998516;"Scratch_PD";"1";0;0;0;0;0;0;99.5417000012822
HE_18_4_C;1;1301.05285837116;1880.35288391069;0.277008921727413;0.988612817526075;19.9575000006007;"FM";"1";0;0;0;0;0;15.6653000012739;"FM";"1";1;0;0;16.4730082255792;92.16;92.16;140.083999998751;"Scratch_PD";"1";0;0;0;0;0;0;145.571699998982
HE_15_4_C;1;1275.79154147421;1902.65336937266;0.315604980606478;0.993527028956578;19.4832999986829;"FM";"1";0;0;0;0;0;37.6198999983899;"FM";"1";2;0;0;[12.1852369693823, 12.1852369693823];[102.4, 61.44];163.84;99.5363000001817;"Scratch_PD";"1";0;0;0;0;0;0;177.22219999996
HE_15_3_C;1;1291.01329486886;1914.00485809179;0.294320831395381;0.994751779356534;36.772799998289;"FM";"1";0;0;0;0;0;24.3757000025653;"FM";"1";7;0;0;[12.1852369693823, 9.32952303175248, 9.32952303175248, 12.1852369693823, 12.1852369693823, 9.32952303175248, 14.4886162210199];[71.68, 51.2, 51.2, 71.68, 92.16, 61.44, 112.64];512;120.689100000163;"Scratch_PD";"1";0;0;0;0;0;0;141.633899998851
HE_16_3_C;1;1305.63201351622;1902.52269065188;0.275080171212338;0.995061328786051;24.1764000020339;"FM";"1";0;0;0;0;0;37.9382999999507;"FM";"1";3;0;0;[12.1852369693823, 9.32952303175248, 15.1789327688082];[92.16, 51.2, 153.6];296.96;224.577000000863;"Scratch_PD";"1";0;0;0;0;0;0;148.149100001319
HE_16_4_C;1;1285.38258316136;1894.9166572956;0.196512633007556;0.992289484020944;20.3951000003144;"FM";"1";0;0;0;0;0;39.6180999996432;"FM";"1";3;0;0;[9.32952303175248, 13.7637204272682, 9.32952303175248];[51.2, 112.64, 51.2];215.04;154.10139999949;"Scratch_PD";"1";0;0;0;0;0;0;119.898100001592
HE_13_4_C;1;1276.47233543254;1902.4799253948;0.298256102706059;0.992349409448252;57.2620999992068;"FM";"1";0;0;0;0;0;40.3345999984595;"FM";"1";4;0;0;[13.7637204272682, 12.1852369693823, 13.7637204272682, 15.1789327688082];[92.16, 71.68, 81.92, 112.64];358.4;100.642000001244;"Scratch_PD";"1";0;0;0;0;0;0;123.953599999368
HE_14_4_C;1;1289.53447499603;1890.42090367316;0.249473450760423;0.995086852579163;49.1633999990881;"FM";"1";0;0;0;0;0;31.2202999994042;"FM";"1";3;0;0;[13.7637204272682, 13.7637204272682, 11.3137084989848];[81.92, 71.68, 71.68];225.28;148.744699999952;"Scratch_PD";"1";0;0;0;0;0;0;81.7630999990797
HE_14_3_C;1;1299.42748586131;1903.51684069225;0.329962901132166;0.993726780380939;32.5967999997374;"FM";"1";0;0;0;0;0;15.9404000005452;"FM";"1";9;0;0;[11.3137084989848, 13.7637204272682, 15.8391918985787, 15.1789327688082, 11.3137084989848, 11.3137084989848, 15.1789327688082, 11.3137084989848, 9.32952303175248];[61.44, 102.4, 122.88, 102.4, 81.92, 71.68, 143.36, 61.44, 51.2];798.72;126.946899999894;"Scratch_PD";"1";0;0;0;0;0;0;132.019500000752
HE_13_3_C;1;1283.77277553599;1918.17183746967;0.300391271334473;0.993536037354147;37.5475999971968;"FM";"1";0;0;0;0;0;26.675900000555;"FM";"1";3;0;0;[11.3137084989848, 11.3137084989848, 9.32952303175248];[61.44, 81.92, 51.2];194.56;149.90570000009;"Scratch_PD";"1";0;0;0;0;0;0;108.212800001638
HE_11_4_C;1;1273.76532012561;1898.16693642609;0.287122963000927;0.991772219221389;55.8879000018351;"FM";"1";0;0;0;0;0;17.766600001778;"FM";"1";2;0;0;[20.8614476966485, 11.3137084989848];[194.56, 81.92];276.48;116.701899998588;"Scratch_PD";"1";0;0;0;0;0;0;123.433400000067
HE_12_4_C;1;1286.34448988631;1887.76088168842;0.323361321048156;0.994586821235828;63.3731000016269;"FM";"1";0;0;0;0;0;25.3059999995457;"FM";"1";4;0;0;[9.32952303175248, 13.7637204272682, 11.3137084989848, 14.4886162210199];[61.44, 102.4, 71.68, 112.64];348.16;185.489100000268;"Scratch_PD";"1";0;0;0;0;0;0;163.810499998363
