;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copper_area(um);8. *Copper_max_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_6_1_C1;1;1300.86526484738;1895.85701631984;-0.1829041283801;0.756565534631392;46.9611000007717;"1";0;1424.92395641098;1899.52995150113;0.216027882337497;5.14145818665348;3.47501620315005;82.5020000011136;"1";0;[];[];[];[];6.23099999938859;["1", "1"];[0, 0];0;0;0;0;62.0811000007961;"1";0;[];[];[];[];24633.6;411.875;26.4817999996012;"1";0;[];[];[];[];[];1.57400000171037
HE_8_2_C1;1;1279.82872779781;1890.782100918;-0.105469486457946;0.71334124911138;36.0108999993827;"1";0;1411.40711080364;1889.91193818124;0.201774259916727;5.13912268917125;3.4857764465383;66.8794000011985;"1";0;[];[];[];[];3.14300000172807;["1", "1"];[0, 0];0;0;0;0;89.7536000011314;"1";0;[];[];[];[];[];[];23.7846999989415;"1";0;[];[];[];[];[];4.35579999975744
HE_7_2_C1;1;1266.40680875854;1897.49102948086;-0.0731177084123272;0.758458344843632;46.4773999992758;"1";0;1397.58390356267;1900.16487648759;0.213398602264505;5.13780335765052;3.48700759879973;48.7998000025982;"1";0;[];[];[];[];3.3207999986189;["1", "1"];[0, 0];0;0;0;0;108.750499999587;"1";0;[];[];[];[];[];[];26.6089999968244;"1";0;[];[];[];[];[];1.6661000008753
HE_8_1_C1;1;1305.82061891285;1896.29378658917;-0.187206487663586;0.752601523900779;58.1786000002467;"1";0;1428.50434843373;1902.50437688058;0.209030856795956;5.13470702697176;3.47446977563057;63.9144000015222;"1";0;[];[];[];[];8.30019999921205;["1", "1"];[0, 0];0;0;4;0;59.9428999994416;"1";0;[];[];[];[];[];[];18.9824999979464;"1";0;[];[];[];[];[];1.94819999887841
HE_9_2_C1;1;1270.70583405656;1898.76249134318;0;0.746908554847039;158.130700001493;"1";0;1400.28483380295;1896.82837870191;0.214569810805078;5.13420044773126;3.48420850455338;78.2759000030637;"1";0;[];[];[];[];5.08170000102837;["1", "1"];[0, 0];0;0;5.6;0;80.6276999974216;"1";0;[];[];[];[];[];[];22.4769999986165;"1";0;[];[];[];[];[];7.34559999909834
HE_10_1_C1;1;1302.46728324477;1892.96053091399;0;0.726005454614381;38.3354000005056;"1";0;1429.17568843555;1896.18859796563;0.201385253020675;5.14832496943635;3.48430884527532;79.6963000029791;"1";0;[];[];[];[];6.55439999900409;["1", "1"];[0, 0];0;0;0;0;79.7705999975733;"1";0;[];[];[];[];[];[];23.9414000025135;"1";0;[];[];[];[];[];5.24729999960982
HE_10_2_C1;1;1286.84359806213;1882.76721016392;-0.101399716912266;0.728611760562785;85.3027999983169;"1";0;1414.94393603807;1886.16948191605;0.199491988726373;5.14097619552122;3.47814951565037;79.2019000000437;"1";0;[];[];[];[];12.6215999989654;["1", "1"];[0, 0];0;0;5.6;0;68.7154000006558;"1";0;[];[];[];[];[];[];36.5330999993603;"1";0;[];[];[];[];[];2.2858999982418
HE_12_1_C1;1;1304.11518047215;1902.38834744038;-0.109319024307295;0.762682606336568;49.7725999994145;"1";0;1432.83719830518;1901.36812130757;0.181543302741997;5.13811684798653;3.48302210842579;79.0288999996847;"1";0;[];[];[];[];8.18449999860604;["1", "1"];[0, 0];0;0;4;0;78.1392999997479;"1";0;[];[];[];[];[];[];38.9401000029466;"1";0;[];[];[];[];[];3.16830000156187
HE_11_2_C1;1;1279.9519801474;1898.71592984816;0;0.74243674733458;24.5420000028389;"1";0;1406.98742025278;1902.68605053364;0.238150049332335;5.13463392161446;3.47742299662991;123.54889999915;"1";0;[];[];[];[];8.84310000037658;["1", "1"];[0, 0];0;0;0;0;71.7652999992424;"1";0;[];[];[];[];[];[];21.8624000008276;"1";0;[];[];[];[];[];3.66080000094371
HE_12_2_C1;1;1290.98127443675;1887.96628312981;-0.245947881630878;0.736628715223617;50.7919000010588;"1";0;1419.23939670622;1889.86566973772;0.209412447912061;5.13769588395824;3.47843200734373;85.8750999977929;"1";0;[];[];[];[];9.85149999905843;["1", "1"];[0, 0];0;4;0;0;80.5331000010483;"1";0;[];[];[];[];[];[];31.0470000003988;"1";0;[];[];[];[];[];2.22090000170283
