;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_2_1_L;"1";1;2992551;2992551;7660930.56;7660930.56;-1.46554983958776;"1";0;1260.9464900629;1898.61679218883;0.30610592876157;4029.4042760211;1987.38052659955;1395.75242592419;1903.2341592633;0.250269696070631;5082.96915763087;3430.32744010949;1328.34945799355;1900.92547572607;-1.53655775545929;-215.689497378065;-7.38778731915809;215.815983376291;0.0558362326909397;116.63469999985;"1";0;0;0;0;0;0;[0.553833777706907, 0.58643906309154, 0.543367913603558, 0.569928246193873, 0.541654834127144, 0.516852854826971, 0.520290933545403, 0.56857966804283, 0.551425512854822];[24.8, 28, 24.8, 26.4, 25.6, 24.8, 26.4, 27.2, 24.8];[59.2, 62.4, 59.2, 59.2, 57.6, 57.6, 59.2, 59.2, 60.8];3.00100000094972;"1";0;0;0;0;0;0;0;0;0;3.8803999996162;"1";1;32662;32662;83614.72;83614.72;-4.7944831007437;5.6;2869.11067295328;-2145.95569162942;-274.703646619411;10.1418999984162;"FM";"1";0;0;0;0;0;85.8265999995638;"FM";"1";0;0;0;0;0;0;0;15.1785999987624
HE_1_1_L;"1";1;2992832;2992832;7661649.92;7661649.92;-1.3890569942136;"1";0;1246.14018387954;1911.58366409554;0.393100044327016;4029.79686826518;1987.70088836363;1383.87501330526;1914.02893415722;0.343610642800639;5078.32752195294;3430.28714901002;1315.0075985924;1912.80629912638;-1.55304472964286;-220.375727081149;-3.91243209869208;220.41045395233;0.049489401526377;94.987400003447;"1";0;0;0;0;0;0;[0.548344277301599, 0.572777132252394, 0.54741053109924, 0.524182720028741, 0.526119076429362, 0.5289168911481, 0.52901355478312, 0.559934240515993, 0.509676024215344];[26.4, 28, 26.4, 25.6, 23.2, 25.6, 28, 27.2, 23.2];[57.6, 60.8, 59.2, 59.2, 56, 59.2, 59.2, 59.2, 57.6];3.53610000092885;"1";0;0;0;0;0;0;0;0;0;3.28829999853042;"1";1;32804;32804;83978.24;83978.24;-4.59422851666036;5.6;2895.11166930862;-2123.36705279844;-263.229904123287;13.0348999991838;"FM";"1";0;0;0;0;0;77.735599999869;"FM";"1";0;0;0;0;0;0;0;18.408099997032
HE_1_2_L;"1";1;2991936;2991936;7659356.16;7659356.16;-1.45573973093818;"1";0;1252.86278692256;1897.54699083504;0.328125688492492;4029.43407533249;1987.2371181553;1386.61365640769;1902.63040009932;0.232318666161012;5089.66953588612;3433.79457719255;1319.73822166513;1900.08869546718;-1.53280805991498;-214.001391176211;-8.13345482285149;214.155897683695;0.0958070223314804;102.227900002617;"1";0;0;0;0;0;0;[0.601125648980151, 0.598386626113071, 0.594174910803939, 0.526231723913382, 0.556546032980218, 0.532354722994278, 0.555379741308475, 0.564152649839617, 0.518355295997813];[27.2, 28, 28, 23.2, 27.2, 25.6, 28.8, 27.2, 24];[57.6, 57.6, 60.8, 57.6, 60.8, 59.2, 60.8, 60.8, 59.2];3.70900000052643;"1";0;0;0;0;0;0;0;0;0;2.93040000178735;"1";1;31150;31150;79744;79744;-5.36702696904644;5.6;2842.86664526485;-2112.75202568218;-307.507993859252;8.10110000020359;"FM";"1";0;0;0;0;0;88.0538999990677;"FM";"1";0;0;0;0;0;0;0;12.333700000454
HE_3_2_L;"1";1;2990111;2990111;7654684.16;7654684.16;-1.49627448062605;"1";0;1240.69221063457;1898.02349910573;0.301687777795002;4028.71049863834;1988.04661876827;1379.26657475329;1899.19584824593;0.225643270405209;5081.34844441981;3432.91850586998;1309.97939269393;1898.60967367583;-1.56233645631732;-221.718982589958;-1.87575862432241;221.726916974784;0.0760445073897931;129.354400000011;"1";0;0;0;0;0;0;[0.55406341500763, 0.535166870449434, 0.495360819915223, 0.422951612733206, 0.543614558710868, 0.485999102724948, 0.443020456707752, 0.483102129819145, 0.511705915940689];[27.2, 27.2, 26.4, 24, 26.4, 27.2, 24, 24, 26.4];[54.4, 54.4, 54.4, 54.4, 56, 56, 54.4, 57.6, 57.6];3.30939999912516;"1";0;0;0;0;0;0;0;0;0;4.20220000160043;"1";1;32034;32034;82007.04;82007.04;-5.1231018968335;5.6;2899.72798901168;-2088.95153898982;-293.532116704026;34.9775000031514;"FM";"1";0;0;0;0;0;207.709799997247;"FM";"1";0;0;0;0;0;0;0;18.6031000012008
HE_3_1_L;"1";1;2990222;2990222;7654968.32;7654968.32;-1.40865356334903;"1";0;1242.00481106608;1905.14578389471;0.370366134375165;4029.15353932082;1987.488457865;1375.30001420955;1910.61381326679;0.239520630812;5083.46865321989;3429.46821621846;1308.65241263781;1907.87979858075;-1.52979736257492;-213.272325029546;-8.74884699532158;213.451696988466;0.130845503563165;114.012399997591;"1";0;0;0;0;0;0;[0.541010220559785, 0.561599829431361, 0.536713006886309, 0.495577641403282, 0.536633106558047, 0.54288367284994, 0.510800727933899, 0.504280849976314, 0.518445216878564];[26.4, 27.2, 26.4, 25.6, 26.4, 26.4, 26.4, 25.6, 27.2];[56, 57.6, 54.4, 54.4, 57.6, 54.4, 56, 54.4, 57.6];2.93410000085714;"1";0;0;0;0;0;0;0;0;0;4.28530000135652;"1";1;32978;32978;84423.68;84423.68;-4.56659596549434;5.6;2900.52641154709;-2115.23435017284;-261.646675564295;9.02819999828353;"FM";"1";0;0;0;0;0;70.6884999999602;"FM";"1";0;0;0;0;0;0;0;20.9569999969972
HE_4_2_L;"1";1;2988815;2988815;7651366.4;7651366.4;-1.47944901150865;"1";0;1259.03811417373;1884.32778070213;0.301009858414039;4028.8415396581;1987.28582050259;1394.40556754447;1887.61900367186;0.229142867980487;5085.96905526306;3434.72701175418;1326.7218408591;1885.973392187;-1.54648786416555;-216.58792539318;-5.26595675157623;216.651932201472;0.071866990433552;121.689599996898;"1";0;0;0;0;0;0;[0.448283515655033, 0.528136424124157, 0.434899485563407, 0.481007390662639, 0.535481666228557, 0.520396785931284, 0.46618620151658, 0.502045628074701, 0.496780894692684];[24, 24.8, 23.2, 23.2, 27.2, 24.8, 23.2, 24.8, 24.8];[56, 56, 54.4, 56, 57.6, 54.4, 56, 54.4, 56];8.90900000013062;"1";0;0;0;0;0;0;0;0;0;2.24040000102832;"1";1;32744;32744;83824.64;83824.64;-4.75535867699386;5.6;2872.54483264109;-2136.99438064989;-272.461982262663;8.44339999821386;"FM";"1";0;0;0;0;0;162.59209999771;"FM";"1";0;0;0;0;0;0;0;25.632199998654
HE_6_2_L;"1";1;2989783;2989783;7653844.48;7653844.48;-1.44426462056673;"1";0;1255.53274723399;1888.02823582243;0.332768634993514;4029.52515580866;1987.2457299941;1393.68229522822;1892.02451818996;0.207689901181591;5086.7637300445;3434.4245844169;1324.60752123111;1890.0263770062;-1.54187717135998;-221.039276790754;-6.39405178803463;221.13173852355;0.125078733811923;159.125899997889;"1";0;0;0;0;0;0;[0.534511201004928, 0.592054185653515, 0.498416044817359, 0.541813723526034, 0.527308456051028, 0.487904725740196, 0.488312736937051, 0.544713674520649, 0.496883387856609];[23.2, 27.2, 22.4, 24, 27.2, 23.2, 23.2, 27.2, 23.2];[59.2, 60.8, 57.6, 59.2, 59.2, 59.2, 57.6, 57.6, 60.8];2.94959999882849;"1";0;0;0;0;0;0;0;0;0;1.2038000022585;"1";1;32350;32350;82816;82816;-5.22644152441881;5.6;2854.26161360124;-2134.08999072643;-299.453041221118;7.85900000119;"FM";"1";0;0;0;0;0;109.227900000405;"FM";"1";0;0;0;0;0;0;0;44.9557000029017
HE_6_1_L;"1";1;2991987;2991987;7659486.72;7659486.72;-1.52920744835983;"1";0;1253.23660887306;1902.38113998669;0.243727957694278;4029.68186942867;1987.37636777959;1387.64561005278;1905.58747250547;0.212508059770669;5084.76802407591;3428.97144546385;1320.44110946292;1903.98430624608;-1.54694580713925;-215.054401887565;-5.1301320300423;215.115582945225;0.0312198979236091;192.09889999911;"1";0;0;0;0;0;0;[0.576924549244432, 0.52760947909181, 0.516627669415574, 0.528554124112916, 0.556147904089105, 0.535994418458044, 0.543464634206495, 0.496820387107538, 0.544519162928164];[28, 25.6, 24, 24, 24.8, 24.8, 25.6, 24, 28];[59.2, 59.2, 59.2, 60.8, 60.8, 62.4, 60.8, 60.8, 60.8];13.3337000006577;"1";0;0;0;0;0;0;0;0;0;1.6081000030681;"1";1;32941;32941;84328.96;84328.96;-4.92869064596891;5.6;2876.04534167147;-2141.9633405179;-282.393172539626;10.8733999986725;"FM";"1";0;0;0;0;0;121.538399998826;"FM";"1";0;0;0;0;0;0;0;24.922600001446
HE_5_1_L;"1";1;2991040;2991040;7657062.4;7657062.4;-1.49258246476523;"1";0;1236.4612532992;1915.67474044582;0.286906529975114;4029.67794523069;1987.24370400724;1372.53574251867;1916.33963387827;0.22912707963957;5083.11168874137;3428.57990930525;1304.49849790893;1916.00718716204;-1.56591011965345;-217.719182751163;-1.0638294919183;217.721781801965;0.0577794503355443;147.350600000209;"1";0;0;0;0;0;0;[0.536887969215182, 0.530566699146723, 0.545506814922758, 0.528234369884569, 0.528698597751534, 0.497460490401037, 0.480945482084854, 0.518734338692479, 0.500121990045076];[24.8, 25.6, 24.8, 24.8, 23.2, 24.8, 24, 24.8, 23.2];[57.6, 57.6, 59.2, 57.6, 59.2, 56, 56, 60.8, 59.2];4.99109999873326;"1";0;0;0;0;0;0;0;0;0;8.7905000000319;"1";1;33010;33010;84505.6;84505.6;-4.78300186159013;5.6;2895.70874280521;-2116.3665798243;-274.04582007233;11.9153000014194;"FM";"1";0;0;0;0;0;88.2778999985021;"FM";"1";0;0;0;0;0;0;0;24.2818000006082
