;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14441021;HE_5_2_C1;1;1273.9807053266;1888.82207014055;-0.267918505553286;0.682261125988276;21.087200002512;"1";0;1405.45711071802;1890.8891824655;0.089498464684033;5.14152958682706;3.47223191177016;88.3927999966545;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.19780000427272;["1", "1"];[0, 0];0;0;0;0;33.8994000048842;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;25.9905999992043;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.50399999984074
HRH14441021;HE_6_1_C1;1;1302.65673485523;1883.78982786254;0.0764726425438942;0.68407187927923;25.9602000005543;"1";0;1437.28814890271;1893.5741901091;0.346414884509239;5.13880735295992;3.47358663821269;30.9714999893913;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.36220000463072;["1", "1"];[0, 0];0;0;0;0;50.7396000029985;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;35.3027999954065;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.11780000245199
HRH14441021;HE_7_1_C1;1;1291.87722554046;1894.08038897579;0.00802034446825431;0.723381532295804;62.7848000003723;"1";0;1421.54347233742;1903.90300994373;0.320462982875758;5.13486071450293;3.47384730836041;31.8095999973593;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.90709999576211;["1", "1"];[0, 0];0;0;0;0;47.7493999933358;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.4568999999901;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.51850000838749
HRH14441021;HE_7_2_C1;1;1278.18355977066;1884.86975770313;0.257432989677095;0.66452726968916;22.9822999972384;"1";0;1406.19374691602;1889.08831455033;0.716312868500547;5.13371741006745;3.46233436487115;27.8370000014547;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.44380001095124;["1", "1"];[0, 0];0;0;0;0;81.233599994448;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.5868999948725;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.65189999097493
HRH14441021;HE_8_2_C1;1;1292.58713758994;1871.96291808832;0.255370913797258;0.620593417734881;16.2139000021853;"1";0;1422.56447787288;1877.16619803195;0.516888634105867;5.13174452043919;3.46331753536446;81.0825999942608;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.54179999057669;["1", "1"];[0, 0];0;0;0;0;44.5725000026869;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.5049999983748;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.39970000600442
HRH14441021;HE_8_1_C1;1;1307.5736828239;1884.69753527931;0.312958086200269;0.644441791692941;15.6691000011051;"1";0;1438.48180477669;1889.73194960532;0.562393326341462;5.13857653187138;3.47460767968267;41.6950999933761;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.58840000687633;["1", "1"];[0, 0];0;0;0;0;53.9137000014307;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.6237999993609;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.958399992669001
HRH14441021;HE_9_2_C1;1;1279.30965137546;1892.00182186264;0.00334184862135252;0.656265061101578;16.7160999990301;"1";0;1407.78772519167;1894.466150511;0.469693381624582;5.13077087565667;3.4634754728475;27.8910999913933;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.78610000654589;["1", "1"];[0, 0];0;0;0;0;93.8115000026301;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.3655000000726;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.65999999444466
HRH14441021;HE_10_1_C1;1;1313.26086848573;1888.02807772859;0.234497169310922;0.714072230240987;52.3633999982849;"1";0;1443.25609987892;1894.80407857105;0.442977037650135;5.13465599257994;3.47453877864965;45.130499987863;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.27869999839459;["1", "1"];[0, 0];0;0;0;0;38.0917000002228;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;35.7572999928379;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.45759999577422
HRH14441021;HE_10_2_C1;1;1295.96108729944;1876.86834183064;-0.151360639892968;0.713932216116717;45.5151999922236;"1";0;1424.91026156246;1881.70962337013;0.278924861641718;5.13108740729508;3.46412261868055;44.3348000117112;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.76260000141338;["1", "1"];[0, 0];0;0;0;0;43.0454000015743;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;32.6717999996617;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.28840000252239
HRH14441021;HE_12_1_C1;1;1311.50351306054;1876.95490705669;0.0894531057625641;0.701090078726139;14.1419999999925;"1";0;1442.99106354823;1885.73702567951;0.428692174445465;5.13486116995868;3.47554138350335;26.3689999992494;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.83939999644645;["1", "1"];[0, 0];0;0;0;0;78.8634000055026;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;40.6528999883449;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.36019999627024
