;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Missing (WB);Missing (WB);Missing (WB);Missing (WB);Broken (WB);Broken (WB);Broken (WB);Broken (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);NSOP (WB);NSOP (WB);NSOP (WB);NSOP (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14720423;HE_1_2_O;1;1279.05446004468;1885.3876427354;0.209266814680987;0.98148838296099;41.2410001736134;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;9.5525998622179;"1";0;0;"Wire Sweep";[1678, 1669, 1672, 1677, 1661, 1724, 1690, 1730, 1727];1661;1730;1692.0000;[0.758486037123028, 0.761973941971296, 0.809001459937319, 0.793776489542866, 0.735736708649118, 0.711065368069537, 0.797109228525087, 0.736116424521413, 0.700279810535197];0.700279810535197;0.809001459937319;0.7559;[225, 237, 233, 238, 216, 214, 215, 224, 226];214;238;225.3333;[4332, 3650, 4232, 4130, 4236, 4121, 4271, 3627, 2839];2839;4332;3937.5556;[122, 122, 122, 121, 120, 123, 122, 118, 119];118;123;121.0000;[131, 93, 131, 131, 131, 131, 131, 87, 46];46;131;112.4444;[131, 93, 131, 131, 131, 131, 131, 87, 46];46;131;112.4444;0;0;0;0.0000;0;0;0;0.0000;40.7881999853998;"1";0;0;0.436299946159124;"1";0;0;0.725599937140942;"1";0;0;0.417400151491165;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.858399784192443;"1";0;0;0.266199931502342;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[35.2, 32, 32, 30.4, 28.8, 28.8, 32, 30.4, 28.8];28.8;35.2;30.9333;5.17989997752011
HRH14720423;HE_1_1_O;1;1290.77642588346;1901.33862128816;0.181139156120932;0.982547001276686;50.5154000129551;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.26259986124933;"1";0;0;"Wire Sweep";[1685, 1653, 1605, 1674, 1658, 1710, 1703, 1725, 1713];1605;1725;1680.6667;[0.770602644178442, 0.784620406661096, 0.805474680120632, 0.769214424764654, 0.817973075274439, 0.744512434936306, 0.776446108944496, 0.795881057567215, 0.746878017029375];0.744512434936306;0.817973075274439;0.7791;[170, 156, 156, 150, 183, 168, 162, 174, 153];150;183;163.5556;[4808, 4536, 4618, 4691, 4594, 4617, 4579, 4518, 4895];4518;4895;4650.6667;[126, 126, 126, 125, 122, 125, 126, 123, 119];119;126;124.2222;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;32.6590999029577;"1";0;0;0.317600090056658;"1";0;0;0.315299956128001;"1";0;0;0.900599872693419;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.741600058972836;"1";0;0;0.267799943685532;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 30.4, 32, 32, 33.6, 33.6, 32, 30.4, 32];30.4;33.6;32.1778;5.94049994833767
HRH14720423;HE_2_2_O;1;1292.9612793521;1873.36583509234;0.180174389318075;0.981413715422448;35.1478001102805;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.66670009680092;"1";0;0;"Wire Sweep";[1729, 1695, 1725, 1720, 1730, 1753, 1753, 1717, 1740];1695;1753;1729.1111;[0.769106630426085, 0.807740571087536, 0.798014088125753, 0.773161065792932, 0.801342707274149, 0.748777374673948, 0.738861681670791, 0.821771065350469, 0.777599200384381];0.738861681670791;0.821771065350469;0.7818;[174, 177, 164, 171, 163, 170, 185, 181, 179];163;185;173.7778;[2859, 3176, 3060, 3289, 3779, 4140, 3132, 3867, 3894];2859;4140;3466.2222;[123, 122, 122, 120, 122, 122, 122, 120, 118];118;123;121.2222;[47, 45, 45, 87, 98, 131, 49, 131, 131];45;131;84.8889;[47, 45, 45, 87, 98, 131, 49, 131, 131];45;131;84.8889;0;0;0;0.0000;0;0;0;0.0000;34.3612998258322;"1";0;0;0.228499993681908;"1";0;0;0.331699848175049;"1";0;0;0.273100100457668;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.202100025489926;"1";0;0;0.175999943166971;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 30.4, 30.4, 30.4, 32, 30.4, 30.4, 32, 30.4];30.4;33.6;31.1111;4.55960002727807
HRH14720423;HE_2_1_O;1;1305.00177482375;1886.42745378411;0.185680494998527;0.978861157887721;48.646799987182;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.83130004815757;"1";0;0;"Wire Sweep";[1708, 1730, 1677, 1752, 1701, 1804, 1776, 1683, 1740];1677;1804;1730.1111;[0.789625363150734, 0.774356674209803, 0.816784052806914, 0.803116944290012, 0.841143089418974, 0.788559615542264, 0.764501850244377, 0.789848041664827, 0.804759360221459];0.764501850244377;0.841143089418974;0.7970;[107, 159, 158, 150, 130, 136, 149, 132];107;159;140.1250;[4768, 4740, 4846, 4843, 4713, 4661, 4627, 4596, 4703];4596;4846;4721.8889;[125, 126, 125, 122, 122, 123, 124, 122, 120];120;126;123.2222;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;40.0984999723732;"1";0;0;0.507899792864919;"1";0;0;0.177100067958236;"1";0;0;0.225000083446503;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.368900131434202;"1";0;0;0.258499989286065;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 32, 30.4, 33.6, 30.4, 30.4, 32, 30.4, 33.6];30.4;33.6;31.8222;4.44080005399883
HRH14720423;HE_4_2_O;1;1291.6964856311;1868.0961811259;0.186824100424397;0.981240450118477;37.4942999333143;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.70350007526577;"1";0;0;"Wire Sweep";[1683, 1629, 1678, 1643, 1691, 1678, 1682, 1726, 1729];1629;1729;1682.1111;[0.746425546969442, 0.74947985425747, 0.791107977789977, 0.804797688236248, 0.780287871662352, 0.756495175144843, 0.802258203171245, 0.758800931272563, 0.783779246375224];0.746425546969442;0.804797688236248;0.7748;[172, 201, 192, 189, 185, 165, 177, 193, 185];165;201;184.3333;[3025, 3004, 2924, 2861, 2874, 3030, 2838, 2961, 2837];2837;3030;2928.2222;[123, 122, 121, 122, 120, 122, 122, 119, 118];118;123;121.0000;[45, 46, 44, 46, 46, 53, 44, 43, 45];43;53;45.7778;[45, 46, 44, 46, 46, 53, 44, 43, 45];43;53;45.7778;0;0;0;0.0000;0;0;0;0.0000;27.2507001645863;"1";0;0;0.217899912968278;"1";0;0;0.39529986679554;"1";0;0;0.731599982827902;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.658500008285046;"1";0;0;0.383599894121289;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 27.2, 28.8, 30.4, 28.8, 30.4, 27.2, 28.8, 30.4];27.2;32;29.3333;5.40649984031916
HRH14720423;HE_3_2_O;1;1271.62540474472;1877.94391574209;0.0922115576556115;0.976558756222047;23.9764000289142;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.41260000318289;"1";0;0;"Wire Sweep";[1709, 1637, 1651, 1696, 1624, 1710, 1672, 1623, 1668];1623;1710;1665.5556;[0.756638104951387, 0.769461504759425, 0.73339241335789, 0.727781640301668, 0.793365051304418, 0.731243478186828, 0.735579485132324, 0.7918205806763, 0.747629533587478];0.727781640301668;0.793365051304418;0.7541;[207, 207, 216, 206, 219, 200, 196, 203, 205];196;219;206.5556;[2951, 2773, 2879, 2668, 2664, 2829, 2995, 2714, 2686];2664;2995;2795.4444;[123, 123, 122, 121, 122, 123, 121, 120, 118];118;123;121.4444;[45, 44, 46, 44, 45, 49, 50, 45, 44];44;50;45.7778;[45, 44, 46, 44, 45, 49, 50, 45, 44];44;50;45.7778;0;0;0;0.0000;0;0;0;0.0000;37.2848999686539;"1";0;0;0.202999915927649;"1";0;0;0.311499927192926;"1";0;0;1.17870001122355;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.748600112274289;"1";0;0;0.439800089225173;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 28.8, 30.4, 30.4, 30.4, 28.8, 35.2, 28.8, 33.6];28.8;35.2;31.1111;7.37820006906986
HRH14720423;HE_4_1_O;1;1299.20400276029;1886.62007329644;0.167298921077937;0.986790693561304;74.0908000152558;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.13179993443191;"1";0;0;"Wire Sweep";[1703, 1658, 1708, 1718, 1734, 1716, 1739, 1675, 1689];1658;1739;1704.4444;[0.760702933054692, 0.78353209322571, 0.787856168098434, 0.785048682811097, 0.786525456499688, 0.747417798215591, 0.810646104089662, 0.790815276776147, 0.756091009795955];0.747417798215591;0.810646104089662;0.7787;[166, 185, 175, 170, 171, 167, 163, 169, 140];140;185;167.3333;[3166, 3249, 3155, 3031, 3084, 3120, 3317, 3125, 2849];2849;3317;3121.7778;[125, 122, 123, 123, 121, 122, 122, 121, 120];120;125;122.1111;[69, 53, 68, 44, 50, 73, 61, 45, 44];44;73;56.3333;[69, 53, 68, 44, 50, 73, 61, 45, 44];44;73;56.3333;0;0;0;0.0000;0;0;0;0.0000;49.299499951303;"1";0;0;0.435099937021732;"1";0;0;0.303100096061826;"1";0;0;0.343399820849299;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.287899980321527;"1";0;0;0.241299858316779;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 30.4, 33.6, 30.4, 30.4, 30.4, 30.4, 30.4, 30.4];30.4;33.6;31.1111;6.20329985395074
HRH14720423;HE_3_1_O;1;1282.4954817475;1895.77615645664;0.158164591400638;0.976701226070105;68.7748999334872;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.81390005350113;"1";0;0;"Wire Sweep";[1673, 1691, 1661, 1694, 1675, 1676, 1750, 1715, 1698];1661;1750;1692.5556;[0.756451664902259, 0.763251884013548, 0.782572248078952, 0.725783937746186, 0.750990183868833, 0.848561285539896, 0.785421142824164, 0.773963360527845, 0.765834354409822];0.725783937746186;0.848561285539896;0.7725;[179, 176, 184, 175, 152, 168, 182, 174, 172];152;184;173.5556;[4749, 4728, 4678, 4926, 4682, 4843, 4669, 4753, 4676];4669;4926;4744.8889;[123, 126, 123, 126, 121, 124, 122, 121, 120];120;126;122.8889;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;49.0144998766482;"1";0;0;0.434299930930138;"1";0;0;0.36709988489747;"1";0;0;0.228199874982238;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.236999941989779;"1";0;0;0.233799917623401;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 33.6, 30.4, 32, 30.4, 30.4, 32, 28.8, 33.6];28.8;33.6;31.6444;9.49730002321303
HRH14720423;HE_5_2_O;1;1276.06955130051;1883.43549852889;0.275688004985152;0.987125651354603;69.5919001009315;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.80100000277162;"1";0;0;"Wire Sweep";[1637, 1743, 1658, 1687, 1695, 1717, 1662, 1723, 1680];1637;1743;1689.1111;[0.75894660315687, 0.800360379415634, 0.796274038680245, 0.709147490978125, 0.770550124965115, 0.732597283720298, 0.746687686669116, 0.708191861078127, 0.766703210709915];0.708191861078127;0.800360379415634;0.7544;[205, 213, 209, 215, 203, 203, 209, 200, 213];200;215;207.7778;[3299, 3373, 3315, 3472, 3579, 3334, 3127, 3052, 3596];3052;3596;3349.6667;[124, 124, 121, 122, 120, 121, 122, 119, 119];119;124;121.3333;[52, 59, 89, 91, 92, 94, 48, 50, 90];48;94;73.8889;[52, 59, 89, 91, 92, 94, 48, 50, 90];48;94;73.8889;0;0;0;0.0000;0;0;0;0.0000;58.1989998463541;"1";0;0;0.7663001306355;"1";0;0;0.257799867540598;"1";0;0;0.619899947196245;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.683800084516406;"1";0;0;0.652699964120984;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 30.4, 30.4, 30.4, 30.4, 28.8, 30.4, 30.4, 30.4];28.8;32;30.4000;11.7102998774499
