;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_5_2_L;"1";1;2990203;2990203;7654919.68;7654919.68;-1.31987694720862;"1";0;1255.24400806026;1874.43950978922;0.469293974577677;4028.30175406882;1987.22183754874;1387.64473675362;1874.80919654447;0.298796504986353;5080.07786784939;3426.708820986;1321.44437240694;1874.62435316685;-1.56800415338186;-211.841165909373;-0.591498808392862;211.841991693533;0.170497469591325;167.989199999283;"1";0;0;0;0;0;0;[0.632251246058535, 0.635709421947681, 0.663251135370332, 0.64119565500793, 0.642047295711742, 0.641502481002786, 0.637796370331257, 0.599195568654755, 0.559030220837443];[26.4, 25.6, 26.4, 26.4, 25.6, 25.6, 26.4, 25.6, 24.8];[59.2, 59.2, 64, 59.2, 62.4, 60.8, 60.8, 59.2, 60.8];4.59769999724813;"1";0;0;0;0;0;0;0;0;0;2.45300000096904;"1";1;32069;32069;82096.64;82096.64;-4.47678962369481;5.6;2849.51603105803;-2111.60824472232;-256.501151205672;10.59449999957;"FM";"1";0;0;0;0;0;140.728200000012;"FM";"1";0;0;0;0;0;0;0;14.8660999984713
HE_5_1_L;"1";1;2991983;2991983;7659476.48;7659476.48;-1.45497092848245;"1";0;1247.80248266572;1885.74879054831;0.325740264587207;4028.66642532422;1987.54509924926;1381.65274611666;1885.02879983954;0.176719888476073;5079.55476052394;3430.13920008928;1314.72761439119;1885.38879519393;1.56541730290544;-214.160421521499;1.15198513403411;214.163519806747;0.149020376111134;156.127900001593;"1";0;0;0;0;0;0;[0.630978587061547, 0.657065086613226, 0.674490121278459, 0.660506239398106, 0.638787469512984, 0.635753230983077, 0.623364981842596, 0.630189913520946, 0.630477163202598];[26.4, 28.8, 28, 29.6, 28, 27.2, 28.8, 26.4, 28.8];[59.2, 59.2, 59.2, 60.8, 59.2, 60.8, 59.2, 60.8, 59.2];3.10379999791621;"1";0;0;0;0;0;0;0;0;0;2.51710000156891;"1";1;32129;32129;82250.24;82250.24;-4.426219151207;5.6;2859.07664726571;-2101.73811821096;-253.603676564139;10.5389999989711;"FM";"1";0;0;0;0;0;167.358399998193;"FM";"1";0;0;0;0;0;0;0;40.4588999990665
HE_6_1_L;"1";1;2992150;2992150;7659904;7659904;-1.36179379056907;"1";0;1262.86601690118;1876.18301459663;0.421615435390569;4028.66659139388;1987.68236187646;1395.43791361805;1876.57806556132;0.22571579315795;5081.93095023579;3431.23201658643;1329.15196525962;1876.38054007897;-1.56781643584405;-212.115034746996;-0.63208154349195;212.115976514728;0.195899642232619;159.116499999072;"1";0;0;0;0;0;0;[0.647258588720412, 0.617330120281497, 0.643845725402572, 0.623220159233526, 0.638522294819577, 0.666432536788525, 0.598464899303694, 0.618946633829655, 0.635105847336936];[28, 27.2, 28, 27.2, 27.2, 28.8, 26.4, 27.2, 26.4];[59.2, 59.2, 62.4, 60.8, 59.2, 60.8, 64, 60.8, 60.8];2.07549999686307;"1";0;0;0;0;0;0;0;0;0;2.40590000248631;"1";1;32188;32188;82401.28;82401.28;-4.66823930602688;5.6;2858.19286690692;-2126.81471355785;-267.47040999242;5.44689999878756;"FM";"1";0;0;0;0;0;145.717900002637;"FM";"1";0;0;0;0;0;0;0;12.0874999993248
HE_7_2_L;"1";1;2990668;2990668;7656110.08;7656110.08;-1.42464369316993;"1";0;1256.1162699812;1874.40190812675;0.368587946323615;4028.87855500528;1987.32354036519;1389.23303253111;1874.93555277648;0.205250378044148;5081.68376178956;3427.31729475662;1322.67465125615;1874.66873045161;-1.56678750190448;-212.986820079869;-0.853831439554415;212.988531512524;0.163337568279467;132.654900000489;"1";0;0;0;0;0;0;[0.651187076173963, 0.722624209909027, 0.678863373326418, 0.657539620794226, 0.699910108512795, 0.675311373282119, 0.626550693708561, 0.623039210199839, 0.660849970818617];[24.8, 30.4, 24.8, 26.4, 24.8, 25.6, 24.8, 24.8, 24.8];[62.4, 62.4, 64, 62.4, 64, 62.4, 62.4, 62.4, 64];3.45290000041132;"1";0;0;0;0;0;0;0;0;0;3.30870000107097;"1";1;31686;31686;81116.16;81116.16;-4.70939354146005;5.6;2835.79988638515;-2108.2715647289;-269.828373991829;13.8298999991093;"FM";"1";0;0;0;0;0;198.386299998674;"FM";"1";0;0;0;0;0;0;0;14.2340999991575
HE_7_1_L;"1";1;2992615;2992615;7661094.4;7661094.4;-1.36767904149908;"1";0;1245.56402300502;1882.44108023536;0.414142496637002;4029.27837681674;1987.53250047367;1379.60961435553;1883.88035885803;0.21148955127381;5082.00051961049;3430.37901115981;1312.58681868028;1883.16071954669;-1.56005950731875;-214.472946160811;-2.30284579627078;214.485308899373;0.202652945363192;204.415000000154;"1";0;0;0;0;0;0;[0.671338852346155, 0.657272503036355, 0.641881401836292, 0.676872741080209, 0.654122226658964, 0.644223767791632, 0.627205943844166, 0.619998322989948, 0.636256495999731];[25.6, 26.4, 25.6, 24.8, 26.4, 25.6, 25.6, 25.6, 25.6];[62.4, 62.4, 62.4, 64, 60.8, 60.8, 62.4, 62.4, 62.4];2.45200000063051;"1";0;0;0;0;0;0;0;0;0;2.57119999878341;"1";1;31969;31969;81840.64;81840.64;-4.46889509093169;5.6;2852.79274296975;-2095.71952829303;-256.048827797118;11.7944000012358;"FM";"1";0;0;0;0;0;81.6128000005847;"FM";"1";0;0;0;0;0;0;0;25.6326000016998
HE_8_2_L;"1";1;2990100;2990100;7654656;7654656;-1.32804447035785;"1";0;1269.25030396843;1864.85998497467;0.44536325607831;4029.06935083089;1987.04308479466;1401.85206642237;1864.75792290193;0.334029249639047;5077.78051902598;3428.20288353036;1335.5511851954;1864.8089539383;1.57002663828777;-212.162819926306;0.1632993163832;212.162882771112;0.111334006439263;92.4211999990803;"1";0;0;0;0;0;0;[0.717891998856081, 0.704984266553928, 0.676173991394585, 0.667748699038787, 0.705448006261213, 0.725215642637987, 0.664945746473614, 0.73412936442792, 0.712627329186278];[30.4, 28.8, 30.4, 28.8, 29.6, 28.8, 29.6, 29.6, 28.8];[62.4, 62.4, 60.8, 65.6, 64, 64, 62.4, 64, 65.6];3.36439999955473;"1";0;0;0;0;0;0;0;0;0;9.96139999915613;"1";1;31803;31803;81415.68;81415.68;-4.64775075605255;5.6;2830.20107537025;-2129.91755494765;-266.296502550548;22.3499999992782;"FM";"1";0;0;0;0;0;151.460000000952;"FM";"1";0;0;0;0;0;0;0;13.2879000011599
HE_8_1_L;"1";1;2992915;2992915;7661862.4;7661862.4;-1.46582676161448;"1";0;1264.18907571286;1874.74357804968;0.310763400448648;4029.1088345622;1987.52724475904;1397.33527279936;1875.22568456733;0.161031019406582;5081.37815098158;3430.99122085355;1330.76217425611;1874.9846313085;-1.56717546175117;-213.033915338399;-0.771370428238879;213.035311854035;0.149732381042066;217.040800001996;"1";0;0;0;0;0;0;[0.702072451958296, 0.698132645947676, 0.663554637433311, 0.679339013323293, 0.639543737950722, 0.64673656339243, 0.590649984816377, 0.59652625351945, 0.663187354125812];[29.6, 28.8, 28.8, 28.8, 29.6, 24.8, 26.4, 24.8, 28.8];[64, 62.4, 62.4, 62.4, 62.4, 60.8, 60.8, 62.4, 62.4];2.64439999955357;"1";0;0;0;0;0;0;0;0;0;1.99980000252253;"1";1;32985;32985;84441.6;84441.6;-4.7703033494559;5.6;2848.39644686979;-2154.53293315143;-273.318248920943;10.4515000020911;"FM";"1";0;0;0;0;0;164.637300000322;"FM";"1";0;0;0;0;0;0;0;17.0962999982294
HE_9_2_L;"1";1;2989760;2989760;7653785.6;7653785.6;-1.4468917363848;"1";0;1255.92285831081;1871.54090849375;0.342991880192999;4027.70716787545;1987.20271100417;1389.86346324046;1872.09579987283;0.145243346020798;5079.31270890457;3426.25609630947;1322.89316077564;1871.81835418329;-1.56665353376452;-214.304967887446;-0.887826206520549;214.306806930186;0.197748534172201;168.760500000644;"1";0;0;0;0;0;0;[0.613506377731997, 0.66024122967349, 0.619873739083345, 0.666868763592916, 0.67484534666782, 0.669646078789703, 0.665464863494543, 0.671109896340639, 0.605911859094652];[26.4, 25.6, 26.4, 28.8, 25.6, 28.8, 28.8, 28, 25.6];[60.8, 60.8, 59.2, 62.4, 62.4, 60.8, 60.8, 59.2, 62.4];3.39680000251974;"1";0;0;0;0;0;0;0;0;0;6.99480000184849;"1";1;31804;31804;81418.24;81418.24;-4.69767750389908;5.6;2848.13608351151;-2104.68308388882;-269.157094486969;27.0832999995037;"FM";"1";0;0;0;0;0;84.8416999979236;"FM";"1";0;0;0;0;0;0;0;15.2082000022347
HE_10_2_L;"1";1;2989693;2989693;7653614.08;7653614.08;-1.42339778803236;"1";0;1271.36794093748;1859.34072707802;0.361756520396696;4028.09709915524;1987.28844708879;1403.54034898095;1861.79845711931;0.193224391310577;5084.86633772988;3427.51394036789;1337.45414495921;1860.56959209866;-1.55220358972513;-211.475852869545;-3.93236806605601;211.512410665447;0.168532129086119;160.204300002079;"1";0;0;0;0;0;0;[0.619558889741498, 0.662129752062208, 0.606033319647757, 0.617483273537179, 0.603960354450845, 0.585524317082467, 0.63563859943054, 0.607937604675203, 0.566333063873774];[25.6, 28, 25.6, 26.4, 25.6, 25.6, 25.6, 25.6, 25.6];[60.8, 62.4, 60.8, 59.2, 62.4, 60.8, 60.8, 60.8, 57.6];6.75259999843547;"1";0;0;0;0;0;0;0;0;0;4.02439999743365;"1";1;32246;32246;82549.76;82549.76;-4.79404938280204;5.6;2833.68251566086;-2142.20117844074;-274.678796411854;11.4211999971303;"FM";"1";0;0;0;0;0;121.406499998557;"FM";"1";0;0;0;0;0;0;0;12.6941999988048
HE_10_1_L;"1";1;2992196;2992196;7660021.76;7660021.76;-1.49064827951141;"1";0;1262.76390612691;1873.35790042882;0.28400666605934;4028.29296284863;1987.53152796412;1394.62551739693;1873.32753370416;0.170957150854619;5085.25814139329;3432.23446781564;1328.69471176192;1873.34271706649;1.57056603441616;-210.978578032035;0.0485867594561569;210.978583626615;0.113049515204721;146.143000001757;"1";0;0;0;0;0;0;[0.674559096153655, 0.655266851800613, 0.665875664019386, 0.689052140031261, 0.684311056867061, 0.661999513255285, 0.646031667923255, 0.638636676761755, 0.643256638494072];[28.8, 28.8, 28, 28.8, 28, 28.8, 28.8, 28, 27.2];[59.2, 62.4, 59.2, 62.4, 59.2, 64, 59.2, 59.2, 62.4];4.12539999888395;"1";0;0;0;0;0;0;0;0;0;3.16290000046138;"1";1;32989;32989;84451.84;84451.84;-4.69934819360513;5.6;2852.52276819546;-2149.25649155779;-269.252817956001;12.5512000013259;"FM";"72";1;0;9.32952303175248;61.44;61.44;147.51840000099;"FM";"1";1;0;0;0;9.32952303175248;61.44;61.44;17.703800000163
