;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *Copper_rect2_len2(um);7. Inspection Time;1. Defect;2. N_Defect;3. *YWidthTop;4. *YWidthBottom;5. *XWidthLeft;6. *XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *max_diameter(um);7. *Copper_area(um);8. *Copper_max_diameter(um);9. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. *area(um);6. *width(um);7. *Copper_area(um);8. Inspection Time
HE_1_1_C1;1;1305.09133734963;1881.12700395532;-0.226711415351555;0.804207730739506;44.1284000007727;"1";0;1428.89517020104;1884.55686946775;0.175511471625586;5.12663540524704;3.46460550818725;102.795000002516;"1";0;[];[];[];[];5.22600000113016;["1", "1"];[0, 0];0;0;4;0;64.1103000016301;"1";0;[];[];[];[];[];[];19.315400000778;"1";0;[];[];[];[];[];3.68899999739369
HE_2_1_C1;1;1313.20088169112;1877.76293670922;-0.0496463041305392;0.739672221496448;58.2907000025443;"1";0;1439.45392934136;1875.54618836857;0.203398253756676;5.12636002362794;3.46758049925898;106.950400000642;"1";0;[];[];[];[];7.48069999826839;["1", "1"];[0, 0];0;0;0;0;74.0513999990071;"1";0;[];[];[];[];[];[];40.8984999994573;"1";0;[];[];[];[];[];1.81239999801619
HE_3_1_C1;1;1297.0735208607;1884.41513439567;0;0.750725609686697;40.701199999603;"1";0;1424.65882984837;1886.05088891056;0.249068177489939;5.12801933730649;3.46718751991294;88.461900002585;"1";0;[];[];[];[];4.11560000065947;["1", "1"];[0, 0];0;0;0;0;98.4361999981047;"1";0;[];[];[];[];[];[];28.2021999992139;"1";0;[];[];[];[];[];1.31909999981872
HE_3_2_C1;1;1282.91938364823;1878.81782393277;0;0.750828295442943;22.1593999995093;"1";0;1411.3862362112;1877.34074072253;0.130502524368654;5.12420401935189;3.46362539406646;113.608399999066;"1";0;[];[];[];[];5.78350000068895;["1", "1"];[0, 0];0;0;0;0;107.902100000501;"1";0;[];[];[];[];[];[];31.1821000032069;"1";0;[];[];[];[];[];4.01070000225445
HE_4_2_C1;1;1291.68138266677;1859.33656718582;0;0.71966290646867;57.4868000003335;"1";0;1418.95712633255;1862.67000955507;0.269200305836744;5.12980362613482;3.46758380936655;83.9984999984154;"1";0;[];[];[];[];10.4905999978655;["1", "1"];[0, 0];0;0;0;0;111.781499999779;"1";0;[];[];[];[];[];[];26.0699000027671;"1";0;[];[];[];[];[];4.36580000314279
HE_5_2_C1;1;1281.75100017261;1869.7991261419;0;0.719253997117903;29.963899996801;"1";0;1409.9839218007;1870.99011883605;0.28891429064765;5.12424475389206;3.46593273039042;117.900699999154;"1";0;[];[];[];[];3.61580000026152;["1", "1"];[0, 0];0;0;0;0;61.9690999992599;"1";0;[];[];[];[];[];[];33.0565000003844;"1";0;[];[];[];[];[];3.05139999909443
HE_6_2_C1;1;1295.97028689078;1858.80902801287;0;0.661109366433891;43.0620999977691;"1";0;1424.67738588817;1859.32234366427;0.347600332270326;5.12782638206945;3.46725547028919;83.4343000024091;"1";0;[];[];[];[];4.15440000142553;["1", "1"];[0, 0];0;0;0;0;94.5291999996698;"1";0;[];[];[];[];[];[];22.5050000008196;"1";0;[];[];[];[];[];7.18570000026375
HE_6_1_C1;1;1310.64784976182;1869.50285054043;-0.0865522015892666;0.756649294250167;30.0778999990143;"1";0;1436.78547997619;1871.7183073422;0.252774680079865;5.12442339207903;3.47053972481521;111.70950000087;"1";0;[];[];[];[];5.32639999801177;["1", "1"];[0, 0];0;0;0;0;90.1978999972926;"1";0;[];[];[];[];[];[];39.3984000002092;"1";0;[];[];[];[];[];1.91509999785922
HE_7_1_C1;1;1291.29117670371;1883.97097136879;-0.109816210875217;0.796020440841431;52.7008999997634;"1";0;1417.69876081315;1887.45254890168;0.234711102740784;5.12967417019675;3.4695318324459;113.855800002057;"1";0;[];[];[];[];5.40450000335113;["1", "1"];[0, 0];0;0;0;0;51.8768000001728;"1";0;[];[];[];[];[];[];21.1338000008254;"1";0;[];[];[];[];[];3.33599999794387
