;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14520024;HE_1_1_C1;1;1309.85912419623;1893.24570279226;0.256346669073012;0.692092173846675;20.536899974104;"1";0;1438.79800369693;1900.73047328115;0.539574315382377;5.14373976285625;3.48170536203567;24.1509000188671;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.5100000356324;["1", "1"];[0, 0];0;0;0;0;51.1058999691159;"1";0;[];;;0.0000;[];;;0.0000;627.2;627.2;627.2;627.2000;69.411;69.411;69.411;69.4110;[];;;0.0000;[];;;0.0000;42.237599962391;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.5069999974221
HRH14520024;HE_2_1_C1;1;1329.81285356227;1885.97071343084;0.169706282562653;0.676378306164537;57.5467000016943;"1";0;1456.96045267235;1888.28964060312;0.463933557730048;5.13989530166512;3.48225304787379;68.072399997618;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;6.20940001681447;["1", "1"];[0, 0];0;0;0;0;59.2494999873452;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;31.4711999963038;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.18749996181577
HRH14520024;HE_2_2_C1;1;1309.66562874198;1869.87479322114;-0.0501432232553058;0.750599544584162;25.3963000141084;"1";0;1439.40484297767;1874.2977695839;0.233101943746343;5.1293324727555;3.47249594823839;44.0751000423916;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.99019995611161;["1", "1"];[0, 0];0;0;0;0;77.1313000004739;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;34.7123999963515;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.72960001509637
HRH14520024;HE_1_2_C1;1;1294.03785414087;1884.02735195386;-0.162498970788787;0.722973343317051;37.0379000087269;"1";0;1421.85250884126;1886.02591849164;0.127818203050163;5.134935143319;3.47264992841753;60.4667000006884;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.8726999880746;["1", "1"];[0, 0];0;0;0;0;65.4493000474758;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;28.8657000055537;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.94600003305823
HRH14520024;HE_3_1_C1;1;1305.87478406058;1897.01605571086;0.265760883601141;0.70903087041853;19.5043999701738;"1";0;1435.73871323721;1897.93171826125;0.402217854184715;5.13946741763068;3.48075579156068;58.3251999923959;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.45239997841418;["1", "1"];[0, 0];0;0;0;0;87.9394999938086;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;19.6608999976888;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.43050000770018
HRH14520024;HE_4_1_C1;1;1326.73233324841;1882.74258595942;-0.0970640416128071;0.705403207930317;53.235900006257;"1";0;1453.90499837826;1884.17438402537;0.285495610280283;5.14086142680327;3.48072857380494;51.8784000305459;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.50130001222715;["1", "1"];[0, 0];0;0;0;0;28.9327999926172;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.394199999515;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.58600002760068
HRH14520024;HE_3_2_C1;1;1290.62908634909;1880.05602479353;0.0815988448998538;0.787231902264722;31.7371999844909;"1";0;1419.37639554789;1882.22727745907;0.290777996481802;5.13362365099472;3.47232845551326;17.9309999803081;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.4771999758668;["1", "1"];[0, 0];0;0;0;0;66.9956000056118;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;15.7715999521315;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.844700029119849
HRH14520024;HE_4_2_C1;1;1296.80879263235;1869.64287676119;0.212833784355533;0.708089737125789;52.1794999949634;"1";0;1427.08968347231;1871.69697934766;0.380127307626424;5.13498235974579;3.47315600207008;49.4204999995418;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.0475000385195;["1", "1"];[0, 0];0;0;0;0;29.6914000064135;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.9330000276677;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.975400034803897
HRH14520024;HE_6_1_C1;1;1321.01209209077;1876.11228975617;0.24637301564789;0.703018711074009;16.2450999487191;"1";0;1450.93408131178;1880.66605215985;0.305577427541519;5.14098388098091;3.48048501119901;20.6378999864683;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.92939995415509;["1", "1"];[0, 0];0;0;0;0;50.9274000069126;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;41.7833999963477;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.48740003351122
HRH14520024;HE_5_1_C1;1;1303.44965758336;1892.93667786156;0.0777494560400379;0.69901350816184;54.1963999858126;"1";0;1432.4860293254;1893.20407670041;0.159632692494637;5.13563395736676;3.47994920616811;22.4553999723867;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.77940003434196;["1", "1"];[0, 0];0;0;0;0;36.6769999964163;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;35.9789000358433;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.80020002881065
HRH14520024;HE_5_2_C1;1;1291.74735573867;1875.94904752521;-0.313445541011137;0.744757131081599;29.7481000307016;"1";0;1416.36691507472;1877.69330098482;0.15930116453606;5.13275501428804;3.47217493674891;28.6168000311591;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.50330002745613;["1", "1"];[0, 0];0;0;0;0;87.0173000148498;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;22.8385000373237;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.37190002715215
HRH14520024;HE_6_2_C1;1;1300.79031994461;1864.9715088175;0.0263790513934752;0.710111493928622;19.964599981904;"1";0;1432.67583063958;1866.6554651813;0.189758623811157;5.13813249963715;3.47372728930024;36.4914999809116;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.93159998161718;["1", "1"];[0, 0];0;0;0;0;91.2097999826074;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.2147000450641;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.94740004371852
HRH14520024;HE_8_1_C1;1;1320.24052835262;1884.89851461227;0.40269231086212;0.682134929909012;58.4496000083163;"1";0;1453.47245582066;1885.03618225733;0.51150873155969;5.14317455718388;3.48108447125925;57.7085000113584;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.20980000449345;["1", "1"];[0, 0];0;0;0;0;31.5980999730527;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;49.7047000098974;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.23510002251714
HRH14520024;HE_7_1_C1;1;1301.70498661766;1896.19462988488;0.13634246210544;0.699975990661557;15.0433999951929;"1";0;1432.31524551247;1895.56971256407;0.273227463264769;5.13906477074895;3.47918707273286;73.2958999578841;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.69729998055845;["1", "1"];[0, 0];0;0;0;0;32.142499985639;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.3643999686465;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.35299999965355
