Machine ID=ASM AD210PS#55
PCBA ID=HRH14721034

Time,PCBA Col,PCBA Row,Wafer Col,Wafer Row,Bin,Wafmap Filename
11/18/21 09:52:04,1,1,13,29,1,J121EVW_015
11/18/21 09:52:06,2,1,13,28,1,J121EVW_015
11/18/21 09:52:08,3,1,13,27,1,J121EVW_015
11/18/21 09:52:10,4,1,13,26,1,J121EVW_015
11/18/21 09:52:11,5,1,13,25,1,J121EVW_015
11/18/21 09:52:13,6,1,13,24,1,J121EVW_015
11/18/21 09:52:15,7,1,13,23,1,J121EVW_015
11/18/21 09:52:17,8,1,13,22,1,J121EVW_015
11/18/21 09:52:19,10,1,13,21,1,J121EVW_015
11/18/21 09:52:21,11,1,13,20,1,J121EVW_015
11/18/21 09:52:23,12,1,13,19,1,J121EVW_015
11/18/21 09:52:25,13,1,13,18,1,J121EVW_015
11/18/21 09:52:27,14,1,13,17,1,J121EVW_015
11/18/21 09:52:29,15,1,13,16,1,J121EVW_015
11/18/21 09:52:31,16,1,13,15,1,J121EVW_015
11/18/21 09:52:33,17,1,13,14,1,J121EVW_015
11/18/21 09:52:35,18,1,13,13,1,J121EVW_015
11/18/21 09:52:36,18,2,13,12,1,J121EVW_015
11/18/21 09:52:38,17,2,13,11,1,J121EVW_015
11/18/21 09:52:40,16,2,13,10,1,J121EVW_015
11/18/21 09:53:28,15,2,13,8,1,J121EVW_015
11/18/21 09:53:30,14,2,12,9,1,J121EVW_015
11/18/21 09:53:32,13,2,12,10,1,J121EVW_015
11/18/21 09:53:34,12,2,12,11,2,J121EVW_015
11/18/21 09:53:36,11,2,12,12,1,J121EVW_015
11/18/21 09:53:38,10,2,12,13,1,J121EVW_015
11/18/21 09:53:40,9,2,12,14,1,J121EVW_015
11/18/21 09:53:41,8,2,12,15,1,J121EVW_015
11/18/21 09:53:43,7,2,12,16,1,J121EVW_015
11/18/21 09:53:45,6,2,12,17,1,J121EVW_015
11/18/21 09:53:47,5,2,12,18,1,J121EVW_015
11/18/21 09:53:49,4,2,12,19,1,J121EVW_015
