Machine ID=ASM AD210PS#55
PCBA ID=HRH14720051

Time,PCBA Col,PCBA Row,Wafer Col,Wafer Row,Bin,Wafmap Filename
11/18/21 09:31:05,1,1,21,60,1,J121EVW_015
11/18/21 09:31:07,2,1,21,59,1,J121EVW_015
11/18/21 09:31:09,3,1,21,58,1,J121EVW_015
11/18/21 09:31:11,4,1,21,57,1,J121EVW_015
11/18/21 09:31:13,5,1,21,56,1,J121EVW_015
11/18/21 09:31:15,6,1,21,55,1,J121EVW_015
11/18/21 09:31:17,7,1,21,54,1,J121EVW_015
11/18/21 09:31:19,8,1,21,53,1,J121EVW_015
11/18/21 09:31:21,10,1,21,52,1,J121EVW_015
11/18/21 09:31:22,11,1,21,51,1,J121EVW_015
11/18/21 09:31:24,12,1,21,50,1,J121EVW_015
11/18/21 09:31:26,13,1,21,48,1,J121EVW_015
11/18/21 09:31:28,14,1,21,47,1,J121EVW_015
11/18/21 09:31:30,15,1,21,46,1,J121EVW_015
11/18/21 09:31:32,16,1,21,45,1,J121EVW_015
11/18/21 09:31:34,17,1,21,44,1,J121EVW_015
11/18/21 09:31:36,18,1,21,43,1,J121EVW_015
11/18/21 09:31:38,18,2,21,42,1,J121EVW_015
11/18/21 09:31:40,17,2,21,41,1,J121EVW_015
11/18/21 09:31:42,16,2,21,40,1,J121EVW_015
11/18/21 09:31:44,15,2,21,39,1,J121EVW_015
11/18/21 09:31:46,14,2,21,38,1,J121EVW_015
11/18/21 09:31:47,13,2,21,37,1,J121EVW_015
11/18/21 09:31:49,12,2,21,35,1,J121EVW_015
11/18/21 09:31:51,11,2,21,34,1,J121EVW_015
11/18/21 09:31:53,10,2,21,33,1,J121EVW_015
11/18/21 09:31:55,9,2,21,32,1,J121EVW_015
11/18/21 09:31:57,8,2,21,31,1,J121EVW_015
11/18/21 09:31:59,7,2,21,30,1,J121EVW_015
11/18/21 09:32:01,6,2,21,29,1,J121EVW_015
11/18/21 09:32:03,5,2,21,28,1,J121EVW_015
11/18/21 09:32:05,4,2,21,27,1,J121EVW_015
11/18/21 09:32:07,3,2,21,26,1,J121EVW_015
11/18/21 09:32:09,2,2,21,25,1,J121EVW_015
11/18/21 09:32:11,1,2,21,20,1,J121EVW_015
11/18/21 09:32:12,1,3,21,19,1,J121EVW_015
11/18/21 09:32:14,2,3,21,18,1,J121EVW_015
11/18/21 09:32:16,3,3,21,17,1,J121EVW_015
11/18/21 09:32:18,4,3,21,16,1,J121EVW_015
11/18/21 09:32:20,5,3,21,15,1,J121EVW_015
11/18/21 09:32:22,6,3,21,14,1,J121EVW_015
11/18/21 09:32:24,7,3,21,13,1,J121EVW_015
11/18/21 09:32:26,8,3,20,3,1,J121EVW_015
11/18/21 09:32:28,9,3,20,13,1,J121EVW_015
11/18/21 09:32:30,10,3,20,14,1,J121EVW_015
11/18/21 09:32:32,11,3,20,15,1,J121EVW_015
11/18/21 09:32:34,12,3,20,16,1,J121EVW_015
11/18/21 09:32:36,13,3,20,17,1,J121EVW_015
11/18/21 09:32:37,14,3,20,18,1,J121EVW_015
11/18/21 09:32:39,15,3,20,19,1,J121EVW_015
11/18/21 09:32:41,16,3,20,20,1,J121EVW_015
11/18/21 09:32:43,17,3,20,21,1,J121EVW_015
11/18/21 09:32:45,18,3,20,22,1,J121EVW_015
11/18/21 09:32:47,18,4,20,23,1,J121EVW_015
11/18/21 09:32:49,17,4,20,24,1,J121EVW_015
11/18/21 09:32:51,16,4,20,25,1,J121EVW_015
11/18/21 09:32:53,15,4,20,26,1,J121EVW_015
11/18/21 09:32:55,14,4,20,27,1,J121EVW_015
11/18/21 09:32:57,13,4,20,28,1,J121EVW_015
11/18/21 09:32:59,12,4,20,29,1,J121EVW_015
11/18/21 09:33:01,11,4,20,30,1,J121EVW_015
11/18/21 09:33:03,10,4,20,31,1,J121EVW_015
