Machine ID=ASM AD210PS#55
PCBA ID=HRH14721041

Time,PCBA Col,PCBA Row,Wafer Col,Wafer Row,Bin,Wafmap Filename
11/18/21 11:50:45,1,1,20,47,1,J122PRA_024
11/18/21 11:50:47,2,1,20,48,1,J122PRA_024
11/18/21 11:50:49,3,1,20,49,1,J122PRA_024
11/18/21 11:50:50,4,1,20,50,1,J122PRA_024
11/18/21 11:50:52,5,1,20,51,1,J122PRA_024
11/18/21 11:50:54,6,1,20,52,1,J122PRA_024
11/18/21 11:50:56,7,1,20,53,1,J122PRA_024
11/18/21 11:50:58,8,1,20,54,1,J122PRA_024
11/18/21 11:51:00,10,1,20,55,1,J122PRA_024
11/18/21 11:51:02,11,1,20,56,1,J122PRA_024
11/18/21 11:51:04,12,1,20,57,1,J122PRA_024
11/18/21 11:51:06,13,1,20,58,1,J122PRA_024
11/18/21 11:51:08,14,1,20,59,1,J122PRA_024
11/18/21 11:51:10,15,1,20,60,1,J122PRA_024
11/18/21 11:51:12,16,1,20,61,1,J122PRA_024
11/18/21 11:51:14,17,1,20,62,1,J122PRA_024
11/18/21 11:51:16,18,1,20,63,1,J122PRA_024
11/18/21 11:51:17,18,2,20,64,1,J122PRA_024
11/18/21 11:51:19,17,2,20,65,1,J122PRA_024
11/18/21 11:51:21,16,2,20,66,1,J122PRA_024
11/18/21 11:51:23,15,2,20,67,1,J122PRA_024
11/18/21 11:51:25,14,2,20,68,1,J122PRA_024
11/18/21 11:51:27,13,2,20,69,1,J122PRA_024
11/18/21 11:51:29,12,2,20,70,1,J122PRA_024
11/18/21 11:51:31,11,2,20,71,1,J122PRA_024
11/18/21 11:51:33,10,2,20,72,1,J122PRA_024
11/18/21 11:51:35,9,2,20,73,1,J122PRA_024
11/18/21 11:51:37,8,2,20,74,1,J122PRA_024
11/18/21 11:51:39,7,2,20,75,1,J122PRA_024
11/18/21 11:51:41,6,2,20,76,1,J122PRA_024
11/18/21 11:51:43,5,2,20,77,1,J122PRA_024
11/18/21 11:51:44,4,2,20,78,1,J122PRA_024
11/18/21 11:51:46,3,2,20,79,1,J122PRA_024
11/18/21 11:51:48,2,2,20,80,1,J122PRA_024
11/18/21 11:51:50,1,2,20,81,1,J122PRA_024
11/18/21 11:51:52,1,3,20,82,1,J122PRA_024
11/18/21 11:51:54,2,3,20,83,1,J122PRA_024
11/18/21 11:51:56,3,3,20,84,1,J122PRA_024
11/18/21 11:51:58,4,3,20,85,1,J122PRA_024
11/18/21 11:52:00,5,3,20,86,1,J122PRA_024
11/18/21 11:52:02,6,3,20,87,1,J122PRA_024
11/18/21 11:52:04,7,3,20,88,1,J122PRA_024
11/18/21 11:52:06,8,3,20,90,1,J122PRA_024
