;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. *Cumulative Area (um)(FM);7. circularity (FM);8. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. *Cumulative Area (um)(FM);8. circularity (FM);9. Inspection Time
HE_5_1_L;"1";1;2991566;2991566;7658408.96;7658408.96;-1.21745147523385;"1";0;1257.91654057149;1879.9644101909;0.557504037552345;4030.24634828476;1987.69354805366;1391.68065544525;1884.54314461273;0.47536637741671;5082.13980602932;3428.67099322877;1324.79859800837;1882.25377740182;-1.53657977027784;-214.022583798029;-7.3259750749301;214.147930847773;0.0821376601356349;189.705299999332;"1";0;0;0;0;0;0;[0.560281300381474, 0.575040459314619, 0.541388199007075, 0.550660345235066, 0.581010622351441, 0.579141590019971, 0.556650572037497, 0.567646489281595, 0.551556474254357];[28.8, 28.8, 28.8, 28.8, 29.6, 28.8, 28.8, 28, 28.8];[60.8, 60.8, 60.8, 60.8, 62.4, 59.2, 62.4, 59.2, 60.8];3.02259999443777;"1";0;0;0;0;0;0;0;0;0;2.67529999837279;"1";1;32480;32480;83148.8;83148.8;-4.28229253236279;5.6;2847.25807881773;-2131.03645320197;-245.357288744777;11.275700002443;"FM";"1";0;0;0;0;0;63.0245999782346;"FM";"1";0;0;0;0;0;0;44.8083000082988
HE_5_2_L;"1";1;2990537;2990537;7655774.72;7655774.72;-1.28979945210139;"1";0;1261.48553303743;1867.31692245926;0.497590847605018;4029.77285374343;1987.6571338738;1392.33564748391;1869.51220330966;0.344039932582151;5082.36749387295;3432.97147040568;1326.91059026067;1868.41456288446;-1.5540208357992;-209.360183114374;-3.51244936064286;209.389645336619;0.153550915022867;118.831599975238;"1";0;0;0;0;0;0;[0.53731794729587, 0.515411190529719, 0.544968626451423, 0.541141851723802, 0.552620214220893, 0.532944788659448, 0.554204689801153, 0.537435667516856, 0.516850286380907];[27.2, 27.2, 26.4, 27.2, 26.4, 26.4, 26.4, 26.4, 26.4];[60.8, 60.8, 62.4, 59.2, 59.2, 60.8, 62.4, 60.8, 60.8];4.01110001257621;"1";0;0;0;0;0;0;0;0;0;5.2066000062041;"1";1;32197;32197;82424.32;82424.32;-4.84718012988075;5.6;2819.74752927291;-2137.86014846104;-277.722963981841;12.7437000046484;"FM";"1";0;0;0;0;0;65.3774999955203;"FM";"1";0;0;0;0;0;0;53.932300012093
HE_6_2_L;"1";1;2988078;2988078;7649479.68;7649479.68;-1.44160426776461;"1";0;1272.19508268952;1856.26626315363;0.33047774006441;4030.10841254215;1987.50097070768;1403.4287205415;1859.56424877863;0.238131820614404;5085.31370992549;3433.66630996461;1337.81190161551;1857.91525596613;-1.54567097279354;-209.973820563159;-5.27677699999986;210.040114495773;0.092345919450006;172.372400003951;"1";0;0;0;0;0;0;[0.552106549782961, 0.575462160295567, 0.563228342120917, 0.585475541269287, 0.553292773188918, 0.50374644754565, 0.566072081442949, 0.562177330158057, 0.533935253202915];[28, 28, 28.8, 28, 27.2, 26.4, 28, 27.2, 28.8];[59.2, 59.2, 60.8, 60.8, 57.6, 60.8, 59.2, 60.8, 59.2];7.78690000879578;"1";0;0;0;0;0;0;0;0;0;1.64639999275096;"1";1;33698;33698;86266.88;86266.88;-5.25125111721529;5.6;2845.42237521515;-2183.78871149623;-300.874526179795;12.8890000050887;"FM";"1";0;0;0;0;0;82.2850999829825;"FM";"1";0;0;0;0;0;0;47.9512000165414
HE_8_1_L;"1";1;2990961;2990961;7656860.16;7656860.16;-1.15848318400643;"1";0;1265.44146802862;1873.29314486465;0.616177543331558;4030.24197440128;1987.66281891984;1398.57249839378;1876.63185177343;0.523780267568593;5080.39464838769;3430.86338419734;1332.0069832112;1874.96249831904;-1.54572322976468;-213.009648584255;-5.34193105404847;213.076621470715;0.0923972757629651;140.881300001638;"1";0;0;0;0;0;0;[0.585212013925291, 0.558425797061186, 0.572225178492566, 0.525472437508137, 0.557790569022109, 0.564783434145447, 0.553654212861897, 0.567951982609564, 0.535408427254374];[28, 28.8, 28, 28.8, 29.6, 28.8, 27.2, 28.8, 28.8];[62.4, 64, 62.4, 62.4, 60.8, 59.2, 64, 60.8, 60.8];3.18919998244382;"1";0;0;0;0;0;0;0;0;0;5.99469998269342;"1";1;34168;34168;87470.08;87470.08;-4.85343190208228;5.6;2862.06686958558;-2187.99400608757;-278.081164143466;20.9157000062987;"FM";"1";0;0;0;0;0;39.9603999976534;"FM";"1";0;0;0;0;0;0;42.924800014589
HE_7_1_L;"1";1;2991160;2991160;7657369.6;7657369.6;-1.22735829708122;"1";0;1253.99042837898;1889.60626110258;0.542908061904499;4030.19344639275;1987.45107847279;1388.8372351188;1892.89023310148;0.440927726603263;5081.69543796753;3429.72365792776;1321.41383174889;1891.24824710203;-1.54644778578418;-215.75489078372;-5.25435519825078;215.818861885712;0.101980335301236;136.42009999603;"1";0;0;0;0;0;0;[0.535257938875083, 0.540171018897237, 0.547623991179415, 0.564834484531472, 0.577506701342088, 0.55068820986949, 0.552953724736319, 0.583473122455485, 0.520956821541062];[26.4, 28.8, 28.8, 28.8, 28.8, 28.8, 28, 28.8, 28];[64, 62.4, 62.4, 62.4, 62.4, 60.8, 62.4, 62.4, 60.8];4.78089999523945;"1";0;0;0;0;0;0;0;0;0;10.0479999964591;"1";1;33876;33876;86722.56;86722.56;-4.39422096116707;5.6;2860.63573031054;-2165.00734443264;-251.770315322793;20.4276000149548;"FM";"1";0;0;0;0;0;40.2181000099517;"FM";"1";0;0;0;0;0;0;44.0071999910288
HE_7_2_L;"1";1;2989765;2989765;7653798.4;7653798.4;-1.3413106227223;"1";0;1258.56913399115;1876.42645594325;0.441324731433844;4029.57339372905;1987.33814540146;1390.5220659686;1880.21879494485;0.386960370901711;5078.23082870467;3431.80740041169;1324.54559997987;1878.32262544405;-1.54206414696516;-211.124691163914;-6.06774240254817;211.211866894172;0.0543643605321329;194.076199986739;"1";0;0;0;0;0;0;[0.594489411233036, 0.564414172551144, 0.558133148011525, 0.555507145575754, 0.601530228431581, 0.573949972386768, 0.580970572137776, 0.575172312154489, 0.57163394477975];[28.8, 28.8, 28, 28.8, 28.8, 28, 28, 28.8, 28.8];[60.8, 60.8, 60.8, 60.8, 60.8, 59.2, 64, 59.2, 64];28.7141000153497;"1";0;0;0;0;0;0;0;0;0;2.09599998197518;"1";1;34223;34223;87610.88;87610.88;-5.33649329712755;5.6;2838.27138474126;-2191.2639336119;-305.758543325262;11.3527000066824;"FM";"1";0;0;0;0;0;71.8520999944303;"FM";"1";0;0;0;0;0;0;31.8765999982134
HE_8_2_L;"1";1;2987777;2987777;7648709.12;7648709.12;-1.39499035306308;"1";0;1274.0051495539;1865.15716833162;0.376353142866327;4030.22769720223;1987.18793915411;1405.74283672913;1869.01883474694;0.238328707304067;5084.36983115453;3433.89597926803;1339.87399314152;1867.08800153928;-1.54149141794793;-210.780299480378;-6.17866626450996;210.870838585723;0.138024435562259;206.465199997183;"1";0;0;0;0;0;0;[0.567735728019197, 0.559889582767829, 0.543571336823086, 0.543147001907693, 0.568654963069704, 0.548417006785752, 0.581957737340602, 0.602116953231038, 0.511114933255802];[28, 27.2, 26.4, 28, 28, 27.2, 28, 28.8, 27.2];[59.2, 59.2, 59.2, 59.2, 60.8, 62.4, 60.8, 60.8, 62.4];4.07409999752417;"1";0;0;0;0;0;0;0;0;0;3.0055999814067;"1";1;34557;34557;88465.92;88465.92;-5.55559189101652;5.6;2871.28192840814;-2209.71746390022;-318.31196805235;14.3026000005193;"FM";"1";0;0;0;0;0;73.5614000004716;"FM";"1";0;0;0;0;0;0;28.8075999997091
HE_9_2_L;"1";1;2991293;2991293;7657710.08;7657710.08;-1.23503224364341;"1";0;1254.11062810325;1863.83670610759;0.547457790756845;4029.67832760181;1987.09057528611;1387.73820513846;1865.81687168885;0.44761806841319;5080.32482985188;3431.24400894044;1320.92441662086;1864.82678889822;-1.55597887142118;-213.804123256332;-3.16826493002518;213.827596497916;0.0998397223436547;222.177099989494;"1";0;0;0;0;0;0;[0.602132525498452, 0.598619754694267, 0.540818340228716, 0.575635862362224, 0.584872693562125, 0.586998799732027, 0.588861385144207, 0.605337897827823, 0.578302212567522];[28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 28.8, 28.8];[60.8, 59.2, 60.8, 60.8, 59.2, 60.8, 59.2, 59.2, 60.8];9.32100001955405;"1";0;0;0;0;0;0;0;0;0;1.63780001457781;"1";1;32453;32453;83079.68;83079.68;-4.55362845547229;5.6;2814.40202138477;-2130.28766523896;-260.903691969238;5.72459999239072;"FM";"1";0;0;0;0;0;28.5174000018742;"FM";"1";0;0;0;0;0;0;58.8922000024468
HE_10_1_L;"1";1;2992905;2992905;7661836.8;7661836.8;-1.132548889209;"1";0;1266.97825421131;1868.28861550402;0.644208285782834;4030.251554098;1987.64818496283;1399.61609295112;1871.6549599228;0.541881091599936;5084.41129451347;3434.25821306421;1333.29717358121;1869.97178771341;-1.54542180374999;-212.220541983685;-5.38615107005826;212.288881157724;0.102327194182898;190.276000008453;"1";0;0;0;0;0;0;[0.575315847407503, 0.561866860741786, 0.556144926318447, 0.577270163598244, 0.592519961206917, 0.560448481440158, 0.56573548053039, 0.601013579432867, 0.542538546818094];[28, 28.8, 29.6, 29.6, 28, 28.8, 27.2, 28, 28];[60.8, 62.4, 62.4, 62.4, 60.8, 59.2, 62.4, 59.2, 59.2];9.64360000216402;"1";0;0;0;0;0;0;0;0;0;3.26940001104958;"1";1;33175;33175;84928;84928;-4.38658758908523;5.6;2845.78343933685;-2161.16391258478;-251.332955319051;11.0302000248339;"FM";"1";0;0;0;0;0;46.3618999929167;"FM";"1";0;0;0;0;0;0;59.0677000000142
HE_10_2_L;"1";1;2989298;2989298;7652602.88;7652602.88;-1.46565507965836;"1";0;1270.23407806637;1855.93828574742;0.309603473047614;4030.06283810288;1987.15041881508;1404.37512752531;1857.15221173457;0.22747683220444;5085.93451609984;3432.75937657388;1337.30460279584;1856.54524874099;-1.56174695037181;-214.625679134315;-1.94228157943471;214.634467412854;0.0821266408431737;216.721600008896;"1";0;0;0;0;0;0;[0.551988940458652, 0.595640200914242, 0.555778854066006, 0.584819414101127, 0.593513329945638, 0.607342926109862, 0.560968130414426, 0.569833200470068, 0.53209082949877];[27.2, 28.8, 28.8, 28.8, 28.8, 28.8, 27.2, 27.2, 28];[57.6, 62.4, 60.8, 59.2, 60.8, 59.2, 57.6, 60.8, 64];2.21279999823309;"1";0;0;0;0;0;0;0;0;0;1.47139999899082;"1";1;32943;32943;84334.08;84334.08;-4.66283517577415;5.6;2818.54723613514;-2160.76427769177;-267.160776137;8.46829998772591;"FM";"1";0;0;0;0;0;55.7121000019833;"FM";"1";0;0;0;0;0;0;42.9135000158567
