;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. *Cumulative Area (um)(FM);7. circularity (FM);8. Inspection Time;1. Defect_Name;1. Defect;2. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. *Cumulative Area (um)(FM);8. circularity (FM);9. Inspection Time
HE_11_4_L;"1";1;2991664;2991664;7658659.84;7658659.84;-1.39435917164829;"1";0;1248.75983822029;1887.28218966782;0.387978306617388;4029.24813252065;1987.0597352991;1381.0568482607;1889.99112225055;0.318471752177827;5082.5678465227;3432.23202857785;1314.90834324049;1888.63665595918;-1.55032304411446;-211.675216064658;-4.33429213236959;211.719586208523;0.0695065544395607;194.277400005376;"1";0;0;0;0;0;0;[0.638276268722263, 0.635777728794623, 0.691927601943018, 0.687590125322478, 0.658043911783356, 0.648595619622265, 0.718698524638428, 0.673143479355057, 0.641049077935829];[27.2, 28, 31.2, 30.4, 30.4, 30.4, 31.2, 30.4, 26.4];[62.4, 62.4, 65.6, 67.2, 64, 64, 64, 62.4, 65.6];6.51239999569952;"1";0;0;0;0;0;0;0;0;0;6.30280000041239;"1";1;32323;32323;82746.88;82746.88;-4.88653693983859;5.6;2858.11381369304;-2117.49567800019;-279.977943087524;18.9766999974381;"FM";"1";0;0;0;0;0;73.83119998849;"FM";"1";0;0;0;0;0;0;26.9728999992367
HE_9_3_L;"1";1;2992577;2992577;7660997.12;7660997.12;-1.37664745070495;"1";0;1238.21965992641;1897.52502717636;0.403387322778232;4029.50977872714;1987.33909901906;1373.71131333385;1902.90992377512;0.364057578805676;5078.73490458882;3438.15876983467;1305.96548663013;1900.21747547574;-1.53107384991978;-216.786645451907;-8.6158345580232;216.957789100603;0.0393297439725562;162.404400005471;"1";0;0;0;0;0;0;[0.654893116181253, 0.698989165085139, 0.664584428893579, 0.640114467766325, 0.678694818678301, 0.666872607075178, 0.623661728158185, 0.633148597963704, 0.627087569552825];[30.4, 31.2, 30.4, 30.4, 29.6, 28, 28.8, 29.6, 31.2];[64, 64, 62.4, 62.4, 64, 65.6, 64, 62.4, 64];5.03160001244396;"1";0;0;0;0;0;0;0;0;0;2.08870001370087;"1";1;32738;32738;83809.28;83809.28;-4.45723616461278;5.6;2884.32412487018;-2103.30571201662;-255.380820525391;13.8381000142545;"FM";"1";0;0;0;0;0;47.9979999945499;"FM";"1";0;0;0;0;0;0;57.7458000043407
HE_10_4_L;"1";1;2990165;2990165;7654822.4;7654822.4;-1.60130977707471;"1";0;1260.00941449791;1880.52640315113;0.171266792944007;4029.47414110341;1986.78551092367;1391.9448375139;1884.30828310353;0.150298091088553;5083.44333207322;3432.4442161913;1325.9771260059;1882.41734312733;-1.54213954479789;-211.096676825587;-6.05100792384037;211.183383966876;0.0209687018554538;151.893899979768;"1";0;0;0;0;0;0;[0.63394849669023, 0.624262049815054, 0.662288881816594, 0.627583954113743, 0.63586537922035, 0.634581905674498, 0.63527879074593, 0.695035709562529, 0.636082332688092];[27.2, 26.4, 27.2, 26.4, 26.4, 27.2, 26.4, 27.2, 26.4];[62.4, 62.4, 64, 64, 62.4, 62.4, 62.4, 64, 64];3.12559999292716;"1";0;0;0;0;0;0;0;0;0;2.98990000737831;"1";1;32451;32451;83074.56;83074.56;-4.60943917330095;5.6;2853.55826322764;-2129.21364518813;-264.101410552416;12.6384000177495;"FM";"1";0;0;0;0;0;32.3206000030041;"FM";"1";0;0;0;0;0;0;62.7283999929205
HE_9_4_L;"1";1;2990526;2990526;7655746.56;7655746.56;-1.55298671310021;"1";0;1246.17821000465;1889.25970970204;0.235700902327643;4029.02448498026;1986.95267446573;1379.16172678471;1893.49088104197;0.135714188743265;5082.15842396024;3431.83254579499;1312.66996839468;1891.37529537201;-1.53898979530186;-212.773626848108;-6.76987414389769;212.881299033105;0.0999867135843778;167.874000006123;"1";0;0;0;0;0;0;[0.582132529305486, 0.610270508922805, 0.644710676785349, 0.671035520896791, 0.62609908353861, 0.660255441408157, 0.687176534807101, 0.65742734281016, 0.631698947172267];[27.2, 26.4, 26.4, 30.4, 25.6, 30.4, 30.4, 29.6, 25.6];[62.4, 62.4, 64, 62.4, 60.8, 62.4, 64, 59.2, 62.4];3.65790000068955;"1";0;0;0;0;0;0;0;0;0;1.8796999938786;"1";1;32414;32414;82979.84;82979.84;-4.65744326035171;5.6;2866.65430986611;-2108.42732152773;-266.851842139803;6.68790002237074;"FM";"1";0;0;0;0;0;38.8323999941349;"FM";"1";0;0;0;0;0;0;63.7067000207026
HE_10_3_L;"1";1;2992977;2992977;7662021.12;7662021.12;-1.56064994913823;"1";0;1252.98583463616;1888.10051574867;0.219400894288817;4029.60724075266;1987.50173018169;1388.64837188925;1892.43162303389;0.224338535417363;5081.2027829182;3439.75710959462;1320.8171032627;1890.26606939128;-1.53888157134666;-217.060059604937;-6.92977165635384;217.170649975793;-0.00493764112854622;113.927500002319;"1";0;0;0;0;0;0;[0.672855572562658, 0.635660136916702, 0.615704518564106, 0.674103948685361, 0.691606031299048, 0.669240869878229, 0.638911038723642, 0.644308237956472, 0.73903681491662];[30.4, 29.6, 28.8, 30.4, 31.2, 28.8, 28.8, 30.4, 30.4];[64, 60.8, 62.4, 64, 65.6, 65.6, 62.4, 64, 64];5.28189999749884;"1";0;0;0;0;0;0;0;0;0;5.72560000000522;"1";1;32713;32713;83745.28;83745.28;-4.84716828080814;5.6;2875.44440436524;-2125.49545440651;-277.722285079989;12.9787000187207;"FM";"1";0;0;0;0;0;50.0612999894656;"FM";"1";0;0;0;0;0;0;32.7643000055104
HE_7_3_L;"1";1;2992527;2992527;7660869.12;7660869.12;-1.36822270366716;"1";0;1237.10290616351;1901.55314677639;0.413378577343279;4029.46067327461;1987.64130765154;1369.7541603352;1905.82392601845;0.323320584541579;5083.81678180796;3439.28487903377;1303.42853324936;1903.68853639742;-1.53861190037494;-212.242006674711;-6.8332467873006;212.351978231813;0.0900579928016998;227.614900009939;"1";0;0;0;0;0;0;[0.603074931391447, 0.667575994560275, 0.626301059367405, 0.615676376623524, 0.615139916708398, 0.636051502693188, 0.632758213096048, 0.650609850223498, 0.621134695435015];[29.6, 30.4, 29.6, 29.6, 29.6, 29.6, 28.8, 29.6, 28.8];[62.4, 64, 62.4, 60.8, 62.4, 60.8, 60.8, 62.4, 62.4];4.22570001683198;"1";0;0;0;0;0;0;0;0;0;7.78939999872819;"1";1;33456;33456;85647.36;85647.36;-4.62226454077228;5.6;2895.28053562889;-2121.80516499283;-264.836249979227;11.5633999812417;"FM";"1";0;0;0;0;0;47.6225999882445;"FM";"1";0;0;0;0;0;0;55.1219000190031
HE_7_4_L;"1";1;2989901;2989901;7654146.56;7654146.56;-1.70056658705729;"1";0;1240.92310448409;1890.04491968035;0.0897842095104703;4028.96670670774;1987.01174252496;1372.72448219495;1893.73296871733;-0.0262460480986777;5082.93677053167;3431.74462514574;1306.82379333952;1891.88894419884;-1.54282175634251;-210.882204337388;-5.9008784591555;210.964746990547;0.116030257609148;179.190399998333;"1";0;0;0;0;0;0;[0.592841342911931, 0.65093425940915, 0.603399137453613, 0.606276958253998, 0.650204769825449, 0.62219052187735, 0.628681623409454, 0.639069927432504, 0.610137128451726];[26.4, 29.6, 26.4, 26.4, 30.4, 26.4, 26.4, 27.2, 27.2];[60.8, 62.4, 60.8, 64, 60.8, 64, 65.6, 60.8, 64];4.55349998082966;"1";0;0;0;0;0;0;0;0;0;2.63669999549165;"1";1;32530;32530;83276.8;83276.8;-4.75531935762397;5.6;2864.6564279127;-2102.40831232708;-272.459729428715;11.941900011152;"FM";"1";0;0;0;0;0;48.0943000002299;"FM";"1";0;0;0;0;0;0;47.9272999800742
HE_8_3_L;"1";1;2992193;2992193;7660014.08;7660014.08;-1.49182366107594;"1";0;1249.66208592662;1886.4598096135;0.284562189606929;4029.46537177081;1987.61795620168;1384.91396913558;1893.19969746798;0.236579258511268;5082.51796244554;3440.37306721824;1317.2880275311;1889.82975354074;-1.52100539544141;-216.403013134332;-10.7838205671651;216.671536847004;0.0479829310956604;172.999000002164;"1";0;0;0;0;0;0;[0.632803988763391, 0.628667291246803, 0.643035633791039, 0.615403131534587, 0.642232028800887, 0.635004872123611, 0.650308786795779, 0.62622832782864, 0.664351327456937];[28, 29.6, 30.4, 30.4, 29.6, 29.6, 30.4, 28.8, 30.4];[64, 60.8, 65.6, 62.4, 64, 64, 62.4, 62.4, 64];11.6251000144985;"1";0;0;0;0;0;0;0;0;0;2.42579999030568;"1";1;33403;33403;85511.68;85511.68;-5.14528233826076;5.6;2889.01930964285;-2138.66740113163;-294.802962385545;20.4981999995653;"FM";"1";0;0;0;0;0;69.2856000096072;"FM";"1";0;0;0;0;0;0;28.7038999958895
HE_8_4_L;"1";1;2988601;2988601;7650818.56;7650818.56;-1.65503719626034;"1";0;1256.05204148485;1880.79623831596;0.124864752798085;4029.4420385718;1987.04810829935;1389.0800953776;1884.65934908279;0.0261135410926004;5085.21902861365;3433.4981620516;1322.56606843122;1882.72779369937;-1.54176466566662;-212.844886228397;-6.18097722693492;212.934614548831;0.0987512117054843;235.396200005198;"1";0;0;0;0;0;0;[0.608914991148278, 0.605658300884255, 0.644562352087882, 0.671681879899032, 0.648100333174037, 0.598592002136047, 0.618641316808032, 0.69762159981117, 0.614052996624574];[26.4, 26.4, 28.8, 28.8, 28.8, 27.2, 26.4, 30.4, 26.4];[62.4, 65.6, 64, 64, 64, 64, 64, 64, 64];2.91089998790994;"1";0;0;0;0;0;0;0;0;0;1.56659999629483;"1";1;32970;32970;84403.2;84403.2;-5.10485004101724;5.6;2870.42596299666;-2136.93481346679;-292.486362397473;7.55310000386089;"FM";"1";0;0;0;0;0;34.598600002937;"FM";"1";0;0;0;0;0;0;47.6345999923069
HE_5_3_L;"1";1;2993083;2993083;7662292.48;7662292.48;-1.45239632038571;"1";0;1241.9542401096;1898.09068278957;0.328387498609846;4029.46673923415;1987.39401910353;1375.20710561161;1903.47136987249;0.241063652591212;5080.33073214568;3438.53682345285;1308.58067286061;1900.78102633103;-1.53043872918233;-213.204584803222;-8.6090993326663;213.378329669238;0.0873238460186341;132.157099986216;"1";0;0;0;0;0;0;[0.602064728973032, 0.641763343585545, 0.611828599388426, 0.608677448573293, 0.659837443485831, 0.612043649810265, 0.653287044668162, 0.674668083662395, 0.673696836166727];[30.4, 28, 30.4, 28, 29.6, 28.8, 28, 31.2, 30.4];[62.4, 67.2, 64, 64, 67.2, 64, 64, 65.6, 67.2];3.60959998215549;"1";0;0;0;0;0;0;0;0;0;2.08330000168644;"1";1;32178;32178;82375.68;82375.68;-4.7443352290347;5.6;2865.60765740568;-2102.87679781217;-271.830385218921;20.1338999904692;"FM";"1";0;0;0;0;0;32.8708000015467;"FM";"1";0;0;0;0;0;0;55.5244999995921
HE_6_4_L;"1";1;2990083;2990083;7654612.48;7654612.48;-1.7018092178342;"1";0;1257.65892740446;1877.20242842627;0.0762979513465213;4029.94773611031;1987.12915436967;1388.76090011391;1881.31111959823;0.00963785815930207;5087.82157607065;3436.4987432477;1323.20991375918;1879.25677401225;-1.53946692168382;-209.763156335121;-6.57390587512637;209.866143039147;0.0666600931872192;138.855299999705;"1";0;0;0;0;0;0;[0.563970269627608, 0.594680486994434, 0.617258399369182, 0.62223545865734, 0.658122263300229, 0.647336699055703, 0.634528717477146, 0.675482800212703, 0.66927210983934];[26.4, 26.4, 26.4, 30.4, 30.4, 30.4, 27.2, 30.4, 25.6];[62.4, 64, 65.6, 64, 65.6, 64, 64, 64, 65.6];11.3067000056617;"1";0;0;0;0;0;0;0;0;0;3.41939998907037;"1";1;32890;32890;84198.4;84198.4;-5.16164321812551;5.6;2834.1844937671;-2148.81026451809;-295.740371750916;12.8729999996722;"FM";"1";0;0;0;0;0;25.1363000134006;"FM";"1";0;0;0;0;0;0;42.970599984983
HE_5_4_L;"1";1;2991244;2991244;7657584.64;7657584.64;-1.56488159894831;"1";0;1241.83741148609;1888.76986416424;0.223100683874323;4029.36312150852;1987.05434250139;1375.90549696709;1891.59056894261;0.154728461508557;5081.56501552995;3435.3442911458;1308.87145422659;1890.18021655342;-1.54976008479928;-214.508936769598;-4.51312764539398;214.556408142863;0.0683722223657667;133.120800019242;"1";0;0;0;0;0;0;[0.669155003618989, 0.624475506590662, 0.629065052311211, 0.611061658806842, 0.621159131487729, 0.600649222131957, 0.618569067729665, 0.639997725446878, 0.625309175167928];[31.2, 28, 29.6, 27.2, 27.2, 26.4, 26.4, 26.4, 27.2];[65.6, 64, 64, 64, 64, 65.6, 65.6, 64, 64];3.43080001766793;"1";0;0;0;0;0;0;0;0;0;2.4476999824401;"1";1;32704;32704;83722.24;83722.24;-5.04002941898131;5.6;2851.11599804305;-2118.89456947162;-288.772414329402;18.5288999928162;"FM";"1";0;0;0;0;0;37.1892999974079;"FM";"1";0;0;0;0;0;0;54.2586999945343
HE_6_3_L;"1";1;2993255;2993255;7662732.8;7662732.8;-1.37043912971634;"1";0;1252.41577942787;1887.18195718952;0.403878977961919;4029.6971741442;1987.61075660722;1384.26196124431;1891.03929378706;0.259457546848987;5083.97886927753;3440.66217843781;1318.33887033609;1889.11062548829;-1.54154833062075;-210.953890906303;-6.17173855606088;211.044152833744;0.144421431112932;145.109799981583;"1";0;0;0;0;0;0;[0.635987517580958, 0.60258910789135, 0.63021348998629, 0.640724689138871, 0.654434500468209, 0.605580421850734, 0.615785226493321, 0.629251608107196, 0.687570968883063];[31.2, 30.4, 30.4, 28, 27.2, 28, 27.2, 28, 31.2];[64, 62.4, 67.2, 64, 64, 62.4, 64, 64, 65.6];4.80309998965822;"1";0;0;0;0;0;0;0;0;0;5.20129999495111;"1";1;32648;32648;83578.88;83578.88;-5.00391569209474;5.6;2861.05175202156;-2133.48282283754;-286.703250196313;11.0298000217881;"FM";"1";0;0;0;0;0;25.6769999978133;"FM";"1";0;0;0;0;0;0;42.9792999930214
HE_3_3_L;"1";1;2993576;2993576;7663554.56;7663554.56;-1.36632204324383;"1";0;1242.35810757264;1904.46639690407;0.416584928925335;4029.73972262238;1987.66103589921;1377.34080112086;1909.96881642192;0.257112794978436;5079.52479408252;3437.1911927475;1309.84945434675;1907.21760666299;-1.53005499449485;-215.972309677147;-8.80387122855755;216.15167520954;0.159472133946899;142.288800008828;"1";0;0;0;0;0;0;[0.673192031352479, 0.655422844868986, 0.647090925564048, 0.648231472989441, 0.630247710669425, 0.627811390123248, 0.639647948399767, 0.635543156162987, 0.624964690590135];[31.2, 30.4, 31.2, 31.2, 28.8, 28, 27.2, 30.4, 31.2];[65.6, 62.4, 64, 65.6, 62.4, 65.6, 67.2, 64, 64];5.11630001710728;"1";0;0;0;0;0;0;0;0;0;2.5376999983564;"1";1;31878;31878;81607.68;81607.68;-4.9545565517522;5.6;2873.25633979547;-2099.96185457055;-283.875179774292;20.1289000106044;"FM";"1";0;0;0;0;0;66.4566000050399;"FM";"1";0;0;0;0;0;0;39.3455000012182
HE_4_4_L;"1";1;2989701;2989701;7653634.56;7653634.56;-1.4398504011841;"1";0;1254.26121102564;1882.83713953066;0.333805508404414;4029.10504009274;1987.08087384571;1387.98481393315;1887.29876203993;0.232984503054725;5086.35503076809;3437.19452307112;1321.1230124794;1885.06795078529;-1.53744418871413;-213.957764652012;-7.13859601482764;214.076819408241;0.100821005349689;155.089199979557;"1";0;0;0;0;0;0;[0.601874478419327, 0.644805463711153, 0.608745238893463, 0.619857631957281, 0.648700588712184, 0.667930563399383, 0.618997324340578, 0.66757515081369, 0.544819590224222];[26.4, 26.4, 28, 26.4, 26.4, 31.2, 26.4, 30.4, 27.2];[62.4, 65.6, 65.6, 64, 64, 65.6, 65.6, 64, 65.6];3.13950001145713;"1";0;0;0;0;0;0;0;0;0;3.47760002478026;"1";1;33012;33012;84510.72;84510.72;-4.49290440810943;5.6;2843.01393432691;-2141.42139827941;-257.424460340393;10.1915000122972;"FM";"1";0;0;0;0;0;56.3533999957144;"FM";"1";0;0;0;0;0;0;25.8594999904744
HE_4_3_L;"1";1;2993364;2993364;7663011.84;7663011.84;-1.48098058784811;"1";0;1257.60325066293;1891.43622325622;0.288353040849132;4029.2311128432;1987.35675500152;1390.78806748774;1895.92239829196;0.234678710986152;5082.8168526471;3438.49385651852;1324.19565907534;1893.67931077409;-1.53712522505439;-213.095706919701;-7.17788005718685;213.216561902969;0.0536743298629799;181.810200010659;"1";0;0;0;0;0;0;[0.68580925479338, 0.640126925689726, 0.674600160196949, 0.630912390833268, 0.673958322604189, 0.608496090722762, 0.645595620625601, 0.647895592455935, 0.602038541129108];[30.4, 31.2, 31.2, 27.2, 27.2, 28, 27.2, 28, 31.2];[67.2, 65.6, 65.6, 65.6, 64, 64, 65.6, 64, 65.6];6.84760001604445;"1";0;0;0;0;0;0;0;0;0;4.14289999753237;"1";1;31765;31765;81318.4;81318.4;-4.81620786156807;5.6;2849.38340941288;-2117.99286006611;-275.948383725578;16.3662999984808;"FM";"1";0;0;0;0;0;65.6956000020728;"FM";"1";0;0;0;0;0;0;36.4624000212643
HE_3_4_L;"1";1;2991674;2991674;7658685.44;7658685.44;-1.41843045558243;"1";0;1248.22587075539;1894.12380190276;0.363047413090954;4029.36406167798;1986.87839305281;1380.7424816527;1898.23635388;0.303831111784706;5082.02805846926;3434.75482002319;1314.48417620404;1896.18007789138;-1.53977204679849;-212.026577435706;-6.58008316358646;212.128656794736;0.0592163013062479;150.536100001773;"1";0;0;0;0;0;0;[0.675119680905145, 0.606452224946629, 0.604526959465492, 0.658744653919373, 0.640634523575388, 0.652687629367014, 0.652177587087509, 0.64960319718705, 0.611411010986024];[25.6, 26.4, 26.4, 26.4, 27.2, 26.4, 27.2, 26.4, 27.2];[67.2, 64, 64, 64, 62.4, 64, 64, 64, 65.6];5.63930001226254;"1";0;0;0;0;0;0;0;0;0;4.02849999954924;"1";1;31424;31424;80445.44;80445.44;-4.984611459324;5.6;2842.66990835031;-2101.52703665988;-285.597199131811;15.8398000057787;"FM";"1";0;0;0;0;0;48.5950000002049;"FM";"1";0;0;0;0;0;0;27.0576000039
HE_1_3_L;"1";1;2992118;2992118;7659822.08;7659822.08;-1.41195001636496;"1";0;1246.48160638204;1907.02033805509;0.366437628287088;4029.76671974259;1987.42849666008;1379.29363246425;1910.24192954621;0.322464706985249;5081.98859856322;3436.81898179337;1312.88761942315;1908.63113380065;-1.54654430717644;-212.499241731531;-5.15454638579031;212.561748875283;0.0439729213018383;153.218300023582;"1";0;0;0;0;0;0;[0.651759299057748, 0.6562367656675, 0.621293117544762, 0.665247463483165, 0.658219949090219, 0.629783247219067, 0.66272727294427, 0.659655682605299, 0.642522910651096];[29.6, 30.4, 31.2, 30.4, 30.4, 28.8, 30.4, 30.4, 31.2];[62.4, 65.6, 65.6, 64, 62.4, 65.6, 64, 64, 64];2.69660001504235;"1";0;0;0;0;0;0;0;0;0;2.02849999186583;"1";1;32353;32353;82823.68;82823.68;-4.86969011670538;5.6;2896.19569128056;-2111.44220319599;-279.012691223787;9.60989997838624;"FM";"1";0;0;0;0;0;40.0986000022385;"FM";"1";0;0;0;0;0;0;29.8019000038039
HE_1_4_L;"1";1;2989725;2989725;7653696;7653696;-1.5515527101946;"1";0;1251.09747309788;1895.06237231436;0.228949820336847;4029.4523716536;1986.83689830215;1384.77465706207;1898.14941718787;0.20549806344242;5083.38915000329;3434.64335657475;1317.93606507997;1896.60589475112;-1.54770714893985;-213.883494342718;-4.93927179761668;213.940518738602;0.0234517568944272;188.923800014891;"1";0;0;0;0;0;0;[0.642862788708637, 0.677902691888681, 0.6258836139902, 0.638142084344164, 0.684925930197652, 0.624894261257853, 0.652632645673045, 0.596248616141409, 0.631543155268356];[28.8, 31.2, 26.4, 28.8, 29.6, 26.4, 26.4, 26.4, 28];[64, 64, 64, 65.6, 62.4, 64, 65.6, 62.4, 64];3.58389999018982;"1";0;0;0;0;0;0;0;0;0;3.07299999985844;"1";1;31986;31986;81884.16;81884.16;-4.83320893436546;5.6;2853.95810667167;-2114.23542799975;-276.922473444063;34.4473000150174;"FM";"1";0;0;0;0;0;37.4594999884721;"FM";"1";0;0;0;0;0;0;40.165899990825
HE_2_4_L;"1";1;2988818;2988818;7651374.08;7651374.08;-1.51396286940212;"1";0;1263.41466167545;1882.3580213915;0.268733668821108;4029.61782054451;1987.06013316767;1395.76912069205;1885.71492797882;0.17081847598084;5087.83976301357;3436.21381529913;1329.59189118375;1884.03647468516;-1.54543875986817;-211.767134426565;-5.37105053972082;211.835236462538;0.0979151928402682;154.231699998491;"1";0;0;0;0;0;0;[0.58407383083616, 0.613381035734269, 0.589892436218759, 0.615700767465305, 0.648464293339291, 0.606661250381549, 0.620446802066402, 0.601813525493014, 0.647205098039325];[26.4, 26.4, 26.4, 25.6, 26.4, 25.6, 26.4, 25.6, 26.4];[62.4, 64, 60.8, 64, 62.4, 65.6, 62.4, 62.4, 64];5.31269999919459;"1";0;0;0;0;0;0;0;0;0;2.32619998860173;"1";1;32327;32327;82757.12;82757.12;-4.83631755464244;5.6;2864.79230364711;-2132.55193491509;-277.100584266043;22.7881999744568;"FM";"1";0;0;0;0;0;46.4185000164434;"FM";"1";0;0;0;0;0;0;46.6829000215512
HE_2_3_L;"1";1;2992704;2992704;7661322.24;7661322.24;-1.45214371443093;"1";0;1258.05132095303;1894.77880525913;0.321976112667009;4029.71405704381;1987.53559400625;1392.43848878563;1899.38634378488;0.256717125867976;5084.28132857648;3437.39607320143;1325.24490486933;1897.082574522;-1.53652419734751;-215.019468532154;-7.37206164119634;215.145809024232;0.0652589867990337;173.913600010565;"1";0;0;0;0;0;0;[0.609232118948314, 0.627850584899106, 0.590553411584939, 0.649645837609609, 0.668711860868026, 0.602591803005315, 0.659698110367923, 0.663431477612142, 0.630402662213678];[27.2, 28.8, 28.8, 28, 30.4, 27.2, 28, 28, 30.4];[64, 62.4, 64, 64, 65.6, 62.4, 68.8, 68.8, 64];2.77000002097338;"1";0;0;0;0;0;0;0;0;0;5.2774999930989;"1";1;32424;32424;83005.44;83005.44;-4.7363609281698;5.6;2879.6710584752;-2128.48211201579;-271.373491434795;24.0629999898374;"FM";"1";0;0;0;0;0;56.0257000033744;"FM";"1";0;0;0;0;0;0;54.0320000145584
HE_1_5_L;"1";1;2984980;2984980;7641548.8;7641548.8;-1.48570985387325;"1";0;1240.23564002657;1907.74649364622;0.2981714751279;4029.86761152919;1986.97950826313;1371.21247439723;1912.47009372173;0.18933814851874;5078.99865400016;3435.97261507437;1305.7240572119;1910.10829368398;-1.53474755684968;-209.562934993058;-7.55776012082824;209.699173725002;0.10883332660916;157.156499975827;"1";0;0;0;0;0;0;[0.653510057040377, 0.644996508270957, 0.599902817499303, 0.618894606898764, 0.634514558431023, 0.642475830478441, 0.618466587396897, 0.606997121593629, 0.612132288254803];[28, 28.8, 28.8, 28.8, 28.8, 28, 28, 28, 28.8];[64, 64, 62.4, 62.4, 64, 64, 60.8, 62.4, 64];3.27910002670251;"1";0;0;0;0;0;0;0;0;0;3.44609998865053;"1";1;36009;36009;92183.04;92183.04;-4.99974321449611;5.6;2922.77139603988;-2187.63135882696;-286.464184839798;11.4799999864772;"FM";"1";0;0;0;0;0;59.5003000053111;"FM";"1";0;0;0;0;0;0;85.7138999854214
HE_1_6_L;"1";1;2983256;2983256;7637135.36;7637135.36;-1.38264272528425;"1";0;1243.43776930852;1897.88568830107;0.399284001101789;4029.38470092024;1986.4787951734;1373.90805148114;1902.33741122402;0.26736039295032;5080.52214138925;3434.69398969647;1308.67291039483;1900.11154976254;-1.53668896941322;-208.752451476182;-7.12275667672366;208.873932456857;0.131923608151469;244.461900001625;"1";0;0;0;0;0;0;[0.654522630754224, 0.657156527915453, 0.63451734553652, 0.615001764672225, 0.62370908331606, 0.596669928233134, 0.602247925765569, 0.596918590917674, 0.651798330406611];[28.8, 29.6, 28.8, 25.6, 26.4, 24.8, 25.6, 24.8, 26.4];[64, 64, 60.8, 64, 64, 62.4, 62.4, 62.4, 65.6];9.64559998828918;"1";0;0;0;0;0;0;0;0;0;3.73450000188313;"1";1;35818;35818;91694.08;91694.08;-5.14869912477181;5.6;2895.69378524764;-2196.04493829918;-294.998729832125;14.7568999964278;"FM";"1";0;0;0;0;0;30.5850000004284;"FM";"1";0;0;0;0;0;0;40.2617999934591
HE_2_5_L;"1";1;2985788;2985788;7643617.28;7643617.28;-1.38098329654397;"1";0;1251.08007716533;1900.11906966304;0.38771704886596;4029.62085237135;1986.83488989778;1383.78778191513;1902.88640611198;0.319131108820991;5082.96390949511;3436.79498632849;1317.43392954023;1901.50273788751;-1.54994647907438;-212.332327599673;-4.42773831830928;212.378488106753;0.0685859400449692;134.202500019455;"1";0;0;0;0;0;0;[0.570798144397594, 0.616419639444772, 0.601797687662292, 0.575472089928218, 0.643820771996327, 0.609348619216797, 0.626174704813793, 0.612911592331936, 0.649465436756407];[28, 28, 28.8, 27.2, 27.2, 27.2, 27.2, 28, 28];[62.4, 65.6, 62.4, 62.4, 65.6, 64, 64, 64, 65.6];4.81770001351833;"1";0;0;0;0;0;0;0;0;0;2.12750001810491;"1";1;35962;35962;92062.72;92062.72;-5.01444018728369;5.6;2908.58599632946;-2206.61164562594;-287.306259352146;6.82090001646429;"FM";"1";0;0;0;0;0;32.2343000152614;"FM";"1";0;0;0;0;0;0;47.2305000002962
