;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Missing (WB);Missing (WB);Missing (WB);Missing (WB);Broken (WB);Broken (WB);Broken (WB);Broken (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);NSOP (WB);NSOP (WB);NSOP (WB);NSOP (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14720261;HE_1_2_O;1;1298.81248780335;1873.59728042552;0.222554803956012;0.992145964499812;25.4744999110699;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.70589986070991;"1";0;0;"Wire Sweep";[1681, 1642, 1702, 1646, 1697, 1725, 1709, 1740, 1630];1630;1740;1685.7778;[0.739268828051861, 0.770977737878708, 0.779936411778159, 0.785347235487517, 0.765382657130438, 0.729207706887695, 0.793842525142985, 0.771990741598301, 0.721668522008521];0.721668522008521;0.793842525142985;0.7620;[194, 155, 180, 153, 153, 164, 163, 162, 145];145;194;163.2222;[3865, 4089, 3901, 4162, 4136, 4166, 3980, 3906, 3974];3865;4166;4019.8889;[122, 123, 122, 121, 121, 121, 122, 119, 118];118;123;121.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;37.3648998793215;"1";0;0;0.215700129047036;"1";0;0;0.681800069287419;"1";0;0;0.313900178298354;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.274799996986985;"1";0;0;0.518700107932091;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 30.4, 32, 30.4, 28.8, 30.4, 28.8, 30.4];28.8;32;30.0444;3.70140001177788
HRH14720261;HE_2_1_O;1;1324.28966296996;1874.31864541952;0.216421850111599;0.970338401043222;41.1629001609981;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.15009998343885;"1";0;0;"Wire Sweep";[1685, 1689, 1692, 1692, 1664, 1727, 1674, 1725, 1751];1664;1751;1699.8889;[0.755060885205276, 0.748064374323734, 0.753814592067448, 0.725423904507806, 0.762116127405846, 0.718282801156245, 0.79564416954358, 0.749587012067608, 0.728734855428293];0.718282801156245;0.79564416954358;0.7485;[145, 144, 156, 128, 136, 137, 129, 134, 148];128;156;139.6667;[3311, 3267, 3257, 3384, 3643, 3632, 4025, 3844, 3904];3257;4025;3585.2222;[124, 121, 122, 121, 123, 122, 123, 120, 120];120;124;121.7778;[52, 57, 50, 60, 88, 90, 131, 131, 131];50;131;87.7778;[52, 57, 50, 60, 88, 90, 131, 131, 131];50;131;87.7778;0;0;0;0.0000;0;0;0;0.0000;47.8948999661952;"1";0;0;0.332699855789542;"1";0;0;0.769099919125438;"1";0;0;0.329999951645732;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.250400044023991;"1";0;0;0.217899912968278;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 28.8, 30.4, 30.4, 30.4, 30.4, 30.4, 32, 30.4];28.8;32;30.4000;4.58090007305145
HRH14720261;HE_2_2_O;1;1311.6548912432;1862.30388667735;0.306471213818769;0.9851684726342;21.4983001351357;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.23290014825761;"1";0;0;"Wire Sweep";[1775, 1730, 1625, 1631, 1694, 1761, 1654, 1770, 1794];1625;1794;1714.8889;[0.73152913844387, 0.771654320200514, 0.75040529932137, 0.819430784593861, 0.76541973980312, 0.708238862886617, 0.825859318440249, 0.744141923423286, 0.729484516927596];0.708238862886617;0.825859318440249;0.7607;[173, 154, 137, 142, 126, 153];126;173;147.5000;[3203, 2994, 3028, 2815, 4146, 4108, 4040, 3930, 4602];2815;4602;3651.7778;[123, 125, 122, 120, 121, 121, 121, 119, 120];119;125;121.3333;[47, 44, 46, 43, 131, 131, 131, 131, 131];43;131;92.7778;[47, 44, 46, 43, 131, 131, 131, 131, 131];43;131;92.7778;0;0;0;0.0000;0;0;0;0.0000;28.6930999718606;"1";0;0;0.237700063735247;"1";0;0;0.313600059598684;"1";0;0;0.220300164073706;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.48439996317029;"1";0;0;0.274700112640858;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 32, 30.4, 33.6, 32, 30.4, 30.4, 32];28.8;33.6;30.9333;3.87359992600977
HRH14720261;HE_1_1_O;1;1307.42103720362;1889.116473618;0.244235970162066;0.977900614272386;25.2018999308348;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.36929992772639;"1";0;0;"Wire Sweep";[1656, 1615, 1600, 1654, 1671, 1708, 1579, 1669, 1688];1579;1708;1648.8889;[0.767624933108418, 0.718580369168223, 0.762931046144716, 0.694419072718016, 0.816635605188458, 0.722893635528745, 0.763630847350996, 0.736953865313564, 0.750283826746002];0.694419072718016;0.816635605188458;0.7482;[139, 138, 158, 145, 120, 133, 136, 116, 139];116;158;136.0000;[3849, 3527, 3961, 3386, 3764, 3426, 3312, 2937, 3391];2937;3961;3505.8889;[123, 123, 123, 121, 122, 121, 123, 119, 119];119;123;121.5556;[131, 97, 131, 89, 131, 89, 50, 46, 90];46;131;94.8889;[131, 97, 131, 89, 131, 89, 50, 46, 90];46;131;94.8889;0;0;0;0.0000;0;0;0;0.0000;35.7858999632299;"1";0;0;0.251500168815255;"1";0;0;0.211100094020367;"1";0;0;0.218800036236644;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.233700033277273;"1";0;0;0.255800085142255;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 30.4, 30.4, 30.4, 28.8, 30.4, 30.4, 28.8];28.8;30.4;29.6889;4.55960002727807
HRH14720261;HE_3_1_O;1;1303.69678847037;1888.96023267254;0.101118222099707;0.969982520647179;21.5952000580728;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.4498000536114;"1";0;0;"Wire Sweep";[1646, 1665, 1672, 1659, 1638, 1707, 1695, 1627, 1669];1627;1707;1664.2222;[0.748252478475732, 0.749926168261208, 0.723371883500843, 0.748304455139322, 0.806516187237345, 0.690332896022389, 0.742817970273907, 0.798578695612277, 0.750202971991369];0.690332896022389;0.806516187237345;0.7509;[154, 155, 113, 120, 139, 146, 142, 137, 131];113;155;137.4444;[2868, 2882, 2871, 3057, 3405, 3440, 3393, 2964, 3498];2868;3498;3153.1111;[124, 122, 122, 120, 121, 121, 122, 119, 118];118;124;121.0000;[44, 44, 44, 47, 89, 92, 47, 46, 91];44;92;60.4444;[44, 44, 44, 47, 89, 92, 47, 46, 91];44;92;60.4444;0;0;0;0.0000;0;0;0;0.0000;34.8563999868929;"1";0;0;0.287499977275729;"1";0;0;0.737000023946166;"1";0;0;0.333699863404036;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.354300020262599;"1";0;0;0.746000092476606;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 30.4, 30.4, 32, 30.4, 30.4, 27.2, 30.4];27.2;32;29.8667;4.80220001190901
HRH14720261;HE_4_1_O;1;1317.92813743554;1874.20472869014;0.18432659976475;0.985470804243846;20.7154001109302;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.7595999892801;"1";0;0;"Wire Sweep";[1742, 1674, 1653, 1759, 1666, 1766, 1669, 1740, 1694];1653;1766;1707.0000;[0.686828215688924, 0.732850010003079, 0.785058122549723, 0.785836972846744, 0.769534568173559, 0.714447388355417, 0.743168467687566, 0.739865325028039, 0.741942606901784];0.686828215688924;0.785836972846744;0.7444;[116, 110, 119, 111, 118, 129, 111, 126, 124];110;129;118.2222;[3109, 2873, 2761, 2745, 2754, 2786, 3118, 2863, 2893];2745;3118;2878.0000;[123, 122, 123, 121, 121, 121, 122, 120, 120];120;123;121.4444;[46, 44, 45, 43, 45, 42, 43, 44, 67];42;67;46.5556;[46, 44, 45, 43, 45, 42, 43, 44, 67];42;67;46.5556;0;0;0;0.0000;0;0;0;0.0000;32.1887999307364;"1";0;0;0.269100069999695;"1";0;0;0.682600075379014;"1";0;0;0.419700052589178;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.332899857312441;"1";0;0;0.346200075000525;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 27.2, 28.8, 28.8, 28.8, 28.8, 32, 28.8, 32];27.2;32;29.3333;4.41579986363649
HRH14720261;HE_3_2_O;1;1294.48594366247;1875.85627655146;0.344396960798816;0.976297223687752;48.7939999438822;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.31490014307201;"1";0;0;"Wire Sweep";[1696, 1626, 1618, 1658, 1739, 1693, 1623, 1686, 1712];1618;1739;1672.3333;[0.744554291832373, 0.760028905388192, 0.785182436708304, 0.814258762486607, 0.678974749336813, 0.720529131975869, 0.804417278446737, 0.748004936121379, 0.768046696569941];0.678974749336813;0.814258762486607;0.7582;[161, 178, 169, 159, 160, 170, 163, 162, 161];159;178;164.7778;[4028, 4055, 4005, 4063, 4096, 4126, 4096, 4088, 4014];4005;4126;4063.4444;[123, 121, 121, 121, 123, 121, 122, 119, 122];119;123;121.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;26.1481001507491;"1";0;0;0.273499870672822;"1";0;0;0.248200027272105;"1";0;0;0.361599959433079;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.312600051984191;"1";0;0;0.330999959260225;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 32, 28.8, 32, 30.4, 28.8, 30.4, 32];28.8;32;30.4000;6.60390011034906
HRH14720261;HE_4_2_O;1;1307.8615440389;1863.37784525422;0.34793051433335;0.991723197158123;30.8797000907362;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.70540013723075;"1";0;0;"Wire Sweep";[1670, 1710, 1712, 1745, 1689, 1795, 1741, 1774, 1760];1670;1795;1732.8889;[0.739933169748727, 0.743554101376707, 0.777009783850072, 0.76367674955865, 0.701505954125042, 0.68427457092346, 0.728513176250942, 0.736218883835646, 0.788175293254554];0.68427457092346;0.788175293254554;0.7403;[138, 145, 136, 121, 114, 118, 102, 118, 115];102;145;123.0000;[4110, 4195, 3950, 4017, 3824, 3975, 4046, 3989, 3965];3824;4195;4007.8889;[123, 123, 122, 122, 121, 122, 122, 119, 119];119;123;121.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;45.2868000138551;"1";0;0;0.269300071522593;"1";0;0;0.211199978366494;"1";0;0;0.501600094139576;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.347299966961145;"1";0;0;0.736800022423267;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 32, 32, 32, 32, 32, 32, 30.4, 32];30.4;32;31.6444;22.7188998833299
HRH14720261;HE_5_1_O;1;1296.94861096183;1882.2415787955;0.166861791589391;0.986233629263253;28.0487001873553;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.5881000328809;"1";0;0;"Wire Sweep";[1755, 1709, 1706, 1616, 1633, 1680, 1690, 1681, 1677];1616;1755;1683.0000;[0.715720344883446, 0.72351834432749, 0.717942375630172, 0.737117511308075, 0.807729093160524, 0.677272197463113, 0.688951061421534, 0.76936174244855, 0.760689096400818];0.677272197463113;0.807729093160524;0.7331;[169, 112, 166, 143, 147, 149, 138, 163, 138];112;169;147.2222;[2950, 2960, 2874, 2905, 2847, 2802, 2833, 2826, 2910];2802;2960;2878.5556;[122, 123, 123, 120, 122, 122, 122, 120, 121];120;123;121.6667;[45, 45, 43, 45, 46, 43, 44, 46, 48];43;48;45.0000;[45, 45, 43, 45, 46, 43, 44, 46, 48];43;48;45.0000;0;0;0;0.0000;0;0;0;0.0000;24.8724000994116;"1";0;0;0.773699954152107;"1";0;0;0.49040000885725;"1";0;0;0.511700054630637;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.329099828377366;"1";0;0;0.241299858316779;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 28.8, 28.8, 28.8, 28.8, 28.8, 30.4, 28.8, 30.4];28.8;30.4;29.3333;3.88079998083413
