;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;Missing Die;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;FO2;Unbonded;Unbonded;Unbonded;Unbonded;Missing;Missing;Missing;Missing;Broken;Broken;Broken;Broken;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;Bond Tail;NSOP;NSOP;NSOP;NSOP;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep;Wire Sweep
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;6. circularity pad;7. area lead;8. area wire;9. height wire;10. width wire-const;11. width wire;12. area bond tail;13. outer_radius bond tail;14. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;5. Area Bond Tail;6. Row Bond Tail;7. Column Bond Tail;7. Inspection Time;1. Defect;2. *N_Defect;3. *Defect Index;4. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *width (um);9. Inspection Time
HE_5_6_O_86;1;1270.40032326549;1908.29880807633;0.0682807589402336;0.987511673375224;49.6767999975418;"1";0;0;0;0;0;0;0;0;0;5.00430000101915;"1";0;0;"Good/OthersDefect";[1498, 1474, 1514, 1471, 1481, 1528, 1494, 1485, 1469];[0.655906247465871, 0.710767463896188, 0.660532488177441, 0.663583856328898, 0.688180337503374, 0.657120916705949, 0.676313358641659, 0.713201395597171, 0.701496364710254];[240, 223, 211, 248, 254, 245, 197, 217, 229];[2312, 2394, 2476, 2380, 2618, 2392, 2495, 2260, 2235];[120, 121, 121, 119, 120, 120, 121, 119, 116];[43, 44, 40, 40, 39, 40, 40, 37, 39];[43, 44, 40, 40, 39, 40, 40, 37, 39];0;0;31.1486999999033;"1";0;0;0.253899997915141;"1";0;0;0.332700001308694;"1";0;0;0.284100002318155;"1";0;0;0;0;0;0.724099998478778;"1";0;0;0.640800000837771;"86";1;1213;1213;3105.28;3105.28;-87.026322103128;[44.8, 49.6, 43.2, 48, 84.8, 32, 59.2, 32, 24];7.39059999978053
HE_18_7_O_86;1;1329.89884850771;1910.28502383578;0.140272480909975;0.991949226650888;27.3316000020714;"1";0;0;0;0;0;0;0;0;0;6.56829999934416;"1";0;0;"Wire Sweep";[1532, 1491, 1518, 1510, 1495, 1531, 1521, 1515, 1485];[0.66045376647699, 0.673926450319835, 0.656731739878597, 0.677143702228866, 0.673883252516468, 0.635949166846409, 0.649163947988599, 0.668938200334858, 0.719209684292602];[208, 205, 190, 241, 216, 214, 184, 214, 218];[2785, 2757, 2787, 3257, 2636, 3235, 3473, 3114, 2441];[120, 122, 121, 120, 122, 121, 122, 119, 117];[41, 41, 48, 97, 39, 93, 92, 74, 40];[41, 41, 48, 97, 39, 93, 92, 74, 40];0;0;48.0110999997123;"1";0;0;0.42349999785074;"1";0;0;1.17660000250908;"1";0;0;0.3751000003831;"1";0;0;0;0;0;0.954999999521533;"1";0;0;0.498900000820868;"86";1;1145;1145;2931.2;2931.2;-89.5238800459728;[25.6, 35.2, 27.2, 36.8, 52.8, 27.2, 75.2, 62.4, 43.2];3.3036999993783
HE_7_7_O_86;1;1295.21924785943;1931.51312701823;0.0844295928852195;0.990198920165113;26.6080000001239;"1";0;0;0;0;0;0;0;0;0;4.03360000200337;"1";0;0;"Wire Sweep";[1539, 1527, 1553, 1513, 1517, 1498, 1491, 1494, 1471];[0.679473664449283, 0.660803121850892, 0.642922625138398, 0.645050358563292, 0.703820862987883, 0.661049747701231, 0.673023465015825, 0.656939952068266, 0.684496280369771];[241, 225, 213, 207, 197, 212, 191, 223, 211];[2554, 2545, 2474, 2509, 2495, 2393, 2408, 2553, 2422];[122, 121, 122, 120, 121, 120, 120, 118, 117];[42, 39, 47, 39, 39, 40, 40, 39, 40];[42, 39, 47, 39, 39, 40, 40, 39, 40];0;0;30.3829000004043;"1";0;0;0.356099997588899;"1";0;0;0.35320000097272;"1";0;0;0.281399999948917;"1";0;0;0;0;0;0.314900000375928;"1";0;0;0.298700000712415;"86";1;1151;1151;2946.56;2946.56;89.8860124792604;[46.4, 27.2, 32, 51.2, 62.4, 36.8, 54.4, 78.4, 28.8];3.96330000148737
HE_6_7_O_86;1;1307.11460230211;1923.84178501925;0.0908547540731526;0.969699150146269;54.5692000014242;"1";0;0;0;0;0;0;0;0;0;4.2436000003363;"1";0;0;"Wire Sweep";[1459, 1458, 1458, 1430, 1465, 1441, 1421, 1458, 1438];[0.630070747744287, 0.665932032306538, 0.616165244441719, 0.667558009616988, 0.690593795097257, 0.662691427166266, 0.621558782788873, 0.694632286992368, 0.684232884886137];[232, 226, 229, 240, 247, 242, 246, 213, 218];[2730, 2642, 2547, 2709, 2569, 2596, 2551, 2414, 2355];[120, 120, 120, 120, 120, 120, 120, 119, 117];[98, 51, 50, 48, 38, 44, 37, 38, 39];[98, 51, 50, 48, 38, 44, 37, 38, 39];0;0;23.8798999998835;"1";0;0;0.393599999370053;"1";0;0;0.374600000213832;"1";0;0;0.549699998373399;"1";0;0;0;0;0;0.666099997033598;"1";0;0;0.475400000141235;"86";5;5668;[1100, 1172, 1121, 1109, 1166];14510.08;[2816, 3000.32, 2869.76, 2839.04, 2984.96];[-87.880650081213, -89.0246894998757, -86.751755686252, -87.9168996994262, -88.176999121687];[49.6, 46.4, 78.4, 78.4, 68.8, 75.2, 78.4, 84.8, 27.2];6.37540000025183
HE_5_7_O_86;1;1288.12617415032;1937.52876851272;0.0449740381887515;0.9750786128442;41.3920000028156;"1";0;0;0;0;0;0;0;0;0;5.51540000014938;"1";0;0;"Wire Sweep";[1555, 1531, 1524, 1493, 1504, 1474, 1485, 1497, 1463];[0.670343882452253, 0.693965932938824, 0.645678321133536, 0.656689342158605, 0.677820542894598, 0.667302429111553, 0.681475907849415, 0.681249151818013, 0.713182114725706];[212, 211, 238, 208, 216, 208, 212, 222, 194];[2463, 2415, 2387, 2360, 2399, 2484, 2401, 2362, 2436];[120, 120, 121, 121, 120, 120, 121, 119, 117];[44, 43, 45, 47, 39, 39, 51, 40, 40];[44, 43, 45, 47, 39, 39, 51, 40, 40];0;0;25.2278999978444;"1";0;0;0.444400000560563;"1";0;0;0.326999997923849;"1";0;0;0.335199998517055;"1";0;0;0;0;0;0.347500001225853;"1";0;0;0.255700000707293;"86";2;2166;[1095, 1071];5544.96;[2803.2, 2741.76];[-88.8790268448573, -86.8930593416676];[51.2, 28.8, 27.2, 40, 78.4, 28.8, 81.6, 40, 27.2];3.32010000056471
HE_1_9_O_78;1;1866.24758869564;2274.98694355531;0.0222887842911177;0.475832227514715;75.0895000019227;"78";1;1164782;1164782;2981841.92;2981841.92;0.268020332213578;3088.33091582803;-2054.76482019811;15.3564338595322;3.24439999894821;"1";0;0;"Bond Tail";[3131, 3131, 3131, 3131, 3131, 3131];[0.662837156121689, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239];[2793, 2793, 2793];[18161, 18161, 18161, 18161, 18161, 16282, 0, 0, 0];[127, 127, 127, 127, 127, 128, 0, 0, 0];[143, 143, 143, 143, 143, 129, 0, 0, 0];[143, 143, 143, 143, 143, 129, 0, 0, 0];120125;357.52389079762;20.0813000010385;"1";0;0;0.500799997098511;"1";0;0;0.252400001045316;"88";9;[1, 2, 3, 4, 5, 6, 7, 8, 9];0.305199999274919;"97";1;1;120125;1312.95599583767;2493.6942351717;1.10140000106185;"89";3;[7, 8, 9];0.378600001567975;"86";1;56210;56210;143897.6;143897.6;0.223363879887688;1110.4;5.63439999677939
HE_4_10_O_86;1;1289.37247652362;1910.49178897951;0.0722027385273391;0.983756720014071;23.2167000031041;"1";0;0;0;0;0;0;0;0;0;7.08010000016657;"1";0;0;"Wire Sweep";[1478, 1431, 1476, 1492, 1436, 1510, 1466, 1475, 1500];[0.682332766538137, 0.671602616258208, 0.683802155517441, 0.695373490313108, 0.700964044632298, 0.688726037273919, 0.70097051478556, 0.681495774807956, 0.737239295912843];[249, 216, 209, 254, 237, 224, 240, 233, 218];[2789, 2713, 2655, 2702, 2562, 2743, 2515, 2398, 2240];[119, 119, 118, 119, 119, 119, 119, 118, 115];[96, 67, 61, 53, 59, 61, 55, 37, 38];[96, 67, 61, 53, 59, 61, 55, 37, 38];0;0;30.000700000528;"1";0;0;0.35080000088783;"1";0;0;0.260299999354174;"1";0;0;0.682999998389278;"1";0;0;0;0;0;0.657799999316921;"1";0;0;0.56399999812129;"86";6;7499;[1302, 1242, 1231, 1202, 1307, 1215];19197.44;[3333.12, 3179.52, 3151.36, 3077.12, 3345.92, 3110.4];[-86.1079259861864, -85.5020015207829, -86.690787521756, -85.5291007365155, -83.9938925255212, -82.9068543391023];[56, 94.4, 91.2, 86.4, 88, 94.4, 94.4, 49.6, 28.8];13.3147000015015
HE_8_9_O_86;1;1300.64049792237;1926.25440062918;0.0987163006264684;0.976455189338466;52.8159000023152;"1";0;0;0;0;0;0;0;0;0;2.65189999845461;"1";0;0;"Wire Sweep";[1464, 1465, 1538, 1495, 1482, 1562, 1497, 1481, 1484];[0.694065434040371, 0.719244597594445, 0.687498018069201, 0.694480374581792, 0.713740143548121, 0.681248419263183, 0.676217929434697, 0.733883930420988, 0.729616193923];[203, 189, 210, 211, 219, 199, 198, 209, 191];[2576, 2362, 2858, 2505, 2657, 2608, 2661, 2505, 2405];[120, 120, 121, 118, 119, 122, 121, 118, 115];[60, 39, 65, 38, 51, 67, 51, 40, 39];[60, 39, 65, 38, 51, 67, 51, 40, 39];0;0;35.5049000027066;"1";0;0;0.332199997501448;"1";0;0;0.457400001323549;"1";0;0;0.370300000213319;"1";0;0;0;0;0;0.298300001304597;"1";0;0;0.391499997931533;"86";1;1155;1155;2956.8;2956.8;-88.1714558308588;[36.8, 30.4, 33.6, 56, 68.8, 60.8, 75.2, 72, 30.4];4.84729999880074
HE_18_9_O_78;1;1905.37847031126;1576.44055485369;0.0108463510881148;0.446155803932498;75.6237999994482;"78";1;1167659;1167659;2989207.04;2989207.04;0.232438103153768;3059.45964977789;-2115.76575558446;13.3177223087374;9.73190000149771;"1";0;0;"Bond Tail";[3131, 3131, 3131, 3131, 3131, 3131, 3131, 3131, 3131];[0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239, 0.682622091535239];0;[18161, 18161, 18161, 18161, 18161, 18161, 18161, 18161, 17653];[127, 127, 127, 127, 127, 127, 127, 127, 127];[143, 143, 143, 143, 143, 143, 143, 143, 139];[143, 143, 143, 143, 143, 143, 143, 143, 139];186663;546.161066963733;31.9003000004159;"1";0;0;0.373800001398195;"1";0;0;0.488300000142772;"1";0;0;0.410500000725733;"97";1;1;186663;1352;1988;0.53489999845624;"1";0;0;0.524700000823941;"86";1;87457;87457;223889.92;223889.92;0.159328260676333;1724.8;9.35340000069118
HE_15_11_O_86;1;1303.52159463128;1935.35008119331;0.0675769653424833;0.987421706183426;30.1983000026667;"1";0;0;0;0;0;0;0;0;0;6.73230000029434;"1";0;0;"Wire Sweep";[1551, 1531, 1556, 1539, 1536, 1554, 1523, 1595, 1527];[0.673634449275782, 0.70589340338908, 0.699098808477101, 0.696966097732599, 0.6738539637885, 0.719958609431568, 0.687375756301717, 0.734612457199103, 0.688568233494635];[178, 174, 158, 192, 179, 165, 194, 169, 154];[2589, 2547, 2515, 2378, 2461, 2334, 2506, 2141, 2331];[121, 122, 121, 120, 120, 121, 122, 119, 118];[99, 59, 39, 43, 40, 54, 56, 39, 39];[99, 59, 39, 43, 40, 54, 56, 39, 39];0;0;52.8780999993614;"1";0;0;0.573799999983748;"1";0;0;0.398700001824182;"1";0;0;0.584199999138946;"1";0;0;0;0;0;0.371499998436775;"1";0;0;0.300600000628037;"86";5;5689;[1141, 1161, 1157, 1192, 1038];14563.84;[2920.96, 2972.16, 2961.92, 3051.52, 2657.28];[-87.8622185039775, -89.6876193535075, -86.7858483155083, -88.2446664622138, -88.809622943142];[49.6, 78.4, 59.2, 60.8, 80, 88, 81.6, 78.4, 25.6];3.40869999854476
