;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_2_2_L_77;"1";1;2990752;2990752;7656325.12;7656325.12;-1.46128402597052;"1";0;1261.06995617931;1892.26619139102;0.314507848898724;4029.85292898662;1987.27646492121;1397.44106083571;1894.72148795009;0.24159290935615;5080.26974925879;3435.773333789;1329.25550850751;1893.49383967056;-1.55279374984453;-218.193767450241;-3.92847449451874;218.229129737494;0.0729149395425742;125.608199999988;"1";0;0;0;0;0;0;[0.558504739573234, 0.567402953444026, 0.52353918357668, 0.535825793730025, 0.520654241224503, 0.512758912259569, 0.525407753597495, 0.515282969543514, 0.547966682557937];[23.2, 23.2, 23.2, 22.4, 23.2, 24, 24, 23.2, 23.2];[57.6, 60.8, 59.2, 59.2, 59.2, 60.8, 59.2, 62.4, 57.6];4.23009999940405;"1";0;0;0;0;0;0;0;0;0;3.25940000038827;"1";1;31723;31723;81210.88;81210.88;-4.98946581776962;5.6;2845.41567947546;-2127.43026825962;-285.875333382989;10.3925000003073;"FM";"72";1;71.8754478246918;71.8754478246918;1454.08;1454.08;122.392900000705;"FM";"77";1;71.8754478246918;0;0;71.8754478246918;1454.08;1454.08;13.6683999990055
HE_4_1_L;"1";1;2990628;2990628;7656007.68;7656007.68;-1.47921982577675;"1";0;1246.49814877438;1902.15708278872;0.297878820983833;4029.13100880753;1987.3440191336;1386.08653075353;1901.83836544465;0.222331188203387;5088.25623424961;3429.6532421861;1316.29233976396;1901.99772411668;1.56851306521042;-223.341411166633;0.509947750507126;223.34199333894;0.0755476327804457;129.501499999606;"1";0;0;0;0;0;0;[0.524956620205701, 0.484111218814904, 0.467296919257347, 0.490672154290437, 0.541304670578068, 0.437340088698181, 0.477969190954681, 0.479011297571827, 0.45775458560028];[25.6, 24.8, 24.8, 26.4, 26.4, 23.2, 26.4, 24, 23.2];[56, 56, 56, 54.4, 54.4, 54.4, 54.4, 54.4, 56];3.34220000149799;"1";0;0;0;0;0;0;0;0;0;3.92270000156714;"1";1;33001;33001;84482.56;84482.56;-4.55181718616748;5.6;2892.67302202964;-2122.86323444744;-260.799913882511;34.6878999989713;"FM";"72";1;0;13.7637204272682;143.36;143.36;141.935399999056;"FM";"1";1;0;0;0;13.7637204272682;143.36;143.36;21.7281000004732
HE_9_1_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;97.1413999977813;"1";0;0;0;0;0;0;0;0;0;1.71670000054291;"1";0;0;0;0;0;0;0;0;0;1.10180000046967;"74";2;3462;[1902, 1560];8862.72;[4869.12, 3993.6];[0, 89.7244800831619];[4.8, 4];252.8;-1015.2;0;9.30169999992358;"-";"78";0;0;0;0;0;7.47649999902933;"-";"78";0;0;0;0;0;0;0;5.05930000144872
HE_1_9_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;84.7675000004529;"1";0;0;0;0;0;0;0;0;0;1.353100000415;"1";0;0;0;0;0;0;0;0;0;4.96800000109943;"74";2;3625;[2043, 1582];9280;[5230.08, 4049.92];[0.00320581884538264, 89.7262584566497];[4.8, 4];271.601370533529;-1015.19490944689;0.183679889723928;12.7118999989762;"-";"78";0;0;0;0;0;7.60209999862127;"-";"78";0;0;0;0;0;0;0;5.50029999794788
HE_14_10_L_77;"1";1;2988423;2988423;7650362.88;7650362.88;-1.45592386933106;"1";0;1277.44704432232;1899.21687049037;0.333095813777144;4026.33912293343;1987.63194813505;1411.31462163075;1905.06513908136;0.227754833469352;5082.44395064505;3422.16253487786;1344.38083297653;1902.14100478586;-1.52713711976419;-214.188123693492;-9.3572297455823;214.392420761206;0.105340980307792;121.142899999541;"1";0;0;0;0;0;0;[0.538320810415002, 0.396303796702077, 0.434651537994161, 0.478737065174232, 0.661077885085116, 0.66826016668506, 0.388724168396373, 0.471467231443941, 0.642594450988219];[24.8, 23.2, 24, 24, 24, 23.2, 24, 24.8, 22.4];[54.4, 49.6, 51.2, 51.2, 54.4, 52.8, 52.8, 51.2, 52.8];2.24800000069081;"1";0;0;0;0;0;0;0;0;0;1.98950000049081;"1";1;32607;32607;83473.92;83473.92;-5.04612782671185;5.6;2906.0402980955;-2161.66511485264;-289.121827354111;10.6408999999985;"FM";"72";1;26.484712571595;26.484712571595;368.64;368.64;83.1881999984034;"FM";"77";1;26.484712571595;0;0;26.484712571595;368.64;368.64;11.9978000002448
HE_18_9_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;66.1882999993395;"1";0;0;0;0;0;0;0;0;0;1.04449999707867;"1";0;0;0;0;0;0;0;0;0;1.84869999793591;"74";2;3666;[1901, 1765];9384.96;[4866.56, 4518.4];[0.00142441849435385, 89.7594569825642];[4.8, 4];252.667017359285;-1015.19789584429;0.0816131679868548;5.53439999930561;"-";"78";0;0;0;0;0;6.16219999938039;"-";"78";0;0;0;0;0;0;0;4.7435000014957
HE_1_11_L;"1";1;2992004;2992004;7659530.24;7659530.24;-1.40357108372422;"1";0;1254.45018783694;1936.84354549124;0.382358859046128;4029.31909383876;1987.5764193288;1387.33133539366;1940.83786150888;0.310221140549121;5075.38176265615;3424.42535118272;1320.8907616153;1938.84070350006;-1.54074606229115;-212.609836090744;-6.39090562822857;212.705867519639;0.0721377184970074;92.3748999994132;"1";0;0;0;0;0;0;[0.519538106658204, 0.468115970206249, 0.457232882365822, 0.548524781444086, 0.454278330424787, 0.458979010729676, 0.489921374160964, 0.496324493353528, 0.516026132944046];[24, 23.2, 24, 27.2, 24, 25.6, 26.4, 24, 27.2];[57.6, 56, 57.6, 56, 56, 56, 56, 57.6, 57.6];2.56090000038967;"1";0;0;0;0;0;0;0;0;0;3.73989999934565;"1";1;33370;33370;85427.2;85427.2;-4.69256051434052;5.6;2956.4375187294;-2145.97163919688;-268.863912581451;7.4239999994461;"FM";"72";2;0;[12.1852369693823, 12.1852369693823];[92.16, 102.4];194.56;62.1915999981866;"FM";"1";3;0;0;0;[13.7637204272682, 12.1852369693823, 12.1852369693823];[128, 92.16, 102.4];322.56;21.0178999986965
HE_16_15_L_77;"1";1;2990022;2990022;7654456.32;7654456.32;-1.41541719743165;"1";0;1278.76941697968;1930.77580873155;0.364924661790132;4028.47200887112;1987.48957817436;1413.98693021763;1932.46213965034;0.246722906900194;5074.11794744556;3421.74336768661;1346.37817359865;1931.61897419094;-1.55832572694114;-216.348021180705;-2.69812947005594;216.364845045225;0.118201754889938;76.4362000008987;"1";0;0;0;0;0;0;[0.491005840699422, 0.482690973330453, 0.489020183690447, 0.392637550500522, 0.439558532234607, 0.428129864032803, 0.478073144417068, 0.476458637680132, 0.472108911202016];[24, 25.6, 24.8, 24, 25.6, 24.8, 24.8, 24.8, 24.8];[52.8, 54.4, 52.8, 51.2, 54.4, 52.8, 52.8, 51.2, 54.4];2.4762000030023;"1";0;0;0;0;0;0;0;0;0;1.27169999905163;"1";1;34324;34324;87869.44;87869.44;-5.2211942060103;5.6;2970.22640717865;-2208.77109893952;-299.152392022549;7.5844999992114;"FM";"72";1;43.9344966967871;43.9344966967871;645.12;645.12;45.9393999990425;"FM";"77";1;43.9344966967871;0;0;43.9344966967871;645.12;645.12;8.49659999948926
HE_13_15_L_51;"1";1;2988165;2988165;7649702.4;7649702.4;-1.37748500684797;"51";1;1;1948.14182437924;0.406556839660248;4028.52236957917;1987.54434586125;1399.33818635255;1951.35075140533;0.273356551170581;5069.27009669061;3419.93488107941;1331.48003951755;1949.74628789229;-1.5471563558722;-217.146069871985;-5.13428324174529;217.206759851657;0.133200288489667;78.1248999992386;"1";0;0;0;0;0;0;[0.533088641646682, 0.505941783777771, 0.498484047014869, 0.545220174553929, 0.507584267861025, 0.508899463516196, 0.486966388755887, 0.477371230890917, 0.507276229364684];[25.6, 25.6, 26.4, 25.6, 25.6, 25.6, 26.4, 25.6, 24.8];[56, 52.8, 56, 54.4, 52.8, 54.4, 52.8, 52.8, 51.2];1.75950000266312;"1";0;0;0;0;0;0;0;0;0;1.530499997898;"1";1;34781;34781;89039.36;89039.36;-5.19638521337704;5.6;2998.8173773037;-2196.10987608177;-297.730941450692;7.76219999897876;"FM";"72";1;0;11.3137084989848;81.92;81.92;47.5389999992331;"FM";"1";1;0;0;0;11.3137084989848;81.92;81.92;10.324099999707
HE_9_16_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;49.2705000033311;"1";0;0;0;0;0;0;0;0;0;0.857700000779005;"1";0;0;0;0;0;0;0;0;0;0.865399997564964;"74";2;3714;[2079, 1635];9507.84;[5322.24, 4185.6];[0.000716030377054338, 89.7375293390766];[4.8, 4];276.400577200577;-1015.19884559885;0.0410255186083745;5.59529999736696;"-";"78";0;0;0;0;0;6.62580000062007;"-";"78";0;0;0;0;0;0;0;5.51869999981136
HE_9_15_L_51;"1";1;2988368;2988368;7650222.08;7650222.08;-1.46445464830623;"51";1;1;1944.94568427387;0.322131843547307;4028.55155715902;1987.44460285818;1390.96671339914;1951.23082789527;0.276217802636038;5074.92306817062;3422.65637179624;1323.18880386484;1948.08825608457;-1.5244637859095;-216.88931050976;-10.0562297942412;217.122317533398;0.0459140409112693;74.4887999971979;"1";0;0;0;0;0;0;[0.516711633165756, 0.488521451188904, 0.500017797356614, 0.497939760964306, 0.51726862312668, 0.519385452983328, 0.503860892076846, 0.497854638110603, 0.460509589403904];[26.4, 26.4, 26.4, 25.6, 25.6, 26.4, 25.6, 26.4, 23.2];[56, 54.4, 56, 52.8, 54.4, 54.4, 54.4, 54.4, 54.4];3.75799999892479;"1";0;0;0;0;0;0;0;0;0;3.38360000023386;"1";1;35162;35162;90014.72;90014.72;-4.59580429268012;5.6;2966.4814970707;-2192.08618394858;-263.320189438677;6.33109999762382;"FM";"1";0;0;0;0;0;44.9932000010449;"FM";"1";0;0;0;0;0;0;0;12.175700001535
HE_7_15_L_51;"1";1;2991113;2991113;7657249.28;7657249.28;-1.46190301341187;"51";1;1;1950.07188866359;0.322941319721843;4028.84951792918;1987.48847348441;1390.29131501482;1955.12868952471;0.246766424013086;5075.02857472808;3427.14771040551;1323.30313009107;1952.60028909415;-1.53307025914445;-214.362191756004;-8.09088137778381;214.514828428962;0.0761748957087573;71.0365000013553;"1";0;0;0;0;0;0;[0.527151634503855, 0.483150406098427, 0.523506574356368, 0.481586429240915, 0.480392242588998, 0.499869781421175, 0.466264659169532, 0.475661511830883, 0.529312923793804];[24.8, 25.6, 26.4, 24, 24, 25.6, 24.8, 25.6, 26.4];[57.6, 56, 57.6, 56, 57.6, 56, 54.4, 56, 56];5.30190000063158;"1";0;0;0;0;0;0;0;0;0;1.74200000037672;"1";1;33790;33790;86502.4;86502.4;-4.80740746026087;5.6;2980.26374667061;-2159.6680201243;-275.444157872654;8.60560000000987;"FM";"1";0;0;0;0;0;49.3029000026581;"FM";"1";0;0;0;0;0;0;0;13.1459000003815
HE_5_15_L_51;"1";1;2990114;2990114;7654691.84;7654691.84;-1.43675525244524;"51";1;1;1952.71868756953;0.350695922835871;4028.66051278894;1987.60632028328;1393.25139773251;1951.18424250748;0.256593830296444;5071.8085359541;3427.55986020115;1326.16630899827;1951.95146503851;1.55936026703063;-214.672283949557;2.45511209926663;214.686322506906;0.0941020925394273;64.24799999877;"1";0;0;0;0;0;0;[0.502529514576791, 0.516211145080667, 0.501717453178662, 0.510963686836879, 0.501139037038433, 0.484045298672714, 0.477682900881719, 0.51037746025273, 0.500030706769762];[25.6, 24.8, 24.8, 26.4, 25.6, 24.8, 24.8, 25.6, 25.6];[52.8, 54.4, 51.2, 54.4, 54.4, 52.8, 52.8, 56, 54.4];5.33569999970496;"1";0;0;0;0;0;0;0;0;0;3.50560000151745;"1";1;33135;33135;84825.6;84825.6;-4.68798418001173;5.6;2981.04143654746;-2146.66140334993;-268.60170793877;8.02010000188602;"FM";"1";0;0;0;0;0;47.7081000026374;"FM";"1";0;0;0;0;0;0;0;11.269300001004
