;;Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14720262;HE_2_2_C1;1;1308.01367149467;1853.24512529392;0.00469071911676117;0.711807642580908;55.2085000090301;"1";0;1434.31879823397;1850.5659661309;0.401996628796225;5.12263010591217;3.46655876065096;45.9233999717981;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;7.69929983653128;["1", "1"];[0, 0];0;0;0;0;91.8223999906331;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;50.4142998252064;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.650599995628
HRH14720262;HE_2_1_C1;1;1323.08585226412;1859.0349161947;-0.0106751237380862;0.732817292383345;29.0759999770671;"1";0;1451.04199619598;1859.28158276338;0.00145336598466625;5.12012596705724;3.46483365993627;20.5093000549823;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.27240016870201;["1", "1"];[0, 0];0;0;0;0;47.8298999369144;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.7832000665367;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.2401001863182
HRH14720262;HE_1_1_C1;1;1314.8663123095;1881.72420719869;-0.0886356960328883;0.804794571977851;43.2239000219852;"1";0;1438.07704672818;1880.44605365144;0.225470612206396;5.12330828393945;3.46386687459878;19.835599930957;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.99049993231893;["1", "1"];[0, 0];0;0;0;0;57.2987000923604;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;47.5021000020206;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.67100015096366
HRH14720262;HE_1_2_C1;1;1292.80858009368;1862.10089009245;0.00396474161499193;0.752704340633755;73.4939998947084;"1";0;1419.2811654655;1861.06878944198;0.221162169920779;5.12074048541153;3.46596608834143;76.7502998933196;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;13.4575001429766;["1", "1"];[0, 0];0;0;0;0;55.1525999326259;"1";0;[];;;0.0000;[];;;0.0000;[547.2, 625.6, 881.6, 505.6, 737.6, 1356.8, 788.8];505.6;1356.8;777.6000;[89.956, 88.232, 141.245, 83.584, 107.498, 148.877, 103.011];83.584;148.877;108.9147;[];;;0.0000;[];;;0.0000;33.0632999539375;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.41600002907217
HRH14720262;HE_4_1_C1;1;1319.06558928602;1857.23633416453;0.00397043737444109;0.71284517474686;29.4154000002891;"1";0;1443.35735158302;1858.44318204017;0.145507722621093;5.12171866919084;3.46412037710199;68.6300999950618;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.18749999254942;["1", "1"];[0, 0];0;0;0;0;44.2411000840366;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.9624002147466;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.48069991357625
HRH14720262;HE_3_2_C1;1;1287.85913730707;1855.26149827751;-0.237409775729224;0.734508856850084;50.0121000222862;"1";0;1415.23549690974;1854.79641668778;-0.0302539768253692;5.12046147449892;3.46576297957714;55.154699832201;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.39579990133643;["1", "1"];[0, 0];0;0;0;0;74.8276999220252;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.9344001393765;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.8851000610739
HRH14720262;HE_4_2_C1;1;1298.97105134985;1843.07999654134;0.316277533634345;0.689886787668513;26.2669001240283;"1";0;1428.29569782472;1844.14554953157;0.397743853304687;5.1257347188981;3.46752324355651;66.4802000392228;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.51329986006021;["1", "1"];[0, 0];0;0;0;0;40.5546999536455;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.055000109598;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.29950002580881
HRH14720262;HE_3_1_C1;1;1297.15593117381;1873.10063777171;0.307756310323894;0.706211923749123;34.0523000340909;"1";0;1424.38280453988;1874.3347440832;0.375933026133754;5.12249519483636;3.46385184960843;45.3528000507504;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.18860006518662;["1", "1"];[0, 0];0;0;0;0;33.1325000151992;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;42.3702001571655;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.36559992097318
HRH14720262;HE_5_1_C1;1;1298.25927750392;1875.79676522874;0.0421745467732353;0.773554198825707;41.2562000565231;"1";0;1420.19759239934;1875.63799391993;0.333473923277936;5.12456842517563;3.46564093522678;40.6855999026448;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.26619995757937;["1", "1"];[0, 0];0;0;0;0;31.2981000170112;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;52.2968000732362;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.26229993253946
