;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Pattern Matching Modified;Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield Non Act (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Darkfield All (FM);Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches;Scratches
Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. Diameter ALL (um)(FM);7. Area ALL (um2)(FM);8. *Cummulative Area (um2)(FM);9. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. Diameter (pixel)(Scratch PD);5. *Diameter FAIL (um)(Scratch PD);6. Diameter ALL (um)(Scratch PD);7. Area ALL (um)(Scratch PD);8. *Cummulative Area (um2)(Scratch PD);9. Inspection Time
HE_2_2_C_77;1;1285.45113730088;1865.6751418076;0.144421445689754;0.995892647213907;17.4717000008968;"FM";"77";3;[39.5170849127311, 36.9388684179686];[8.61626369141521, 39.5170849127311, 36.9388684179686];[64, 706.56, 491.52];1262.08;26.5143000033277;"FM";"77";7;0;[39.5170849127311, 36.9388684179686];[8.61626369141521, 39.5170849127311, 9.32952303175248, 8.15843122174846, 9.32952303175248, 27.9885690952574, 36.9388684179686];[64, 706.56, 51.2, 51.2, 51.2, 419.84, 491.52];1835.52;83.0351000004157;"Scratch_PD";"1";0;0;0;0;0;0;74.3255000015779
HE_1_2_C_77;1;1271.20383316342;1879.16710552648;0.159197380464423;0.996299395947631;28.8609000017459;"FM";"77";2;43.0515969506359;[43.0515969506359, 32.9848450049413];[314.88, 716.8];1031.68;16.8560999991314;"FM";"77";5;0;43.0515969506359;[16.4730082255792, 9.32952303175248, 43.0515969506359, 9.32952303175248, 32.9848450049413];[174.08, 51.2, 314.88, 61.44, 716.8];1318.4;69.4939000022714;"Scratch_PD";"1";0;0;0;0;0;0;105.111800003215
HE_3_2_C_77;1;1264.73495322324;1870.97160496755;0.158391601162464;0.995686955469409;37.2688000024937;"FM";"77";2;41.5075896674331;[41.5075896674331, 13.670405992508];[870.4, 117.76];988.16;17.2902999984217;"FM";"77";4;0;41.5075896674331;[41.5075896674331, 13.670405992508, 27.2470181854822, 21.3466625026021];[870.4, 117.76, 337.92, 133.12];1459.2;143.569699997897;"Scratch_PD";"1";0;0;0;0;0;0;74.098099998082
HE_4_2_C;1;1280.03813648084;1863.51396359092;0.19568939059474;0.996775861845151;47.8860000002896;"FM";"1";3;0;[27.3875884297979, 33.6380736666058, 15.0943698112906];[294.4, 509.44, 186.88];990.72;31.8995999987237;"FM";"1";6;0;0;[27.3875884297979, 33.6380736666058, 15.8391918985787, 9.32952303175248, 12.1852369693823, 15.0943698112906];[294.4, 509.44, 174.08, 71.68, 92.16, 186.88];1328.64;142.079900000681;"Scratch_PD";"1";0;0;0;0;0;0;166.195400001016
HE_9_1_C;1;0;0;0;0;31.0394999978598;"-";"78";0;0;0;0;0;9.36189999993076;"-";"78";0;0;0;0;0;0;12.2264000019641;"-";"78";0;0;0;0;0;0;12.1125000005122
HE_13_1_C;1;1298.75467585317;1885.18027517783;0.203045449976196;0.996052056683936;21.1656999999832;"FM";"1";0;0;0;0;0;22.9837000006228;"FM";"77";3;53.7847562047092;0;[11.3137084989848, 13.7637204272682, 53.7847562047092];[81.92, 102.4, 512];696.32;134.423200001038;"Scratch_PD";"1";0;0;0;0;0;0;138.971199998196
HE_16_1_C_77;1;1317.8258018427;1878.40855688966;0.21667991649688;0.994519323532302;35.9554999995453;"FM";"77";1;38.0315658368151;38.0315658368151;606.72;606.72;20.2309000014793;"FM";"77";2;0;38.0315658368151;[9.32952303175248, 38.0315658368151];[51.2, 606.72];657.92;157.748800000263;"Scratch_PD";"1";0;0;0;0;0;0;117.797499999142
HE_17_4_C_77;1;1292.86159548893;1878.65365206428;0.144072172577567;0.988858198442472;33.4401999971305;"FM";"77";2;126.440499840834;[18.659046063505, 126.440499840834];[217.6, 2767.36];2984.96;20.1467999977467;"FM";"77";5;[142.552727087208, 42.9920922961421];126.440499840834;[18.659046063505, 142.552727087208, 20.8614476966485, 42.9920922961421, 126.440499840834];[217.6, 7884.8, 163.84, 624.64, 2767.36];11658.24;77.1975999996357;"Scratch_PD";"1";0;0;0;0;0;0;165.8666000003
HE_15_4_C_77;1;1287.86348165202;1886.28838288929;0.105989896342597;0.994633038232053;15.9501999987697;"FM";"77";2;51.0246999011263;[7.15541752799933, 51.0246999011263];[53.76, 1564.16];1617.92;24.7994999990624;"FM";"77";3;0;51.0246999011263;[7.15541752799933, 51.0246999011263, 26.484712571595];[53.76, 1564.16, 174.08];1792;131.632300002821;"Scratch_PD";"1";0;0;0;0;0;0;198.240699999587
