;PCB;PCB;PCB;PCB;PCB;PCB;PCB;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;2DM;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Smash Bond;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Bond Offset;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;Die Crack;BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField PD (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM);BrightField All (FM)
Unit;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);1. Defect;2. N_Defect;3. Row 1;4. Column 1;5. Angle 1;6. Width 1;7. Height 1;8. *Row 2;9. *Column 2;10. Angle 2;11. Width 2;12. Height 2;13. Center X;14. Center Y;15. Orientation;16. *Row Difference;17. *Column Difference;18. Distance;19. *Angle Difference;20. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *circularity;9. *inner_radius (um);10. *width (um);11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *contlength;9. *inner_radius;10. *bulkiness;11. Inspection Time;1. Defect;2. *N_Defect;3. Total Area;4. Areas;5. Total Area (um);6. Areas (um);7. Angle (deg);8. *inner_radius (um);9. Offset X;10. Offset Y;11. Offset Theta;12. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL (um)(FM);5. Diameter ALL (um)(FM);6. Area ALL (um2)(FM);7. *Cummulative Area (um2)(FM);8. Inspection Time;1. Defect_Name;2. Defect;3. N_Defect;4. *Diameter FAIL PD (um)(FM);5. *Diameter FAIL Non-Act (um)(FM);6. *Area FAIL (um)(FM);7. Diameter ALL (um)(FM);8. Area ALL (um2)(FM);9. *Cummulative Area (um2)(FM);10. Inspection Time
HE_4_2_L;"1";1;2989617;2989617;7653419.52;7653419.52;-1.56191279436754;"1";0;1259.47540008672;1862.85265125698;0.207361508713281;4029.77937513379;1987.25055064271;1389.29427648197;1862.85008437286;-0.0276342148276973;5083.43518631514;3432.923478187;1324.38483828435;1862.85136781492;1.57077655398385;-207.71020223239;0.0041070145820413;207.710202272994;0.234995723540979;114.426000000094;"1";0;0;0;0;0;0;[0.651847345585432, 0.626724094146315, 0.681975051324337, 0.676665299648817, 0.667744925752334, 0.676201553763812, 0.687756769535597, 0.748186141904588, 0.674799433679132];[31.2, 30.4, 31.2, 31.2, 31.2, 31.2, 29.6, 31.2, 27.2];[67.2, 65.6, 68.8, 65.6, 67.2, 67.2, 65.6, 70.4, 64];2.76379999922938;"1";0;0;0;0;0;0;0;0;0;4.61459999860381;"1";1;33755;33755;86412.8;86412.8;-5.73921305275451;5.6;2844.31997629981;-2179.2315686565;-328.832685649227;11.1284999984491;"FM";"72";2;0;[11.3137084989848, 9.32952303175248];[92.16, 51.2];143.36;147.744400001102;"FM";"1";2;0;0;0;[11.3137084989848, 9.32952303175248];[92.16, 51.2];143.36;16.3840000022901
HE_9_1_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;64.0939000004437;"1";0;0;0;0;0;0;0;0;0;2.10539999898174;"1";0;0;0;0;0;0;0;0;0;1.1795999998867;"74";2;3262;[1752, 1510];8350.72;[4485.12, 3865.6];[0, 89.7157897162503];[4.8, 4];232.8;-1015.2;0;7.98779999968247;"-";"78";0;0;0;0;0;4.4815999972343;"-";"78";0;0;0;0;0;0;0;5.91540000095847
HE_17_4_L_77;"1";1;2988561;2988561;7650716.16;7650716.16;-1.62852206012528;"1";0;1284.29559297527;1879.9232113641;0.155476339261017;4029.18994468562;1987.12443802231;1415.49915099079;1881.94356652366;-0.0508393298226237;5075.69995239137;3425.09630885396;1349.89737198303;1880.93338894388;-1.555398912842;-209.925692824834;-3.23256825528733;209.950579912301;0.206315669083641;133.818599999358;"1";0;0;0;0;0;0;[0.63594334376811, 0.658536974651179, 0.663373792150797, 0.697787682822815, 0.623725358802579, 0.613549661760973, 0.656907318890185, 0.61356082228724, 0.635278379187053];[30.4, 28.8, 29.6, 28.8, 30.4, 28.8, 27.2, 27.2, 27.2];[67.2, 64, 65.6, 64, 64, 68.8, 64, 65.6, 64];5.26370000079623;"1";0;0;0;0;0;0;0;0;0;1.90110000039567;"1";1;33761;33761;86428.16;86428.16;-4.71117303659822;5.6;2851.44070377062;-2205.33751962323;-269.93033155291;19.6480000013253;"FM";"72";2;115.399826689645;[115.399826689645, 13.7637204272682];[5068.8, 102.4];5171.2;117.503800000122;"FM";"77";2;115.399826689645;0;0;[115.399826689645, 13.7637204272682];[5068.8, 102.4];5171.2;37.6840999997512
HE_16_4_L_94;"1";1;2992215;2992215;7660070.4;7660070.4;-1.64819362172136;"1";0;1277.14559927031;1873.78976021565;0.124871347548628;4029.27546619609;1987.38202554367;1410.74328048444;1875.57864437937;-0.07365160699566;5080.85682153689;3426.92812515999;1343.94443987737;1874.68420229751;-1.55740704303863;-213.7562899426;-2.86221466196475;213.775451731007;0.198522954544288;167.159699998592;"94";1;1437;1437;3678.72;3678.72;-59.4286274410424;[0.609622787206444, 0.627820972883477, 0.609215165079728, 0.639488014879807, 0.578717389276631, 0.571955164567021, 0.670737077726571, 0.619326554388331, 0.62163896218477];[30.4, 30.4, 26.4, 29.6, 26.4, 28, 30.4, 27.2, 27.2];[76.8, 67.2, 62.4, 65.6, 64, 62.4, 65.6, 64, 62.4];21.1295000008249;"1";0;0;0;0;0;0;0;0;0;3.95249999928637;"1";1;32767;32767;83883.52;83883.52;-4.78046920446318;5.6;2845.95452742088;-2166.82369457076;-273.900709508002;8.42290000218782;"FM";"1";0;0;0;0;0;141.227300002356;"FM";"1";0;0;0;0;0;0;0;28.5122999994201
HE_14_3_L;"1";1;2995103;2995103;7667463.68;7667463.68;-1.51153785685289;"1";0;1272.10280343841;1884.26852440955;0.275711907310875;4029.964969509;1988.17431491778;1401.23878831521;1884.65860904465;0.0835012431926115;5078.99204536377;3427.42215606274;1336.67079587681;1884.4635667271;-1.56777560837168;-206.617575802879;-0.624135416147328;206.618518472271;0.192210664118264;142.062399998395;"1";0;0;0;0;0;0;[0.599390289351957, 0.674602032347775, 0.632961574769891, 0.659950845240721, 0.644590949045702, 0.642834824821953, 0.63402358655039, 0.637883118883777, 0.672032508378533];[30.4, 31.2, 31.2, 31.2, 31.2, 31.2, 31.2, 29.6, 31.2];[64, 67.2, 67.2, 65.6, 67.2, 67.2, 65.6, 65.6, 65.6];4.23159999991185;"1";0;0;0;0;0;0;0;0;0;3.40410000353586;"1";1;32431;32431;83023.36;83023.36;-4.97669860491008;5.6;2848.61669390398;-2158.57597977244;-285.143825969992;10.5777999997372;"FM";"72";1;0;15.1789327688082;163.84;163.84;136.307199998555;"FM";"1";1;0;0;0;15.1789327688082;163.84;163.84;16.0310000028403
HE_13_3_L_77;"1";1;2993175;2993175;7662528;7662528;-1.48051985437019;"1";0;1254.09245441453;1897.30148575201;0.308129612129147;4029.59699992238;1987.96632282783;1385.41103425445;1895.8075853318;0.0566294901159705;5075.12114379415;3424.59359991456;1319.75174433449;1896.55453554191;1.55942066326182;-210.109727743883;2.39024067233622;210.12332317732;0.251500122013176;141.885100001673;"1";0;0;0;0;0;0;[0.597655974594072, 0.618190807813407, 0.605271017656089, 0.649936716349944, 0.605466099754191, 0.599279555119846, 0.627125141372843, 0.643196750288259, 0.697852769406953];[30.4, 30.4, 30.4, 30.4, 30.4, 29.6, 30.4, 30.4, 30.4];[64, 65.6, 65.6, 64, 64, 62.4, 62.4, 65.6, 65.6];3.74150000061491;"1";0;0;0;0;0;0;0;0;0;1.52030000026571;"1";1;32881;32881;84175.36;84175.36;-4.62342489641904;5.6;2885.6015328001;-2132.51197956267;-264.902733460521;8.5228999996616;"FM";"72";1;29.7617203803812;29.7617203803812;348.16;348.16;92.8582999986247;"FM";"77";1;29.7617203803812;0;0;29.7617203803812;348.16;348.16;21.2738999980502
HE_8_4_L_77;"1";1;2991342;2991342;7657835.52;7657835.52;-1.63150338072353;"1";0;1265.35971802955;1880.17226016627;0.152177780696088;4028.96979329108;1987.7939958367;1395.46618306465;1876.62501273974;-0.0635103779961584;5083.01776427894;3429.72382206926;1330.4129505471;1878.39863645301;1.54353888893392;-208.170344056162;5.67559588245422;208.247699946678;0.215688158692246;135.872299997573;"1";0;0;0;0;0;0;[0.614342849638676, 0.62390236219145, 0.664233882677981, 0.645745879752958, 0.651275312396643, 0.609107802348197, 0.62718405650034, 0.664772619929918, 0.647676156401442];[30.4, 30.4, 30.4, 30.4, 28.8, 29.6, 28.8, 30.4, 28.8];[64, 62.4, 64, 60.8, 65.6, 60.8, 60.8, 64, 62.4];3.61120000161463;"1";0;0;0;0;0;0;0;0;0;2.41409999944153;"1";1;32243;32243;82542.08;82542.08;-5.14355153006336;5.6;2870.86343082219;-2131.84157801693;-294.703794380688;10.5206000007456;"FM";"72";1;91.214034007931;91.214034007931;942.08;942.08;106.16470000241;"FM";"77";1;90.8061671914414;0;0;91.214034007931;942.08;942.08;79.0071000010357
HE_4_4_L_77;"1";1;2991954;2991954;7659402.24;7659402.24;-1.61056472885957;"1";0;1260.68014176024;1876.4184156617;0.170228276477464;4029.70915866521;1987.55648502241;1390.808039068;1875.27080828418;-0.0362253494721801;5082.24820325073;3426.15481810366;1325.74409041412;1875.84461197294;1.56197748279195;-208.204635692427;1.83617180403162;208.212732201252;0.206453625949644;163.084800002252;"1";0;0;0;0;0;0;[0.651898349044448, 0.690738113799635, 0.684742639539688, 0.683616943236149, 0.663030354778, 0.633791863347715, 0.64798310607012, 0.663077544928297, 0.655189455336362];[31.2, 29.6, 27.2, 27.2, 27.2, 26.4, 27.2, 26.4, 26.4];[62.4, 67.2, 67.2, 68.8, 64, 68.8, 65.6, 67.2, 68.8];9.74359999963781;"1";0;0;0;0;0;0;0;0;0;4.41919999866514;"1";1;32408;32408;82964.48;82964.48;-5.58852861979853;5.6;2843.46941495927;-2145.48318933597;-320.199103602527;12.2018000001844;"FM";"72";1;38.4666088965482;38.4666088965482;327.68;327.68;258.88599999962;"FM";"77";1;38.4666088965482;0;0;38.4666088965482;327.68;327.68;18.5406000018702
HE_1_9_L_74;"1";0;0;0;0;0;0;"1";1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;514.987299997301;"1";0;0;0;0;0;0;0;0;0;3.88820000080159;"1";0;0;0;0;0;0;0;0;0;6.08329999886337;"74";2;3522;[2017, 1505];9016.32;[5163.52, 3852.8];[0.0012704233508441, 89.7149267828689];[4.8, 4];268.133663857214;-1015.19801685672;0.0727898961982346;8.82610000189743;"-";"78";0;0;0;0;0;11.6751999994449;"-";"78";0;0;0;0;0;0;0;11.948499999562
