;;FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);FO (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);2DM (PCB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Smash Bond (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);Bond Offset (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);NSOL (WB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB);FM Lead (FM_PCB)
Lot ID;Unit;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. circularity;8. circularity (min);8. circularity (max);8. circularity (avg);9. inner_radius (um);9. inner_radius (um) (min);9. inner_radius (um) (max);9. inner_radius (um) (avg);10. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. rect2_len2 (um);8. rect2_len2 (um) (min);8. rect2_len2 (um) (max);8. rect2_len2 (um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time
HRH14720064;HE_1_1_L1;"1";1;6845732;6845732;6845732;6845732;6845732.0000;17.52507392;17.52507392;17.52507392;17.52507392;17.5251;0.179253743764059;0.179253743764059;0.179253743764059;0.1793;3.04315677376795;-2.30280057799517;10.2704829796001;"1";0;554.516498852192;2312.45829583191;0.182308627317904;1.83840237492938;0.0911396001717613;3.69993327333105;-0.887226398163508;10.4455149141393;18.4263999108225;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.611317491362517, 0.645387723414832, 0.686404268718485, 0.690202214529311, 0.685866111944008, 0.65029716301532, 0.690026673992373];0.611317491362517;0.690202214529311;0.6656;[20, 20.8, 20.8, 20, 20.8, 20, 20];20;20.8;20.3429;4.07420005649328;"1";18;4319;[317, 253, 296, 274, 247, 275, 278, 266, 243, 255, 21, 248, 267, 33, 230, 295, 221, 300];21;317;239.9444;11056.64;[811.52, 647.68, 757.76, 701.44, 632.32, 704, 711.68, 680.96, 622.08, 652.8, 53.76, 634.88, 683.52, 84.48, 588.8, 755.2, 565.76, 768];53.76;811.52;614.2578;[-16.309306815868, -86.9594429572181, -25.9025664014552, -88.61353581929, 81.0995455833738, -85.848399570362, -33.9823941908865, -87.0197698458431, -83.8411711860304, -83.0880444112094, -78.0564804170602, 84.293706715212, 53.7266483135459, -90, -66.4863913309177, 44.1095334417329, -70.6489119499152, 28.8181584852214];-90;84.293706715212;-33.5949;1.92589988000691;"1";9;11759;[1324, 1299, 1311, 1310, 1312, 1295, 1279, 1298, 1331];1279;1331;1306.5556;0.03010304;[0.00338944, 0.00332544, 0.00335616, 0.0033536, 0.00335872, 0.0033152, 0.00327424, 0.00332288, 0.00340736];0.00327424;0.00340736;0.0033;[58.7141719936779, 44.1204241297708, 50.4901419714417, 50.952800198797, 44.1929365127532, 55.4861154798442, 50.4368927342389, 55.1845231553373, 47.0950134938826];44.1204241297708;58.7141719936779;50.7414;[0.0317288512240831, 0.030924028350326, 0.0311126983722081, 0.03056, 0.030768295370397, 0.0305470129472589, 0.0298523936294128, 0.0299813275223096, 0.0311126983722081];0.0298523936294128;0.0317288512240831;0.0307;14.2820000182837;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.17539996467531
HRH14720064;HE_2_2_L1;"1";1;6849085;6849085;6849085;6849085;6849085.0000;17.5336576;17.5336576;17.5336576;17.5336576;17.5337;0.269046165148679;0.269046165148679;0.269046165148679;0.2690;2.99812746911449;-2.30310032221822;15.4152097571991;"1";0;556.666585310325;2282.68891885321;0.287463745820634;1.83763678323904;0.0904423061597778;3.65230227016513;-0.89066653649652;16.4704593985438;13.8099000323564;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.716619452476821, 0.687685509225864, 0.641331297666541, 0.646144285754599, 0.681670035555799, 0.645226109888771, 0.62607171467142, 0.614123866020273];0.614123866020273;0.716619452476821;0.6574;[20, 19.2, 19.2, 17.6, 19.2, 18.4, 19.2, 20];17.6;20;19.1000;2.11800006218255;"1";18;4302;[296, 248, 305, 271, 278, 282, 302, 285, 21, 268, 252, 261, 220, 25, 194, 261, 239, 294];21;305;239.0000;11013.12;[757.76, 634.88, 780.8, 693.76, 711.68, 721.92, 773.12, 729.6, 53.76, 686.08, 645.12, 668.16, 563.2, 64, 496.64, 668.16, 611.84, 752.64];53.76;780.8;611.8400;[-19.2538189412823, -84.1604740806474, -15.0923656716296, 69.4141605771559, -31.02849427452, -54.334587904227, -19.1578138388289, -78.459261400824, 0.361848836808149, -38.865508108222, -89.1146078574824, -46.5843713667616, 86.8961910885896, -73.3473130273919, -90, -75.726758356259, -68.1941557783896, 26.7601594428576];-90;86.8961910885896;-33.3271;1.81500008329749;"1";9;11101;[1239, 1220, 1218, 1230, 1240, 1216, 1229, 1241, 1268];1216;1268;1233.4444;0.02841856;[0.00317184, 0.0031232, 0.00311808, 0.0031488, 0.0031744, 0.00311296, 0.00314624, 0.00317696, 0.00324608];0.00311296;0.00324608;0.0032;[33.093798562411, 31.23218569818, 39.7229502825007, 36.8224738686287, 39.0872664518888, 32.9256606033015, 21.6047627277062, 61.3201609102806, 43.0477946822001];21.6047627277062;61.3201609102806;37.6508;[0.0305470129472589, 0.0296, 0.0305470129472589, 0.0302834919114843, 0.0304, 0.0304, 0.0299453917404078, 0.0306100573301666, 0.0303975707531427];0.0296;0.0306100573301666;0.0303;7.24359997548163;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;3.02659999579191
HRH14720064;HE_1_2_L1;"1";1;6847163;6847163;6847163;6847163;6847163.0000;17.52873728;17.52873728;17.52873728;17.52873728;17.5287;0.127187794216367;0.127187794216367;0.127187794216367;0.1272;3.01927752279302;-2.27313092841517;7.28732381417628;"1";0;538.778016840045;2297.57144793675;0.1843663908847;1.8368063223455;0.0904866152064687;3.67611431669879;-0.862044826944071;10.5634160817525;26.5622998122126;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.603510588311194, 0.801112382773848, 0.704091647683105, 0.732895328216397, 0.732987680334255, 0.677354265999912, 0.756854167225712, 0.708516639721872, 0.64119128873177];0.603510588311194;0.801112382773848;0.7065;[18.4, 19.2, 20.8, 21.6, 20, 20.8, 21.6, 19.2, 20];18.4;21.6;20.1778;4.0335999801755;"1";16;3978;[273, 246, 238, 276, 224, 259, 252, 270, 240, 256, 234, 238, 200, 274, 176, 322];176;322;248.6250;10183.68;[698.88, 629.76, 609.28, 706.56, 573.44, 663.04, 645.12, 691.2, 614.4, 655.36, 599.04, 609.28, 512, 701.44, 450.56, 824.32];450.56;824.32;636.4800;[61.9314809327227, -72.5506057867668, 64.1934156173235, 85.6842821454592, -84.7718602388404, -86.8847715330252, -88.8260145503864, -74.2485362681691, -71.5331906227499, -83.4783586750786, -70.3233044900408, 75.4634127995948, -82.6503911721253, 80.7214966054957, 82.9862010402912, 23.7817302619064];-88.8260145503864;85.6842821454592;-15.0316;3.99089977145195;"1";9;11382;[1291, 1272, 1275, 1241, 1249, 1242, 1274, 1284, 1254];1241;1291;1264.6667;0.02913792;[0.00330496, 0.00325632, 0.003264, 0.00317696, 0.00319744, 0.00317952, 0.00326144, 0.00328704, 0.00321024];0.00317696;0.00330496;0.0032;[56.7749598248656, 46.7999570280803, 51.4230963587543, 39.4760054699843, 45.9975803612079, 32.3117244142217, 49.3874610256485, 57.8491947835902, 45.063351639488];32.3117244142217;57.8491947835902;47.2315;[0.0308413309101228, 0.0302535857093974, 0.0297882352941177, 0.0303191331681098, 0.0301798401634861, 0.0299538105961622, 0.0305470129472589, 0.0299696199766858, 0.0299813275223096];0.0297882352941177;0.0308413309101228;0.0302;3.66469984874129;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.59920000098646
HRH14720064;HE_2_1_L1;"1";1;6842465;6842465;6842465;6842465;6842465.0000;17.5167104;17.5167104;17.5167104;17.5167104;17.5167;0.0721547550674804;0.0721547550674804;0.0721547550674804;0.0722;3.02459299822506;-2.31917396131365;4.13416293716681;"1";0;564.757445371887;2301.02991317717;0.0757337894659787;1.83976645461049;0.0919430380026629;3.68164786108348;-0.90361191259502;4.33922650293291;32.6957001816481;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.710663246482292, 0.678667477062057, 0.707996647768978, 0.705163090173532, 0.67588369299401, 0.703349244984426, 0.701917208680279, 0.63992485006223];0.63992485006223;0.710663246482292;0.6904;[18.4, 18.4, 17.6, 19.2, 19.2, 18.4, 19.2, 16.8];16.8;19.2;18.4000;4.41040005534887;"1";22;4463;[310, 251, 304, 250, 305, 292, 22, 279, 268, 26, 44, 228, 273, 29, 262, 235, 30, 250, 267, 29, 206, 303];22;310;202.8636;11425.28;[793.6, 642.56, 778.24, 640, 780.8, 747.52, 56.32, 714.24, 686.08, 66.56, 112.64, 583.68, 698.88, 74.24, 670.72, 601.6, 76.8, 640, 683.52, 74.24, 527.36, 775.68];56.32;793.6;519.3309;[-15.7024112312797, -75.314236676534, -23.6250684681617, 88.9974603406243, -14.5652934027675, -36.3042994029536, 2.20169567984443, -24.448280651677, -89.6208773906673, 0, -77.6283196575328, 88.2846333929763, 54.8423533027383, 11.1703239799971, -25.2869079216379, 80.2449296236918, 43.9144185974587, -85.0874164528276, 76.6832414786054, -2.12748331349352, -63.3471859952918, 26.7806020485644];-89.6208773906673;88.9974603406243;-2.7245;3.7264998536557;"1";9;11202;[1248, 1252, 1212, 1224, 1253, 1264, 1251, 1247, 1251];1212;1264;1244.6667;0.02867712;[0.00319488, 0.00320512, 0.00310272, 0.00313344, 0.00320768, 0.00323584, 0.00320256, 0.00319232, 0.00320256];0.00310272;0.00323584;0.0032;[11.668250350914, 32.1908914568819, 24.4897121295712, 47.6851495034518, 35.827242064318, 47.5846902583846, 48.0466487935367, 27.9526805281362, 32.5759861003765];11.668250350914;48.0466487935367;34.2246;[0.0311126983722081, 0.0299093532488535, 0.0294156420973604, 0.0297319305176721, 0.0299813275223096, 0.0294156420973604, 0.0294156420973604, 0.0302494136641857, 0.0300527536175973];0.0294156420973604;0.0311126983722081;0.0299;2.16560019180179;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;16.5161001496017
HRH14720064;HE_3_1_L1;"1";1;6838821;6838821;6838821;6838821;6838821.0000;17.50738176;17.50738176;17.50738176;17.50738176;17.5074;0.175397787247244;0.175397787247244;0.175397787247244;0.1754;3.04168934358715;-2.28723537978257;10.0495529452006;"1";0;542.908617526026;2310.90612819601;0.174569104405781;1.83918478802587;0.0922847178347186;3.69744980511361;-0.868653788041641;10.0020729158299;10.0400000810623;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.707534163397607, 0.610993622030022, 0.6461303486792, 0.654888328551901, 0.620517647092646, 0.662103478081586, 0.690096136624781, 0.692353510742685];0.610993622030022;0.707534163397607;0.6606;[20, 20, 20, 19.2, 20, 20.8, 20, 19.2];19.2;20.8;19.9000;4.66459989547729;"1";16;4250;[281, 290, 271, 272, 265, 307, 236, 278, 220, 284, 264, 297, 197, 278, 170, 340];170;340;265.6250;10880;[719.36, 742.4, 693.76, 696.32, 678.4, 785.92, 604.16, 711.68, 563.2, 727.04, 675.84, 760.32, 504.32, 711.68, 435.2, 870.4];435.2;870.4;680.0000;[-31.9426852173359, -42.1637715558154, -49.8692780152487, 74.0036824077682, -41.8018003539542, -17.1352217856945, -89.973786123105, -90, 88.5712596422916, 68.3128852689398, -52.8320256847218, 37.081331315412, -71.1484075214193, -76.0506951273147, -87.1846896573279, 10.8589764938246];-90;88.5712596422916;-23.2046;3.26059991493821;"1";9;11536;[1304, 1254, 1287, 1264, 1282, 1261, 1266, 1297, 1321];1254;1321;1281.7778;0.02953216;[0.00333824, 0.00321024, 0.00329472, 0.00323584, 0.00328192, 0.00322816, 0.00324096, 0.00332032, 0.00338176];0.00321024;0.00338176;0.0033;[45.5148829341416, 71.1392928584363, 50.4444638612696, 54.1900488753351, 29.7725525384964, 64.3054751414491, 63.4026558360058, 73.5273298669653, 48.4354986954527];29.7725525384964;73.5273298669653;55.6369;[0.03104, 0.0305470129472589, 0.0299813275223096, 0.0299813275223096, 0.0296021266404856, 0.0305470129472589, 0.0299813275223096, 0.0315544364794946, 0.0311126983722081];0.0296021266404856;0.0315544364794946;0.0305;12.3960000928491;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;15.1074000168592
HRH14720064;HE_4_1_L1;"1";1;6852454;6852454;6852454;6852454;6852454.0000;17.54228224;17.54228224;17.54228224;17.54228224;17.5423;0.387403443004578;0.387403443004578;0.387403443004578;0.3874;3.0271964406328;-2.30693220198195;22.1965822529993;"1";0;553.142087379171;2298.56484558382;0.428149758004265;1.8404725913911;0.0925307780021957;3.67770375293411;-0.885027339806674;24.5311741331919;23.7674000672996;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.632839381135409, 0.786314913597017, 0.61101295691398, 0.678805050994667, 0.716831304127574, 0.631367072060056, 0.61154097168785, 0.653510129374752];0.61101295691398;0.786314913597017;0.6653;[18.4, 24, 17.6, 19.2, 19.2, 17.6, 16.8, 18.4];16.8;24;18.9000;3.80259985104203;"1";21;4547;[318, 260, 296, 296, 294, 304, 262, 265, 311, 260, 29, 225, 268, 24, 48, 211, 266, 44, 51, 195, 320];24;320;216.5238;11640.32;[814.08, 665.6, 757.76, 757.76, 752.64, 778.24, 670.72, 678.4, 796.16, 665.6, 74.24, 576, 686.08, 61.44, 122.88, 540.16, 680.96, 112.64, 130.56, 499.2, 819.2];61.44;819.2;554.3010;[-14.6825131809287, -68.8720823478489, -26.3343213713868, 31.5945960265554, -10.4034179013291, 35.3419290741186, -40.7563119592778, 59.2304545774155, -25.4070097521595, 71.8998563507109, -89.1292175746514, -88.7733467580634, 60.2379097854283, 84.0942738520231, -65.9288527526786, -89.6580070419316, 76.4540490800978, 45, -66.8911803726118, -83.9749970992489, 19.9728721330492];-89.6580070419316;84.0942738520231;-8.9041;6.07799994759262;"1";9;11344;[1251, 1300, 1226, 1254, 1265, 1254, 1253, 1258, 1283];1226;1300;1260.4444;0.02904064;[0.00320256, 0.003328, 0.00313856, 0.00321024, 0.0032384, 0.00321024, 0.00320768, 0.00322048, 0.00328448];0.00313856;0.003328;0.0032;[29.8888057207109, 59.865398548608, 40.3414084166965, 49.2384109843758, 44.613100566919, 37.4141351900756, 51.1027403486715, 43.5877267062871, 49.7016161652115];29.8888057207109;59.865398548608;45.0837;[0.0303975707531426, 0.0316783837971573, 0.0303207387772792, 0.0299813275223096, 0.0294156420973604, 0.0304105244939971, 0.0304105244939971, 0.029499697136539, 0.0299538105961625];0.0294156420973604;0.0316783837971573;0.0302;2.84450012259185;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.53910001367331
HRH14720064;HE_3_2_L1;"1";1;6845447;6845447;6845447;6845447;6845447.0000;17.52434432;17.52434432;17.52434432;17.52434432;17.5243;0.0299302315315077;0.0299302315315077;0.0299302315315077;0.0299;3.01858796925898;-2.26801889057062;1.71487594660477;"1";0;535.757609879133;2299.22204522329;0.0530249879518033;1.84015241863769;0.0913999182098047;3.67875527235726;-0.857212175806613;3.03810801837037;22.5566001608968;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.721169683216505, 0.70810972620301, 0.687329556893267, 0.763147438268422, 0.743415300296751, 0.792373082148632, 0.764361327394304, 0.798047083465703, 0.655156613039406];0.655156613039406;0.798047083465703;0.7370;[20, 20, 20.8, 19.2, 20, 20.8, 20, 20, 20];19.2;20.8;20.0889;5.77449984848499;"1";16;3971;[271, 250, 228, 254, 252, 270, 255, 271, 233, 268, 215, 259, 182, 282, 184, 297];182;297;248.1875;10165.76;[693.76, 640, 583.68, 650.24, 645.12, 691.2, 652.8, 693.76, 596.48, 686.08, 550.4, 663.04, 465.92, 721.92, 471.04, 760.32];465.92;760.32;635.3600;[-47.1448542760125, -79.8887533292967, 74.8588716436772, -85.5797504543135, 85.3713126785904, 70.8403735113687, 76.7653238675201, 80.1000403755475, 78.007218723842, -77.5936680122002, 78.9748377605041, 68.9536369653148, -85.3268298979213, -74.3818502122501, -89.6851912959095, 14.1886686462424];-89.6851912959095;85.3713126785904;5.5287;6.25950004905462;"1";9;11503;[1264, 1281, 1294, 1291, 1257, 1283, 1283, 1260, 1290];1257;1294;1278.1111;0.02944768;[0.00323584, 0.00327936, 0.00331264, 0.00330496, 0.00321792, 0.00328448, 0.00328448, 0.0032256, 0.0033024];0.00321792;0.00331264;0.0033;[45.7381002709679, 41.5813794200681, 45.2041348382893, 54.7581908840362, 24.9449517664111, 37.4435602486969, 53.2188531814934, 45.7519160987596, 28.1609392665681];24.9449517664111;54.7581908840362;41.8669;[0.0305917837134292, 0.0305470129472589, 0.0308697453256514, 0.0305470129472589, 0.0299813275223096, 0.0305607365861761, 0.0305470129472589, 0.0303209498531956, 0.0311260662467971];0.0299813275223096;0.0311260662467971;0.0306;1.93380005657673;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.67570007033646
HRH14720064;HE_5_1_L1;"1";1;6845486;6845486;6845486;6845486;6845486.0000;17.52444416;17.52444416;17.52444416;17.52444416;17.5244;0.46402235756496;0.46402235756496;0.46402235756496;0.4640;3.03124062075359;-2.28977228824951;26.5865226881826;"1";0;541.626208079026;2297.34739954701;0.508067728671105;1.83895859520489;0.0922567810054961;3.67575583927521;-0.866601932926441;29.1101365596521;8.72440007515252;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.668172673749688, 0.746101424031091, 0.600520049322614, 0.603092180185035, 0.63500432671473, 0.683883554055368];0.600520049322614;0.746101424031091;0.6561;[18.4, 20.8, 20, 20, 19.2, 19.2];18.4;20.8;19.6000;3.7069998215884;"1";20;4400;[23, 287, 270, 206, 292, 240, 301, 249, 287, 266, 284, 31, 240, 290, 35, 242, 311, 20, 203, 323];20;323;220.0000;11264;[58.88, 734.72, 691.2, 527.36, 747.52, 614.4, 770.56, 637.44, 734.72, 680.96, 727.04, 79.36, 614.4, 742.4, 89.6, 619.52, 796.16, 51.2, 519.68, 826.88];51.2;826.88;563.2000;[6.16124831877628, -16.8975492930833, -73.3969449247612, 85.3778152140807, 45.0442721091656, 76.1259496367848, 25.9547808255693, 77.5667756265442, -64.0410384521658, -54.2355598520589, 70.0019211429087, -2.07692654347559, -72.842226022438, 42.2885609517962, -45, -62.5573407795, -1.1549346952428, 4.96582665985454, -75.0621279231004, 28.296467570483];-75.0621279231004;85.3778152140807;-0.2741;8.18710005842149;"1";9;11534;[1256, 1286, 1280, 1282, 1318, 1281, 1297, 1253, 1281];1253;1318;1281.5556;0.02952704;[0.00321536, 0.00329216, 0.0032768, 0.00328192, 0.00337408, 0.00327936, 0.00332032, 0.00320768, 0.00327936];0.00320768;0.00337408;0.0033;[41.719106617229, 52.3663993227989, 55.874543470891, 51.7600790665341, 51.9592270041352, 43.6291063479418, 65.113650255438, 65.6436266544694, 45.4918537240427];41.719106617229;65.6436266544694;52.6175;[0.0299813275223096, 0.0299813275223096, 0.0305470129472589, 0.0312, 0.031483837123197, 0.0312, 0.0304, 0.0296, 0.0299813275223096];0.0296;0.031483837123197;0.0305;3.12069989740849;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.21499996446073
HRH14720064;HE_4_2_L1;"1";1;6848101;6848101;6848101;6848101;6848101.0000;17.53113856;17.53113856;17.53113856;17.53113856;17.5311;0.193054827371053;0.193054827371053;0.193054827371053;0.1931;3.00180129212463;-2.29615488322967;11.061226822988;"1";0;551.465657455788;2286.39525551871;0.222832203018331;1.83784889682662;0.0910705873614366;3.65823240882994;-0.882345051929261;12.7673447725527;21.8559000641108;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[0.676744467647627, 0.63524870497258, 0.644972633699594, 0.70781740250443, 0.631386897610232, 0.660399732739425, 0.72051716614525, 0.644445030971199, 0.676983778547419];0.631386897610232;0.72051716614525;0.6665;[20, 17.6, 18.4, 17.6, 18.4, 20, 20, 20, 17.6];17.6;20;18.8444;4.05470002442598;"1";20;4412;[37, 242, 260, 300, 295, 288, 275, 300, 263, 23, 289, 265, 286, 219, 25, 255, 258, 30, 191, 311];23;311;220.6000;11294.72;[94.72, 619.52, 665.6, 768, 755.2, 737.28, 704, 768, 673.28, 58.88, 739.84, 678.4, 732.16, 560.64, 64, 652.8, 660.48, 76.8, 488.96, 796.16];58.88;796.16;564.7360;[87.1827718205578, 77.8348704608268, -75.2043060495738, -26.8507944605613, -34.9761041760421, -26.6860073579889, -85.9773950501183, -32.6163748254732, -77.6862641730889, -11.4818865299273, -22.9594972093605, -69.6611576245087, -31.6535466432654, 83.3309967535462, 23.638804479167, 65.2341735737098, 82.0271474875402, -72.4258786778566, 83.8129914931208, 30.2544192882233];-85.9773950501183;87.1827718205578;-1.7432;1.87589996494353;"1";9;11006;[1251, 1202, 1213, 1211, 1219, 1222, 1247, 1231, 1210];1202;1251;1222.8889;0.02817536;[0.00320256, 0.00307712, 0.00310528, 0.00310016, 0.00312064, 0.00312832, 0.00319232, 0.00315136, 0.0030976];0.00307712;0.00320256;0.0031;[36.3792788739658, 35.662621088791, 44.955964161462, 34.985602315785, 15.3332421415602, 42.8005877683531, 27.4205416907199, 24.2406795564444, 21.5606568194999];15.3332421415602;44.955964161462;31.4821;[0.0294996971365393, 0.0288499566724111, 0.0288499566724111, 0.029360667235058, 0.0300527536175972, 0.0300800000000001, 0.0299813275223096, 0.0305438084608668, 0.0294156420973604];0.0288499566724111;0.0305438084608668;0.0296;2.32259999029338;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.62189989350736
