;;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;Pattern Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;2DM Align;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;P/A;Glue;Glue;Glue;Glue;Glue;Glue;Glue;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;FM;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond;Double Bond
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14520030;HE_6_2_C1;1;1300.59107208176;1854.03482196755;0.248393898714456;0.697005503915648;25.6694999989122;"1";0;1429.24148693669;1858.68790738419;0.385424407672022;5.14179884035776;3.4792417089276;25.8171000168659;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.12970002414659;["1", "1"];[0, 0];0;0;0;0;37.5960000092164;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;17.5753000075929;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.95589999202639
HRH14520030;HE_6_1_C1;1;1311.92205594203;1868.23363945284;0.0888274317277643;0.691998132554602;33.7856000405736;"1";0;1443.72669024472;1870.53296628904;0.24992601026899;5.14142391121628;3.48113035942715;57.9563999781385;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.45379999978468;["1", "1"];[0, 0];0;0;0;0;30.7680999976583;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.7220000340603;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.76090000383556
HRH14520030;HE_5_1_C1;1;1298.90347710223;1886.54623342777;0.229835904552048;0.71477341416454;26.6510000219569;"1";0;1429.17656869563;1883.66389896728;0.224811617023348;5.1416057719316;3.48005462395845;35.2362000267021;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.87979998392984;["1", "1"];[0, 0];0;0;0;0;40.1587999658659;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;36.1566999927163;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.45989997731522
HRH14520030;HE_7_1_C1;1;1296.19502872914;1885.04643747995;0.26183759846892;0.705277863199797;18.0435000220314;"1";0;1428.043247841;1890.0191165444;0.292035010461685;5.13567368975951;3.4817151943572;24.4447999866679;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.30469995969906;["1", "1"];[0, 0];0;0;0;0;39.2221999936737;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.3456999580376;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;0.980100012384355
HRH14520030;HE_8_1_C1;1;1317.08091272266;1876.95812132416;-0.0104532328712625;0.696088928759764;15.063899976667;"1";0;1445.78059823568;1875.77230398097;0.20114472256744;5.1364797305089;3.4799908014405;22.8419000050053;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.04629997117445;["1", "1"];[0, 0];0;0;0;0;36.14209999796;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;50.4850000143051;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.93770000664517
HRH14520030;HE_8_2_C1;1;1297.98418475868;1863.20766314256;0.3789871642732;0.650946750983735;36.6506999707781;"1";0;1427.92672490037;1864.0709203464;0.505572865649434;5.14003659731115;3.48060333541092;28.6584999994375;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.38629999896511;["1", "1"];[0, 0];0;0;0;0;33.1065999926068;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;38.0070000537671;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.14659998891875
HRH14520030;HE_7_2_C1;1;1287.86765863718;1869.18844019138;0.0941970846708553;0.692309660706684;21.3009000290185;"1";0;1417.17758707156;1873.88873698151;0.363316015736161;5.13927898888838;3.47900031926783;27.6679999660701;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.92250001803041;["1", "1"];[0, 0];0;0;0;0;79.9403000273742;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;37.1106999809854;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.19710003491491
HRH14520030;HE_10_1_C1;1;1318.61787279166;1878.22931003559;0.239781391944113;0.690272317672992;19.7806999785826;"1";0;1451.17786954481;1876.80142814504;0.296240473907303;5.14172291004527;3.47876977269012;72.9291000170633;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.65639999695122;["1", "1"];[0, 0];0;0;0;0;35.1244000485167;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;16.893699998036;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.75930000841618
HRH14520030;HE_9_2_C1;1;1292.22419361713;1875.9628940436;0.347395778914064;0.716360197247354;16.747799993027;"1";0;1419.91986756456;1874.48365282135;0.459033353355328;5.13936379355951;3.48030153970184;40.2499999618158;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;11.2421999801882;["1", "1"];[0, 0];0;0;0;0;55.3182999719866;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.9286000523716;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.76070001907647
HRH14520030;HE_10_2_C1;1;1307.10625323876;1859.49357686276;0.335277843297948;0.683958125989307;22.7280000108294;"1";0;1434.60596860044;1863.74192255498;0.389127032133039;5.14169946942181;3.48133580645944;56.6060999990441;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.96900003356859;["1", "1"];[0, 0];0;0;0;0;41.1989000276662;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;24.4999999995343;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.78539997432381
