;;Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);Pattern Align (DA);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);2DM Align (PCB);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);P/A (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);Glue (DA);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);FM (FM_PCB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB);Double Bond (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Row;4. Column;5. Angle;6. Width;7. Height;8. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. Copper_rect2_len2(um);6. Copper_rect2_len2(um) (min);6. Copper_rect2_len2(um) (max);6. Copper_rect2_len2(um) (avg);7. Inspection Time;1. Defect;2. N_Defect;3. YWidthTop;4. YWidthBottom;5. XWidthLeft;6. XWidthRight;7. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. max_diameter(um);6. max_diameter(um) (min);6. max_diameter(um) (max);6. max_diameter(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Copper_max_diameter(um);8. Copper_max_diameter(um) (min);8. Copper_max_diameter(um) (max);8. Copper_max_diameter(um) (avg);9. Inspection Time;1. Defect;2. N_Defect;3. Row;3. Row (min);3. Row (max);3. Row (avg);4. Column;4. Column (min);4. Column (max);4. Column (avg);5. area(um);5. area(um) (min);5. area(um) (max);5. area(um) (avg);6. width(um);6. width(um) (min);6. width(um) (max);6. width(um) (avg);7. Copper_area(um);7. Copper_area(um) (min);7. Copper_area(um) (max);7. Copper_area(um) (avg);8. Inspection Time
HRH14720365;HE_1_1_C1;1;1307.03766537495;1890.99941859765;-0.0599304223139551;0.721551983844108;22.8271998930722;"1";0;1442.45350601029;1893.61085958426;0.287931926381404;5.13298010773799;3.47436832496608;33.0427999142557;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.43090016394854;["1", "1"];[0, 0];0;0;0;0;82.9759000334889;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.57499990426;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;10.3594001848251
HRH14720365;HE_1_2_C1;1;1292.76958019086;1881.92032858019;-0.174107066116963;0.779859746045219;82.1519999299198;"1";0;1425.51421636194;1883.17449120671;0.247252025032565;5.13672877106127;3.47521679159208;58.8694999460131;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.40650014206767;["1", "1"];[0, 0];0;0;0;0;86.4738000091165;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;39.7785999812186;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.68690008670092
HRH14720365;HE_2_1_C1;1;1330.45939064151;1876.51938505486;-0.379273105118117;0.72114399133045;80.4228000342846;"1";0;1458.34797731023;1879.49331078951;0.272709354085919;5.13853348574136;3.47529932615638;49.7961000073701;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.23019991628826;["1", "1"];[0, 0];0;0;0;0;90.9969001077116;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;31.1384999658912;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.73759989067912
HRH14720365;HE_2_2_C1;1;1306.24942335966;1867.85527359802;-0.215061567078331;0.716694056931885;29.5424999203533;"1";0;1439.7871494783;1868.55357956264;0.23396662665355;5.13601034041798;3.47858257271783;50.3853999543935;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.35330013372004;["1", "1"];[0, 0];0;0;0;0;56.2024000100791;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;24.4261000771075;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.92049993388355
HRH14720365;HE_3_1_C1;1;1304.94096544083;1892.76192139734;-0.0737473850733678;0.721317011590656;61.2234000582248;"1";0;1435.32974445799;1896.00378210123;0.276934325765396;5.13348250785051;3.47415056004495;50.2793001942337;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.27080004476011;["1", "1"];[0, 0];0;0;0;0;77.8441000729799;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;38.088700035587;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.56769994646311
HRH14720365;HE_4_1_C1;1;1323.90455774214;1882.65634650426;-0.318726298699417;0.719789953896679;45.5985998269171;"1";0;1450.00139582033;1885.73188526546;0.32108674905088;5.13884738585553;3.47604427548634;44.2337000276893;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.06410009600222;["1", "1"];[0, 0];0;0;0;0;78.3770000562072;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;29.5499998610467;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.16059992089868
HRH14720365;HE_4_2_C1;1;1298.84843102219;1869.08679454657;-0.163926111257072;0.610939188461856;16.5899998974055;"1";0;1431.65662628949;1869.13396395814;0.262482886511873;5.13661004484681;3.47499679681916;70.8268000744283;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.31330013088882;["1", "1"];[0, 0];0;0;0;0;26.7119000200182;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.3179001752287;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.06140002794564
HRH14720365;HE_3_2_C1;1;1284.80017045896;1876.08841321193;-0.157512984189754;0.705783564353965;34.8471000324935;"1";0;1416.12815921039;1877.59215942102;0.28344527262691;5.13566564414579;3.47671714293005;48.6866000574082;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.55789996683598;["1", "1"];[0, 0];0;0;0;0;29.7962001059204;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.1942001096904;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.32280015572906
HRH14720365;HE_5_1_C1;1;1303.01593042589;1892.31600111748;-0.144036194955899;0.726796292109555;32.6429998967797;"1";0;1431.56860423771;1894.06680872623;0.260805277512491;5.13733581078613;3.4774458793169;51.4181000180542;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.95590006560087;["1", "1"];[0, 0];0;0;0;0;40.5166000127792;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;35.5769000016153;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.44130007922649
HRH14720365;HE_6_1_C1;1;1315.25913886128;1874.98728029692;-0.0191631148919832;0.681587709131463;35.7323999051005;"1";0;1447.58905793431;1880.29115478889;0.304372888932876;5.13959121397702;3.47851851858965;35.1736999582499;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.35299992002547;["1", "1"];[0, 0];0;0;0;0;28.2565001398325;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.6208998784423;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.16699990071356
HRH14720365;HE_6_2_C1;1;1300.83804016537;1864.86411686574;-0.347875442039801;0.711243329340107;36.1711999867111;"1";0;1429.64802755826;1866.60133359223;0.237412214792698;5.14005273979718;3.48011918235051;24.1950999479741;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.44899988360703;["1", "1"];[0, 0];0;0;0;0;63.3745000232011;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;38.4007999673486;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.9640998784453
HRH14720365;HE_5_2_C1;1;1284.18632399443;1874.73752097854;-0.094089043577267;0.73014143779136;27.7603000868112;"1";0;1412.81902527323;1877.28200472046;0.28157857631226;5.13730989784552;3.47666900684846;53.3599001355469;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.73040016368032;["1", "1"];[0, 0];0;0;0;0;31.2259001657367;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;12.8202000632882;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.36029999703169
HRH14720365;HE_7_1_C1;1;1297.81410723334;1892.06647614064;-0.120744345859286;0.701758125537026;22.4880999885499;"1";0;1428.47976108911;1892.40809056485;0.315117827327383;5.13903099061609;3.47542931778425;23.5429001040757;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.94540007598698;["1", "1"];[0, 0];0;0;0;0;54.8787999432534;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;36.5015000570565;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.82520016096532
HRH14720365;HE_8_2_C1;1;1298.27515188865;1867.28694108967;-0.14989202802442;0.696231693395362;24.6405000798404;"1";0;1430.22524055922;1867.00386736668;0.276527684323772;5.13725524734555;3.47740730278928;24.863800033927;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.75159985944629;["1", "1"];[0, 0];0;0;0;0;56.7433999385685;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;30.5765999946743;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.22729991562665
HRH14720365;HE_8_1_C1;1;1310.87191199291;1870.09344033923;-0.0847729046101528;0.671667924538554;24.5024000760168;"1";0;1445.88616476304;1878.96139880695;0.297134361458803;5.13581467678342;3.4771054467769;36.4812999032438;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.93910007551312;["1", "1"];[0, 0];0;0;0;0;37.8155000507832;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;13.9454999007285;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.60920000821352
HRH14720365;HE_7_2_C1;1;1282.01735262574;1877.00450572144;-0.256033690158403;0.726784307738768;32.3483999818563;"1";0;1413.67368585108;1879.0632232099;0.265462879271737;5.13784169844061;3.47641451509298;31.725199893117;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.10280004143715;["1", "1"];[0, 0];0;0;0;0;37.0755000039935;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;22.8343000635505;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.12540018744767
HRH14720365;HE_9_2_C1;1;1283.75085575644;1871.86128458609;-0.1557909388255;0.750203078022736;19.1629000473768;"1";0;1415.77614835184;1874.05451137401;0.248541806361351;5.13389097190571;3.4775088468094;36.1611000262201;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.95949981734157;["1", "1"];[0, 0];0;0;0;0;28.8398000411689;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.1001999881119;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.0962001979351
HRH14720365;HE_10_1_C1;1;1308.60459508348;1869.96576409057;-0.0821690537728934;0.707688031495167;29.5893000438809;"1";0;1445.1441276893;1876.76162648728;0.277176180738034;5.13725676063179;3.48009516109762;28.9608000312001;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.66939993202686;["1", "1"];[0, 0];0;0;0;0;33.5737999994308;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;42.7061000373214;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.60220002382994
HRH14720365;HE_10_2_C1;1;1298.19064286793;1853.85428492682;-0.0757944400528203;0.706706688346344;86.3419000525028;"1";0;1431.7682599553;1860.74646857605;0.280852853740994;5.13663595386308;3.47921773628088;30.6565000209957;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.00319998152554;["1", "1"];[0, 0];0;0;0;0;23.3638999052346;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;28.4169998485595;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;5.02969999797642
HRH14720365;HE_12_1_C1;1;1317.75843772602;1876.44917159373;-0.261732344882261;0.759968899469641;23.494599852711;"1";0;1446.92020139663;1878.7825960864;0.266768333245914;5.14103947750846;3.47772383605996;26.3802001718432;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;3.37180006317794;["1", "1"];[0, 0];0;0;0;0;67.108100047335;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;18.4855998959392;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.69209996238351
HRH14720365;HE_11_2_C1;1;1284.09113836249;1866.18217985937;-0.146924601830306;0.735469440187217;42.4669000785798;"1";0;1415.55862100215;1870.79369451025;0.264067664109699;5.13584228949597;3.47977150161864;26.6340998932719;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;4.88739996217191;["1", "1"];[0, 0];0;0;0;0;89.8173998575658;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;21.0966998711228;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;2.70799989812076
HRH14720365;HE_11_1_C1;1;1301.18438256618;1885.25258271681;-0.346255911287023;0.78918365200542;37.7024000044912;"1";0;1430.34119459167;1889.25188658082;0.301240639826167;5.13875511966543;3.47694036685312;69.884299999103;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;9.55619988963008;["1", "1"];[0, 0];0;0;0;0;43.2635999750346;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;14.4336998928338;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.13879982382059
HRH14720365;HE_12_2_C1;1;1299.1088290758;1860.47062829655;-0.0071707946359107;0.706700270486579;16.5868001058698;"1";0;1432.35633841025;1861.79272127256;0.298002391548043;5.13798203313545;3.47809985410425;28.3230000641197;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;8.1007000990212;["1", "1"];[0, 0];0;0;0;0;69.3404998164624;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;28.1482001300901;"1";0;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;[];;;0.0000;1.88919994980097
