;;Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Pattern Matching Modified (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);Missing Die (DA);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);FO2 (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Unbonded (WB);Missing (WB);Missing (WB);Missing (WB);Missing (WB);Broken (WB);Broken (WB);Broken (WB);Broken (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);Bond Tail (WB);NSOP (WB);NSOP (WB);NSOP (WB);NSOP (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB);Wire Sweep (WB)
Lot ID;Unit;1. Matching Number;2. Rows;3. Columns;4. Angles;5. Scores;6. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. Offset X;9. Offset Y;10. Offset Theta;11. Inspection Time;1. Defect;2. N_Defect;3. I_Defect;4. Result;5. area pad;5. area pad (min);5. area pad (max);5. area pad (avg);6. circularity pad;6. circularity pad (min);6. circularity pad (max);6. circularity pad (avg);7. area lead;7. area lead (min);7. area lead (max);7. area lead (avg);8. area wire;8. area wire (min);8. area wire (max);8. area wire (avg);9. height wire;9. height wire (min);9. height wire (max);9. height wire (avg);10. width wire-const;10. width wire-const (min);10. width wire-const (max);10. width wire-const (avg);11. width wire;11. width wire (min);11. width wire (max);11. width wire (avg);12. area bond tail;12. area bond tail (min);12. area bond tail (max);12. area bond tail (avg);13. outer_radius bond tail;13. outer_radius bond tail (min);13. outer_radius bond tail (max);13. outer_radius bond tail (avg);14. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;5. Area Bond Tail;5. Area Bond Tail (min);5. Area Bond Tail (max);5. Area Bond Tail (avg);6. Row Bond Tail;6. Row Bond Tail (min);6. Row Bond Tail (max);6. Row Bond Tail (avg);7. Column Bond Tail;7. Column Bond Tail (min);7. Column Bond Tail (max);7. Column Bond Tail (avg);7. Inspection Time;1. Defect;2. N_Defect;3. Defect Index;4. Inspection Time;1. Defect;2. N_Defect;3. Total Area;4. Areas;4. Areas (min);4. Areas (max);4. Areas (avg);5. Total Area (um);6. Areas (um);6. Areas (um) (min);6. Areas (um) (max);6. Areas (um) (avg);7. Angle (deg);7. Angle (deg) (min);7. Angle (deg) (max);7. Angle (deg) (avg);8. width (um);8. width (um) (min);8. width (um) (max);8. width (um) (avg);9. Inspection Time
HRH14720365;HE_1_1_O;1;1307.02759186806;1890.63641692033;-0.11757654748192;0.978714438135981;27.2258999757469;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.11609993129969;"1";0;0;"Wire Sweep";[1577, 1603, 1569, 1583, 1547, 1567, 1525, 1579, 1554];1525;1603;1567.1111;[0.684901587883441, 0.676816110928647, 0.683574481430058, 0.686127330901332, 0.713338402886794, 0.715970254901541, 0.703657328473037, 0.723373643049998, 0.737165213665767];0.676816110928647;0.737165213665767;0.7028;[166, 179, 164, 182, 187, 180, 171, 170, 152];152;187;172.3333;[4326, 4321, 4388, 4254, 4585, 4427, 4344, 4348, 4449];4254;4585;4382.4444;[124, 122, 122, 121, 120, 122, 121, 120, 120];120;124;121.3333;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;39.9873000569642;"1";0;0;0.394999980926514;"1";0;0;0.437899958342314;"1";0;0;0.597899779677391;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.407400075346231;"1";0;0;0.218700151890516;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 30.4, 30.4, 32, 30.4, 28.8, 30.4, 30.4];28.8;32;30.0444;3.8026999682188
HRH14720365;HE_2_2_O;1;1305.59753826559;1867.46055064316;-0.128965362438276;0.979777633271027;26.4097000472248;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;2.88999988697469;"1";0;0;"Wire Sweep";[1639, 1599, 1594, 1584, 1569, 1543, 1568, 1568, 1554];1543;1639;1579.7778;[0.677132728309306, 0.690118257686807, 0.621470427578317, 0.712018773101114, 0.734990425965837, 0.737204804171234, 0.728220500499402, 0.732175902693662, 0.73668587461454];0.621470427578317;0.737204804171234;0.7078;[189, 195, 177, 186, 164, 167, 158, 179, 185];158;195;177.7778;[4670, 4567, 4651, 4497, 4417, 4319, 4430, 4435, 4222];4222;4670;4467.5556;[122, 122, 122, 124, 120, 121, 122, 119, 121];119;124;121.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;41.4726999588311;"1";0;0;0.397600000724196;"1";0;0;0.302100088447332;"1";0;0;0.34779985435307;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.308899907395244;"1";0;0;0.21970015950501;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[33.6, 33.6, 33.6, 33.6, 32, 33.6, 32, 32, 33.6];32;33.6;33.0667;4.14710002951324
HRH14720365;HE_1_2_O;1;1291.7961340537;1881.51980386374;-0.10541975315696;0.994429731972417;21.6548000462353;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.23829995654523;"1";0;0;"Wire Sweep";[1533, 1601, 1571, 1586, 1574, 1522, 1569, 1571, 1545];1522;1601;1563.5556;[0.681947097962893, 0.680057502452791, 0.697921608503456, 0.695417295910373, 0.733551116837191, 0.680607000237973, 0.711060898136497, 0.719305663340523, 0.733180260495336];0.680057502452791;0.733551116837191;0.7037;[213, 206, 205, 192, 205, 211, 203, 176, 206];176;213;201.8889;[4268, 4512, 4682, 4638, 4428, 4363, 4567, 4192, 4450];4192;4682;4455.5556;[122, 122, 122, 121, 120, 121, 123, 119, 121];119;123;121.2222;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;34.3339999672025;"1";0;0;0.225899973884225;"1";0;0;0.200199894607067;"1";0;0;0.379699980840087;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.358100049197674;"1";0;0;0.286299968138337;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 28.8, 33.6, 32, 32, 30.4, 30.4, 28.8, 32];28.8;33.6;30.7556;9.68949985690415
HRH14720365;HE_2_1_O;1;1325.84114689111;1877.80403029578;-0.0957115110308592;0.979063714835533;27.2005000151694;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;1.99569994583726;"1";0;0;"Wire Sweep";[1559, 1558, 1593, 1605, 1618, 1609, 1544, 1542, 1559];1542;1618;1576.3333;[0.69222865386965, 0.678559664359899, 0.674084043589302, 0.662686542030033, 0.693546296208963, 0.717606592430156, 0.715454995670297, 0.715198811474787, 0.719789356829294];0.662686542030033;0.719789356829294;0.6966;[156, 161, 154, 130, 172, 179, 171, 165, 176];130;179;162.6667;[4768, 4551, 4517, 4492, 4539, 4638, 4537, 4506, 4747];4492;4768;4588.3333;[123, 124, 122, 122, 121, 124, 123, 120, 120];120;124;122.1111;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;36.0266000498086;"1";0;0;0.20910007879138;"1";0;0;0.507899792864919;"1";0;0;0.360799953341484;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.253600068390369;"1";0;0;0.248600030317903;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 33.6, 32, 32, 30.4, 30.4, 32, 30.4];28.8;33.6;31.1111;6.35479995980859
HRH14720365;HE_4_2_O;1;1301.64607235396;1866.9095465856;-0.0265156103190458;0.975502426316027;19.9832001235336;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.24699997529387;"1";0;0;"Wire Sweep";[1602, 1628, 1589, 1573, 1561, 1545, 1636, 1627, 1582];1545;1636;1593.6667;[0.679888475779868, 0.636601383210756, 0.64897705594067, 0.711165878948681, 0.700563349284704, 0.720271844165336, 0.69772316671148, 0.697549091228494, 0.737773219259719];0.636601383210756;0.737773219259719;0.6923;[176, 199, 162, 163, 154, 181, 162, 164, 173];154;199;170.4444;[4501, 4396, 4443, 4432, 4417, 2755, 2669, 2749, 2910];2669;4501;3696.8889;[122, 123, 121, 121, 121, 120, 121, 119, 121];119;123;121.0000;[131, 131, 131, 131, 131, 42, 41, 43, 68];41;131;94.3333;[131, 131, 131, 131, 131, 42, 41, 43, 68];41;131;94.3333;0;0;0;0.0000;0;0;0;0.0000;36.6877999622375;"1";0;0;0.314000062644482;"1";0;0;0.409899977967143;"1";0;0;1.10479979775846;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.387100037187338;"1";0;0;0.76729990541935;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[32, 33.6, 32, 28.8, 32, 27.2, 28.8, 30.4, 30.4];27.2;33.6;30.5778;4.54510003328323
HRH14720365;HE_3_1_O;1;1307.62857540768;1888.79185979345;-0.0418505142634434;0.969790686533273;29.9780999775976;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;4.25989995710552;"1";0;0;"Wire Sweep";[1585, 1616, 1589, 1602, 1571, 1601, 1557, 1499, 1564];1499;1616;1576.0000;[0.694353590229811, 0.673697299122631, 0.663628660016429, 0.710484833625726, 0.686806710302747, 0.697975724856005, 0.701184776446942, 0.748529602156619, 0.742257679097018];0.663628660016429;0.748529602156619;0.7021;[199, 191, 192, 201, 165, 163, 163, 186, 170];163;201;181.1111;[4505, 4383, 4496, 4276, 4401, 4300, 4260, 4313, 4497];4260;4505;4381.2222;[126, 123, 125, 122, 122, 126, 121, 120, 121];120;126;122.8889;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;36.8691000621766;"1";0;0;0.394100090488791;"1";0;0;0.454500084742904;"1";0;0;0.71109994314611;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.45810011215508;"1";0;0;0.496299937367439;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 30.4, 30.4, 30.4, 32, 30.4, 28.8, 32, 28.8];28.8;32;30.4000;4.90019982680678
HRH14720365;HE_4_1_O;1;1321.40503352164;1882.1334547026;-0.0745793831388349;0.975403763167463;44.8730001226068;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;5.18259988166392;"1";0;0;"Wire Sweep";[1598, 1583, 1650, 1600, 1584, 1582, 1567, 1533, 1574];1533;1650;1585.6667;[0.696091162851928, 0.62663969232577, 0.676244146960177, 0.682836469179718, 0.692545667548194, 0.66554502566205, 0.72347367828533, 0.738663422184432, 0.734402678593512];0.62663969232577;0.738663422184432;0.6929;[157, 176, 165, 167, 163, 164, 173, 146, 167];146;176;164.2222;[4531, 4505, 4603, 4397, 4731, 4521, 4558, 4503, 4658];4397;4731;4556.3333;[123, 123, 122, 124, 123, 124, 123, 119, 121];119;124;122.4444;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;50.3289999905974;"1";0;0;0.235299812629819;"1";0;0;0.224199844524264;"1";0;0;0.224200077354908;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.239300075918436;"1";0;0;0.220099929720163;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 32, 32, 30.4, 32, 30.4, 30.4, 32, 30.4];28.8;32;30.9333;3.84919997304678
HRH14720365;HE_3_2_O;1;1286.46753091201;1874.30222170962;-0.0750680761547081;0.984159414733753;29.0643000043929;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;7.30860000476241;"1";0;0;"Wire Sweep";[1548, 1609, 1573, 1556, 1529, 1561, 1551, 1514, 1524];1514;1609;1551.6667;[0.676449145562856, 0.652687063979486, 0.677178747713715, 0.700383420669384, 0.691734771646335, 0.720119685308628, 0.728539049254045, 0.734769266431593, 0.727092325021721];0.652687063979486;0.734769266431593;0.7010;[203, 187, 198, 205, 219, 211, 205, 187, 173];173;219;198.6667;[4277, 4269, 4306, 4331, 4215, 4214, 4222, 4423, 4375];4214;4423;4292.4444;[122, 121, 122, 122, 120, 121, 121, 119, 121];119;122;121.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;[131, 131, 131, 131, 131, 131, 131, 131, 131];131;131;131.0000;0;0;0;0.0000;0;0;0;0.0000;36.5650998428464;"1";0;0;0.288299983367324;"1";0;0;0.304599991068244;"1";0;0;0.286800088360906;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.22509996779263;"1";0;0;0.313099939376116;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[30.4, 28.8, 32, 30.4, 30.4, 28.8, 28.8, 30.4, 32];28.8;32;30.2222;4.08220011740923
HRH14720365;HE_5_1_O;1;1301.03310564729;1895.48293322034;-0.10528632936757;0.983409927873595;54.1375000029802;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;17.2860000748187;"1";0;0;"Wire Sweep";[1554, 1586, 1625, 1577, 1587, 1549, 1609, 1560, 1557];1549;1625;1578.2222;[0.670355859242783, 0.662546949653127, 0.679190151389899, 0.706457010743443, 0.696557135436463, 0.690865312533179, 0.670327992121572, 0.695892034591674, 0.719765048212603];0.662546949653127;0.719765048212603;0.6880;[201, 182, 186, 168, 186, 186, 173, 185, 167];167;201;181.5556;[4356, 4485, 4486, 4381, 4279, 4366, 4369, 4075, 2967];2967;4486;4196.0000;[124, 123, 123, 125, 124, 124, 125, 121, 124];121;125;123.6667;[131, 131, 131, 131, 131, 131, 131, 123, 43];43;131;120.3333;[131, 131, 131, 131, 131, 131, 131, 123, 43];43;131;120.3333;0;0;0;0.0000;0;0;0;0.0000;41.3643000647426;"1";0;0;0.345600070431828;"1";0;0;0.213100109249353;"1";0;0;0.300100073218346;"1";0;0;0;0;0;0.0000;0;0;0;0.0000;0;0;0;0.0000;0.243699876591563;"1";0;0;0.252200057730079;"1";0;0;0;0;0;0.0000;0;0;0;0;0.0000;0;0;0;0.0000;[28.8, 30.4, 32, 30.4, 30.4, 30.4, 30.4, 30.4, 48];28.8;48;32.3556;3.55100003071129
